t,ap,cp,v
1738574579,9266.69,9253.05,6
1738574638,9266.69,9253.05,6
1738574699,9258.14,9253.00,16
1738574748,9258.14,9253.00,16
1738574810,9263.39,9256.85,30
1738574879,9323.96,9364.90,108
1738574939,9323.96,9364.90,108
1738574998,9323.96,9364.90,108
1738575055,9323.96,9364.90,108
1738575119,9323.96,9364.90,108
1738575178,9323.87,9313.65,109
1738575225,9323.87,9313.65,109
1738575298,9323.87,9313.65,109
1738575359,9323.87,9313.65,109
1738575419,9322.23,9283.45,114
1738575479,9321.92,9321.30,116
1738575538,9321.92,9321.30,116
1738575599,9321.91,9321.35,119
1738575658,9321.91,9321.35,119
1738575719,9321.72,9298.80,120
1738575778,9321.72,9298.80,120
1738575839,9321.72,9298.80,120
1738575891,9321.72,9298.80,120
1738575958,9321.34,9298.70,122
1738576018,9321.34,9298.70,122
1738576077,9321.34,9298.70,122
1738576138,9321.34,9298.70,122
1738576197,9321.34,9298.70,122
1738576259,9321.34,9298.70,122
1738576318,9321.32,9318.60,123
1738576378,9321.32,9318.60,123
1738576439,9321.32,9318.60,123
1738576498,9321.32,9318.60,123
1738576559,9321.32,9318.60,123
1738576609,9321.32,9318.60,123
1738576678,9321.32,9318.60,123
1738576739,9321.32,9318.60,123
1738576790,9321.32,9318.60,123
1738576859,9321.18,9305.00,124
1738576919,9321.18,9305.00,124
1738576979,9321.18,9305.00,124
1738577039,9321.16,9318.15,125
1738577099,9321.16,9318.15,125
1738577159,9321.16,9318.15,125
1738577219,9321.16,9318.15,125
1738577279,9322.66,9336.00,142
1738577339,9322.66,9336.00,142
1738577399,9322.66,9336.00,142
1738577459,9326.69,9358.00,162
1738577516,9327.03,9354.15,164
1738577578,9327.03,9354.15,164
1738577633,9327.15,9347.30,165
1738577678,9327.15,9347.30,165
1738577759,9327.15,9347.30,165
1738577816,9327.15,9347.30,165
1738577849,9327.15,9347.30,165
1738577939,9327.15,9347.30,165
1738577999,9327.19,9329.90,167
1738578059,9327.19,9329.90,167
1738578119,9327.19,9329.90,167
1738578179,9327.19,9329.90,167
1738578239,9327.19,9329.90,167
1738578299,9327.19,9329.90,167
1738578359,9327.19,9329.90,167
1738578419,9327.19,9329.90,167
1738578478,9327.19,9329.90,167
1738578539,9327.19,9329.90,167
1738578599,9327.19,9329.90,167
1738578659,9327.19,9329.90,167
1738578719,9327.19,9329.90,167
1738578777,9327.19,9329.90,167
1738578836,9327.19,9329.90,167
1738578899,9327.40,9345.00,169
1738578959,9327.40,9345.00,169
1738579019,9327.40,9345.00,169
1738579079,9330.20,9364.90,184
1738579117,9330.20,9364.90,184
1738579199,9330.20,9364.90,184
1738579259,9330.20,9364.90,184
1738579318,9330.20,9364.90,184
1738579376,9330.30,9350.05,185
1738579438,9330.42,9352.65,186
1738579499,9330.96,9364.00,189
1738579559,9336.03,9416.35,215
1738579613,9336.03,9416.35,215
1738579679,9336.03,9416.35,215
1738579739,9336.03,9416.35,215
1738579799,9336.03,9416.35,215
1738579859,9336.03,9416.35,215
1738579919,9336.03,9416.35,215
1738579978,9336.29,9393.50,216
1738580027,9336.29,9393.50,216
1738580089,9336.29,9393.50,216
1738580159,9336.29,9393.50,216
1738580218,9338.78,9401.15,225
1738580278,9353.87,9450.10,264
1738580338,9371.67,9507.55,304
1738580395,9381.66,9515.30,324
1738580457,9381.66,9515.30,324
1738580505,9405.26,9560.00,374
1738580574,9405.60,9534.00,375
1738580639,9405.60,9534.00,375
1738580698,9405.60,9534.00,375
1738580759,9407.33,9515.00,381
1738580817,9415.03,9535.05,404
1738580877,9416.95,9525.60,411
1738580939,9433.34,9605.65,453
1738580998,9434.46,9603.05,456
1738581051,9461.49,9600.00,536
1738581119,9466.71,9650.00,552
1738581179,9486.58,9700.00,606
1738581238,9502.37,9741.20,650
1738581298,9503.87,9733.15,654
1738581359,9516.73,9767.15,686
1738581416,9517.64,9712.85,689
1738581479,9520.90,9727.30,700
1738581531,9521.16,9701.50,701
1738581599,9532.38,9700.00,746
1738581659,9558.38,9749.00,878
1738581719,9560.61,9705.00,892
1738581779,9560.61,9705.00,892
1738581839,9560.61,9705.00,892
1738581897,9585.65,9670.00,1118
1738581955,9585.73,9670.00,1119
1738582016,9587.57,9670.00,1144
1738582070,9587.57,9670.00,1144
1738582133,9587.57,9670.00,1144
1738582193,9600.30,9670.00,1353
1738582234,9600.30,9670.00,1353
1738582319,9600.34,9659.70,1354
1738582377,9600.39,9669.90,1355
1738582437,9600.48,9661.15,1357
1738582495,9605.32,9701.35,1457
1738582552,9609.58,9675.00,1539
1738582617,9609.58,9675.00,1539
1738582674,9609.58,9675.00,1539
1738582738,9610.55,9727.95,1552
1738582787,9610.55,9727.95,1552
1738582859,9610.78,9697.65,1556
1738582914,9610.78,9697.65,1556
1738582979,9610.78,9697.65,1556
1738583039,9612.77,9727.80,1583
1738583099,9612.77,9727.80,1583
1738583157,9612.83,9704.70,1584
1738583217,9612.83,9704.70,1584
1738583278,9612.83,9704.70,1584
1738583339,9612.83,9704.70,1584
1738583397,9612.83,9704.70,1584
1738583442,9612.97,9667.30,1587
1738583514,9612.97,9667.30,1587
1738583553,9612.97,9667.30,1587
1738583639,9612.97,9667.30,1587
1738583698,9612.97,9667.30,1587
1738583759,9613.80,9682.45,1603
1738583815,9613.80,9682.45,1603
1738583879,9613.80,9682.45,1603
1738583938,9613.86,9709.75,1604
1738583992,9613.91,9709.60,1605
1738584042,9613.91,9709.60,1605
1738584076,9613.91,9709.60,1605
1738584174,9613.91,9709.60,1605
1738584233,9613.91,9709.60,1605
1738584298,9613.97,9709.60,1606
1738584355,9613.97,9709.60,1606
1738584419,9613.97,9709.60,1606
1738584478,9613.97,9709.60,1606
1738584538,9613.97,9709.60,1606
1738584598,9613.97,9709.60,1606
1738584659,9613.97,9709.60,1606
1738584719,9614.06,9686.50,1608
1738584758,9614.06,9686.50,1608
1738584829,9614.06,9686.50,1608
1738584888,9614.06,9686.50,1608
1738584957,9614.06,9686.50,1608
1738585015,9614.06,9686.50,1608
1738585079,9614.06,9686.50,1608
1738585138,9614.06,9686.50,1608
1738585186,9614.06,9686.50,1608
1738585259,9614.06,9686.50,1608
1738585318,9614.06,9686.50,1608
1738585373,9614.06,9686.50,1608
1738585437,9614.06,9686.50,1608
1738585498,9614.06,9686.50,1608
1738585558,9614.06,9686.50,1608
1738585617,9614.39,9720.20,1613
1738585674,9614.39,9720.20,1613
1738585739,9614.52,9720.20,1615
1738585798,9614.52,9720.20,1615
1738585854,9614.52,9720.20,1615
1738585919,9614.52,9720.20,1615
1738585978,9614.91,9713.00,1621
1738586037,9614.91,9713.00,1621
1738586099,9614.98,9724.00,1622
1738586156,9614.98,9724.00,1622
1738586216,9614.98,9724.00,1622
1738586272,9614.98,9724.00,1622
1738586339,9614.98,9724.00,1622
1738586385,9614.98,9724.00,1622
1738586455,9614.98,9724.00,1622
1738586504,9614.98,9724.00,1622
1738586575,9614.98,9724.00,1622
1738586619,9614.98,9724.00,1622
1738586677,9614.98,9724.00,1622
1738586750,9614.98,9724.00,1622
1738586814,9615.05,9724.00,1623
1738586866,9615.05,9724.00,1623
1738586936,9615.65,9727.95,1632
1738586998,9615.65,9727.95,1632
1738587059,9615.72,9715.10,1633
1738587119,9615.78,9715.10,1634
1738587177,9615.78,9715.10,1634
1738587237,9615.89,9702.05,1636
1738587299,9616.00,9702.05,1638
1738587350,9616.16,9702.05,1641
1738587414,9616.16,9702.05,1641
1738587454,9616.31,9702.00,1644
1738587539,9622.27,9733.55,1715
1738587598,9622.27,9733.55,1715
1738587658,9622.27,9733.55,1715
1738587708,9622.27,9733.55,1715
1738587769,9622.27,9733.55,1715
1738587836,9622.27,9733.55,1715
1738587895,9622.67,9762.00,1720
1738587959,9623.04,9750.00,1725
1738588015,9623.04,9750.00,1725
1738588079,9623.42,9755.00,1730
1738588135,9623.98,9750.00,1737
1738588197,9631.52,9792.00,1836
1738588259,9633.87,9849.55,1860
1738588319,9635.28,9793.00,1879
1738588368,9635.28,9793.00,1879
1738588438,9635.78,9793.00,1885
1738588497,9635.78,9793.00,1885
1738588559,9635.78,9793.00,1885
1738588611,9635.78,9793.00,1885
1738588676,9635.78,9793.00,1885
1738588737,9635.78,9793.00,1885
1738588796,9635.95,9747.10,1888
1738588856,9635.95,9747.10,1888
1738588915,9635.95,9747.10,1888
1738588979,9635.95,9747.10,1888
1738589039,9636.89,9725.40,1908
1738589099,9636.89,9725.40,1908
1738589159,9636.89,9725.40,1908
1738589217,9637.27,9712.85,1917
1738589252,9637.27,9712.85,1917
1738589331,9637.65,9710.00,1927
1738589398,9637.65,9710.00,1927
1738589441,9637.65,9710.00,1927
1738589518,9637.65,9710.00,1927
1738589577,9637.65,9710.00,1927
1738589628,9637.65,9710.00,1927
1738589693,9637.65,9710.00,1927
1738589743,9637.65,9710.00,1927
1738589818,9637.65,9710.00,1927
1738589876,9637.65,9710.00,1927
1738589931,9637.65,9710.00,1927
1738589959,9637.65,9710.00,1927
1738590113,9637.65,9710.00,1927
1738590174,9637.65,9710.00,1927
1738590239,9637.84,9731.75,1931
1738590299,9638.33,9731.75,1941
1738590359,9638.33,9731.75,1941
1738590418,9638.33,9731.75,1941
1738590479,9638.38,9740.95,1942
1738590538,9638.38,9740.95,1942
