t,ap,cp,v
1738573635,333.15,333.15,270
1738573682,333.15,333.15,270
1738573740,333.15,333.15,270
1738574158,333.60,335.55,328
1738574218,334.69,335.50,630
1738574277,334.73,337.75,640
1738574337,334.91,338.45,678
1738574397,335.08,337.25,732
1738574459,335.09,337.30,733
1738574519,335.30,337.00,813
1738574577,335.34,336.95,834
1738574639,335.42,337.20,866
1738574699,335.55,338.60,905
1738574755,335.75,337.90,1049
1738574819,335.82,338.90,1074
1738574873,336.30,342.55,1162
1738574939,336.37,340.75,1182
1738574995,336.45,339.50,1212
1738575058,336.45,339.50,1212
1738575108,336.45,339.50,1212
1738575177,336.47,339.70,1222
1738575239,336.47,339.70,1222
1738575295,336.47,336.35,1231
1738575358,336.49,337.25,1258
1738575419,336.55,337.95,1309
1738575466,336.55,337.95,1309
1738575535,336.55,337.95,1309
1738575593,336.55,337.95,1309
1738575659,336.55,337.95,1310
1738575719,336.59,337.95,1345
1738575776,336.71,338.00,1480
1738575839,336.72,338.95,1482
1738575899,336.72,338.95,1482
1738575958,336.72,337.65,1485
1738576016,336.72,337.65,1485
1738576078,336.73,337.95,1505
1738576139,336.73,337.95,1505
1738576199,336.73,337.95,1505
1738576258,336.74,337.80,1506
1738576319,336.74,337.80,1506
1738576372,336.74,337.80,1506
1738576427,336.74,337.80,1506
1738576499,336.74,337.80,1506
1738576559,336.74,337.80,1506
1738576619,336.74,337.80,1506
1738576676,336.74,337.80,1506
1738576739,336.68,335.90,1624
1738576797,336.66,336.90,1727
1738576843,336.66,336.90,1727
1738576919,336.68,337.25,1785
1738576978,336.68,337.25,1785
1738577039,336.68,337.25,1785
1738577099,336.68,336.20,1786
1738577159,336.68,336.20,1786
1738577218,336.67,336.05,1811
1738577279,336.70,337.45,1895
1738577338,336.70,337.45,1895
1738577397,336.70,337.45,1895
1738577451,336.70,337.45,1895
1738577519,336.96,338.65,2196
1738577569,336.96,338.65,2196
1738577634,337.03,338.55,2300
1738577699,337.03,338.55,2300
1738577747,337.03,338.55,2300
1738577818,337.06,339.25,2325
1738577873,337.06,339.25,2325
1738577938,337.06,338.80,2328
1738577996,337.06,338.80,2328
1738578054,337.07,339.15,2336
1738578119,337.07,339.15,2336
1738578179,337.07,339.15,2336
1738578229,337.07,338.95,2339
1738578299,337.07,338.95,2339
1738578351,337.08,338.05,2359
1738578418,337.08,338.05,2359
1738578478,337.09,338.00,2402
1738578539,337.09,338.00,2402
1738578581,337.09,337.05,2412
1738578658,337.09,337.10,2430
1738578719,337.09,336.85,2458
1738578779,337.09,336.85,2458
1738578834,337.09,336.85,2458
1738578897,337.09,336.85,2458
1738578959,337.09,336.85,2458
1738579015,337.09,336.85,2458
