t,ap,cp,v
1738573646,3069.80,3069.80,367
1738573722,3069.80,3069.80,367
1738573740,3069.80,3069.80,367
1738574159,3065.27,3057.50,1964
1738574219,3062.27,3066.85,3273
1738574279,3064.81,3085.00,3953
1738574339,3068.42,3084.75,4661
1738574399,3070.12,3075.00,5140
1738574459,3069.11,3060.85,6126
1738574519,3068.83,3063.90,6641
1738574578,3068.08,3057.45,7064
1738574639,3067.49,3054.75,7371
1738574699,3067.00,3050.40,7683
1738574759,3066.65,3058.60,7980
1738574819,3066.11,3062.60,8374
1738574879,3066.20,3068.35,8741
1738574939,3066.54,3080.00,9627
1738574999,3066.85,3062.95,10031
1738575059,3066.60,3058.05,10538
1738575119,3066.48,3055.80,10666
1738575179,3065.66,3050.40,11252
1738575239,3065.46,3048.20,11399
1738575299,3065.22,3055.15,11592
1738575359,3064.93,3055.75,11890
1738575419,3064.61,3054.00,12316
1738575479,3064.24,3052.35,12736
1738575539,3064.05,3050.00,12893
1738575598,3064.00,3055.25,12969
1738575659,3063.93,3059.00,13130
1738575719,3063.88,3059.65,13290
1738575779,3063.78,3064.05,13841
1738575839,3063.73,3062.90,13996
1738575899,3063.70,3061.70,14692
1738575959,3063.44,3051.85,15430
1738576019,3063.39,3052.00,15523
1738576079,3063.37,3060.65,15557
1738576139,3063.35,3059.55,15627
1738576199,3063.33,3061.50,15707
1738576259,3063.14,3067.00,16548
1738576319,3063.29,3066.80,17082
1738576379,3063.54,3071.60,17786
1738576439,3063.86,3075.90,18341
1738576499,3063.92,3075.70,18431
1738576559,3063.96,3071.20,18519
1738576619,3064.05,3072.35,18749
1738576679,3064.08,3072.75,18815
1738576739,3064.13,3078.00,18885
1738576799,3065.07,3087.20,19961
1738576859,3065.32,3081.10,20249
1738576919,3065.46,3088.70,20386
1738576979,3065.71,3089.95,20611
1738577039,3066.46,3095.00,21262
1738577099,3067.11,3088.50,21782
1738577158,3067.17,3089.95,21845
1738577219,3067.67,3099.90,22243
1738577279,3067.98,3095.00,22481
1738577339,3070.49,3104.00,24324
1738577399,3071.49,3104.85,25130
1738577459,3073.89,3108.10,26982
1738577519,3074.37,3112.80,27353
1738577579,3075.68,3100.65,28498
1738577638,3075.94,3105.85,28742
1738577699,3076.12,3107.85,28921
1738577759,3076.69,3112.00,29420
1738577819,3076.80,3107.55,29524
1738577879,3077.04,3110.55,29741
1738577939,3077.28,3110.60,29977
1738577999,3077.66,3108.60,30320
1738578059,3078.38,3101.65,31141
1738578119,3078.65,3100.60,31580
1738578179,3078.81,3104.95,31808
1738578239,3079.22,3109.00,32280
1738578299,3079.32,3104.45,32405
1738578359,3079.37,3101.25,32470
1738578419,3079.45,3100.45,32595
1738578479,3079.72,3106.20,32951
1738578539,3079.81,3106.50,33060
1738578599,3080.53,3109.00,33967
1738578659,3080.80,3104.85,34295
1738578719,3080.81,3103.35,34301
1738578779,3080.89,3099.60,34435
1738578839,3081.02,3100.00,34708
1738578899,3081.28,3101.00,35184
1738578959,3081.35,3099.95,35324
1738579019,3081.39,3100.75,35402
1738579079,3081.42,3096.80,35450
1738579139,3081.51,3106.75,35611
1738579199,3081.60,3106.25,35736
1738579259,3081.81,3106.10,36030
1738579319,3082.10,3101.65,36465
1738579379,3082.55,3111.25,37079
1738579439,3082.69,3113.00,37255
1738579499,3084.76,3121.90,39495
1738579559,3085.10,3124.35,39863
1738579618,3085.27,3122.60,40044
1738579679,3085.33,3120.90,40114
1738579739,3085.41,3122.85,40201
1738579799,3085.90,3124.20,40733
1738579859,3087.07,3125.00,42007
1738579919,3087.18,3124.55,42123
1738579979,3088.19,3126.85,43370
1738580039,3088.24,3125.50,43426
1738580099,3088.26,3124.70,43458
1738580159,3088.42,3122.00,43664
1738580219,3088.88,3120.20,44325
1738580279,3088.94,3124.70,44409
1738580339,3089.32,3128.50,44848
1738580399,3090.20,3130.95,45867
1738580459,3090.35,3130.45,46034
1738580519,3090.38,3132.30,46064
1738580578,3090.46,3133.00,46149
1738580639,3090.53,3125.00,46241
1738580699,3090.56,3127.00,46285
1738580759,3090.60,3125.50,46331
1738580819,3091.20,3122.80,47226
1738580879,3091.26,3124.00,47306
1738580939,3091.45,3129.00,47584
1738580999,3091.50,3125.00,47643
1738581059,3091.84,3127.65,48121
1738581119,3091.99,3124.30,48326
1738581179,3092.06,3124.75,48433
1738581239,3092.11,3125.40,48510
1738581299,3092.15,3122.20,48570
1738581359,3092.18,3122.20,48610
1738581419,3092.43,3123.30,49016
1738581479,3092.48,3121.00,49090
1738581539,3092.51,3124.15,49136
1738581599,3092.73,3121.00,49477
1738581659,3092.82,3119.00,49639
1738581719,3092.85,3121.90,49692
1738581779,3092.87,3123.40,49728
1738581839,3092.90,3124.35,49768
1738581899,3092.91,3122.85,49788
1738581959,3092.93,3121.50,49827
1738582019,3093.03,3125.25,49979
1738582079,3093.12,3126.85,50110
1738582139,3093.23,3127.65,50265
1738582198,3093.25,3126.45,50305
1738582259,3093.27,3129.95,50333
1738582319,3093.33,3129.10,50425
1738582379,3093.38,3125.95,50489
1738582439,3093.44,3127.65,50579
1738582499,3093.44,3126.00,50593
1738582559,3093.49,3127.00,50662
1738582619,3093.67,3128.70,50918
1738582679,3094.38,3132.00,51876
1738582739,3094.69,3132.15,52305
1738582799,3094.82,3132.50,52486
1738582859,3094.87,3132.65,52558
1738582919,3094.89,3126.30,52584
1738582979,3095.09,3132.20,52906
1738583039,3095.09,3129.95,52908
1738583099,3095.24,3135.00,53104
1738583159,3095.28,3132.85,53168
1738583218,3095.60,3135.00,53616
1738583279,3095.96,3137.20,54097
1738583339,3096.10,3132.40,54292
1738583399,3096.19,3129.65,54443
1738583459,3096.34,3127.95,54707
1738583519,3096.61,3129.75,55182
1738583579,3096.62,3129.00,55195
1738583639,3096.80,3127.50,55488
1738583699,3096.92,3131.90,55690
1738583759,3099.67,3140.65,59543
1738583819,3100.11,3144.90,60163
1738583879,3100.43,3143.95,60601
1738583938,3100.59,3141.60,60818
1738583999,3100.62,3139.50,60868
1738584058,3101.22,3141.45,61728
1738584119,3101.43,3144.25,62036
1738584179,3101.45,3144.50,62060
1738584239,3102.42,3144.75,63500
1738584299,3102.54,3149.45,63656
1738584359,3103.15,3148.00,64494
1738584419,3103.21,3147.30,64578
1738584478,3103.28,3145.60,64678
1738584539,3103.58,3145.05,65149
1738584598,3103.58,3145.60,65155
1738584659,3104.99,3150.00,67234
1738584719,3105.03,3148.50,67298
1738584779,3105.32,3148.10,67760
1738584838,3105.68,3149.90,68328
1738584899,3105.95,3148.30,68752
1738584959,3106.20,3148.25,69174
1738585019,3106.31,3145.00,69356
1738585079,3106.46,3149.35,69602
1738585139,3106.51,3147.45,69683
1738585199,3106.52,3144.75,69698
1738585259,3106.68,3147.20,69994
1738585319,3106.81,3144.05,70215
1738585379,3107.38,3150.00,71154
1738585439,3107.44,3149.55,71249
1738585499,3107.59,3150.90,71513
1738585559,3107.67,3150.00,71643
1738585619,3107.89,3153.00,72001
1738585679,3108.09,3151.75,72312
1738585739,3108.11,3154.00,72335
