t,ap,cp,v
1738573656,197.95,197.95,1956
1738573740,197.95,197.95,1956
1738574159,195.72,194.55,7402
1738574219,195.57,194.35,8504
1738574279,195.49,195.45,10863
1738574339,195.62,196.10,14987
1738574399,195.61,195.55,20716
1738574459,195.61,195.55,21047
1738574519,195.61,195.55,21047
1738574579,195.60,195.05,21451
1738574639,195.61,195.65,21965
1738574697,195.61,195.75,21995
1738574759,195.60,196.00,23802
1738574819,195.61,197.65,23885
1738574879,195.69,197.75,24878
1738574939,195.69,197.00,24899
1738574999,195.69,196.85,24976
1738575059,195.70,196.70,25280
1738575119,195.70,196.60,25285
1738575179,195.71,196.15,25456
1738575239,195.71,196.15,25556
1738575298,195.71,195.65,26702
1738575359,195.71,195.30,26873
1738575419,195.68,195.05,28091
1738575479,195.68,195.05,28091
1738575539,195.66,194.05,28611
1738575599,195.65,194.20,28661
1738575659,195.65,194.20,28661
1738575719,195.63,194.20,29231
1738575779,195.56,194.35,30555
1738575839,195.50,194.05,31896
1738575899,195.50,194.00,31966
1738575959,195.43,194.20,33547
1738576017,195.41,194.25,34271
1738576079,195.37,194.25,35471
1738576139,195.36,194.00,35679
1738576199,195.34,193.80,36219
1738576259,195.33,193.90,36448
1738576319,195.33,194.10,36505
1738576379,195.31,194.00,36875
1738576439,195.30,194.20,37222
1738576499,195.30,194.00,37223
1738576559,195.30,194.85,37323
1738576619,195.30,194.85,37323
1738576679,195.30,194.70,37485
1738576739,195.29,194.25,37900
1738576799,195.28,194.40,38004
1738576859,195.26,194.50,39013
1738576919,195.26,195.40,39150
1738576979,195.25,194.85,39951
1738577039,195.25,194.65,40021
1738577099,195.25,194.90,40028
1738577159,195.25,194.55,40029
1738577219,195.25,194.65,40033
1738577279,195.25,194.95,40181
1738577338,195.25,194.95,40183
1738577399,195.25,194.95,40183
1738577459,195.25,194.75,40283
1738577519,195.25,195.20,40284
1738577579,195.25,195.25,40615
1738577639,195.25,195.00,40692
1738577699,195.25,195.00,40692
1738577759,195.21,194.40,42400
1738577819,195.21,194.40,42400
1738577879,195.21,194.75,42409
1738577939,195.20,195.00,43573
1738577999,195.20,194.80,43577
1738578059,195.20,194.75,43578
1738578119,195.20,195.15,43612
1738578179,195.20,195.35,43917
1738578239,195.20,195.35,43917
1738578299,195.20,195.05,44000
1738578359,195.20,195.05,44000
1738578419,195.20,195.05,44000
1738578479,195.20,195.20,44015
1738578539,195.20,195.30,44265
1738578599,195.20,195.40,44397
1738578659,195.20,195.20,44697
1738578719,195.21,195.95,44717
1738578779,195.21,195.75,45228
1738578839,195.21,195.75,45228
1738578898,195.21,195.75,45243
1738578959,195.21,196.10,45415
1738579019,195.21,196.10,45415
1738579079,195.21,196.10,45415
1738579139,195.22,195.95,45907
1738579199,195.22,195.65,45920
1738579259,195.22,195.65,45920
1738579319,195.22,196.00,45999
