t,ap,cp,v
1738573645,126.20,126.20,928
1738573740,126.20,126.20,928
1738574159,125.76,125.60,5211
1738574219,125.74,125.25,5430
1738574279,125.66,124.65,6059
1738574339,125.30,124.00,8121
1738574399,125.25,124.50,8506
1738574458,125.12,124.10,10002
1738574519,124.85,123.90,13009
1738574579,124.84,123.95,13184
1738574637,124.69,124.00,15698
1738574699,124.68,124.05,15880
1738574759,124.67,124.00,16206
1738574819,124.65,125.00,18511
1738574879,124.65,124.90,18629
1738574939,124.63,124.45,20264
1738574999,124.64,124.75,20344
1738575059,124.63,124.40,20656
1738575119,124.62,124.30,22439
1738575179,124.61,123.80,22553
1738575239,124.61,123.55,22673
1738575299,124.59,123.70,23222
1738575359,124.58,123.20,23503
1738575419,124.43,123.00,25899
1738575479,124.43,123.10,26012
1738575539,124.41,122.95,26291
1738575598,124.39,122.70,26652
1738575659,124.31,122.45,27814
1738575719,124.29,122.45,28062
1738575778,124.29,122.55,28112
1738575839,124.28,122.65,28338
1738575899,124.26,122.70,28619
1738575959,124.22,122.40,29157
1738576016,124.22,122.65,29160
1738576079,124.02,122.40,32974
1738576139,123.84,122.90,38699
1738576198,123.83,122.50,38899
1738576259,123.83,123.00,39091
1738576319,123.83,123.00,39092
1738576379,123.82,122.80,39278
1738576439,123.82,122.80,39330
1738576498,123.82,122.85,39352
1738576559,123.81,122.65,39701
1738576619,123.81,122.65,39710
1738576678,123.81,122.60,39755
1738576739,123.75,122.25,41270
1738576798,123.75,122.35,41279
1738576859,123.75,122.60,41290
1738576919,123.75,123.00,41416
1738576979,123.75,123.00,41542
1738577039,123.74,122.85,41799
1738577099,123.73,122.85,42557
1738577158,123.72,122.55,42934
1738577218,123.71,122.70,42963
1738577279,123.71,123.00,42973
1738577338,123.71,122.80,43139
1738577395,123.71,122.90,43167
1738577459,123.70,122.85,43782
1738577519,123.70,122.80,43817
1738577577,123.69,122.65,44202
1738577638,123.69,122.85,44278
1738577698,123.69,122.85,44481
1738577759,123.67,122.70,45043
1738577819,123.67,122.50,45148
1738577879,123.67,122.65,45192
1738577937,123.67,122.75,45209
1738577999,123.65,122.75,45855
1738578059,123.65,122.75,45855
1738578119,123.65,122.80,45955
1738578178,123.65,122.70,45965
1738578238,123.65,122.95,46142
1738578298,123.63,122.65,47142
1738578358,123.63,122.90,47147
1738578418,123.62,122.80,47460
1738578478,123.62,122.75,47566
1738578539,123.53,122.45,51603
1738578599,123.53,122.45,51631
1738578658,123.53,122.60,51671
1738578719,123.53,122.90,51683
1738578779,123.53,122.70,51709
1738578839,123.53,122.70,51895
1738578898,123.53,122.75,51898
1738578956,123.53,122.90,52118
1738579019,123.52,122.95,52506
1738579077,123.51,122.80,53667
1738579138,123.50,122.60,53714
1738579198,123.50,122.70,53784
1738579258,123.50,122.70,53784
1738579319,123.50,122.70,53784
1738579379,123.50,122.65,53884
1738579438,123.49,122.95,54654
1738579496,123.49,122.95,54654
1738579559,123.49,123.00,54660
1738579618,123.49,123.00,54660
1738579678,123.49,123.00,54705
1738579739,123.49,123.00,54730
1738579799,123.49,123.00,55050
1738579858,123.49,122.85,55052
1738579919,123.49,122.80,55124
1738579974,123.49,122.80,55129
1738580039,123.48,122.80,55443
1738580098,123.48,122.70,55453
1738580159,123.48,122.80,55745
1738580219,123.48,122.80,55793
1738580279,123.48,122.80,55793
1738580330,123.48,123.00,55813
1738580397,123.48,123.00,55813
1738580459,123.48,123.00,55888
1738580517,123.48,123.00,55989
1738580576,123.48,123.00,56101
1738580639,123.47,123.00,56228
1738580697,123.47,123.10,56458
1738580759,123.47,123.00,56518
1738580817,123.47,123.00,56540
1738580876,123.47,122.95,56646
1738580939,123.47,122.80,56903
1738580999,123.47,122.90,57004
1738581059,123.47,122.90,57010
1738581116,123.47,122.90,57129
1738581176,123.47,122.90,57138
1738581239,123.47,123.00,57139
1738581298,123.47,123.00,57140
1738581358,123.47,123.10,57155
1738581419,123.45,123.15,59150
1738581479,123.45,123.40,59168
1738581537,123.45,123.40,59171
1738581599,123.45,123.40,59171
1738581658,123.45,123.40,59171
1738581719,123.45,123.40,59171
1738581779,123.45,123.10,59285
1738581839,123.45,123.00,59315
1738581895,123.45,123.10,59325
1738581954,123.45,123.10,59340
1738582019,123.45,123.00,59679
1738582075,123.45,123.10,59684
1738582138,123.45,122.85,59849
1738582198,123.45,123.00,60006
1738582259,123.45,123.00,60006
1738582319,123.45,122.80,60016
1738582378,123.45,122.85,60018
1738582439,123.45,123.05,60026
1738582497,123.44,122.75,60515
1738582555,123.44,122.70,60530
1738582619,123.44,122.70,60530
1738582678,123.44,122.70,60559
1738582738,123.44,122.55,60631
1738582799,123.42,122.30,61767
1738582859,123.42,122.25,61812
1738582919,123.42,122.35,61867
1738582979,123.42,122.35,61867
1738583038,123.42,122.30,62066
1738583099,123.42,122.30,62066
1738583159,123.35,122.00,65127
1738583219,123.32,121.50,66469
1738583279,123.29,121.35,67348
1738583339,123.29,121.40,67378
1738583397,123.29,121.45,67391
1738583458,123.27,121.45,68067
1738583518,123.25,121.50,68714
1738583579,123.25,121.35,68779
1738583638,123.24,121.25,68973
1738583699,123.24,121.25,69038
1738583759,123.24,121.55,69203
1738583819,123.24,121.50,69224
1738583879,123.24,121.30,69230
1738583935,123.22,121.40,69795
1738583997,123.21,121.50,70228
1738584059,123.21,121.45,70231
1738584119,123.21,121.35,70236
1738584178,123.21,121.50,70292
1738584239,123.21,121.50,70338
