t,ap,cp,v
1738573635,582.05,582.05,8
1738573740,582.05,582.05,8
1738574146,582.05,582.05,8
1738574212,582.05,582.05,8
1738574275,582.05,582.05,8
1738574339,582.05,582.05,8
1738574393,582.05,582.05,8
1738574459,582.05,582.05,8
1738574516,582.05,582.05,8
1738574571,582.05,582.05,8
1738574633,582.05,582.05,8
1738574691,582.05,582.05,8
1738574733,582.05,582.05,8
1738574761,582.05,582.05,8
1738574879,582.05,582.05,8
1738574939,582.05,582.05,8
1738574995,582.05,582.05,8
1738575043,582.05,582.05,8
1738575119,582.05,582.05,8
1738575176,582.05,582.05,8
1738575237,582.05,582.05,8
1738575288,582.05,582.05,8
1738575359,585.52,613.30,9
1738575419,585.52,613.30,9
1738575479,585.52,613.30,9
1738575539,588.44,614.75,10
1738575599,588.44,614.75,10
1738575657,588.44,614.75,10
1738575718,588.44,614.75,10
1738575778,588.44,614.75,10
1738575837,588.44,614.75,10
1738575899,597.76,616.40,15
1738575958,597.76,616.40,15
1738576004,597.76,616.40,15
1738576079,597.76,616.40,15
1738576129,599.17,620.35,16
1738576199,599.17,620.35,16
1738576258,599.17,620.35,16
1738576302,599.17,620.35,16
1738576379,599.17,620.35,16
1738576432,599.17,620.35,16
1738576498,599.17,620.35,16
1738576550,599.17,620.35,16
1738576619,600.51,622.00,17
1738576679,601.71,622.00,18
1738576717,601.71,622.00,18
1738576786,601.71,622.00,18
1738576842,605.40,622.00,22
1738576917,605.40,622.00,22
1738576974,605.40,622.00,22
1738577039,605.40,622.00,22
1738577089,605.40,622.00,22
1738577153,605.40,622.00,22
1738577196,605.40,622.00,22
1738577278,605.40,622.00,22
1738577336,605.40,622.00,22
1738577399,606.49,630.55,23
1738577459,607.34,626.95,24
1738577518,607.34,626.95,24
1738577579,608.93,626.80,26
1738577638,608.93,626.80,26
1738577690,608.93,626.80,26
1738577737,608.93,626.80,26
1738577782,611.79,626.40,31
1738577876,611.79,626.40,31
1738577939,611.79,626.40,31
1738577963,611.79,626.40,31
1738578054,611.79,626.40,31
1738578116,611.79,626.40,31
1738578176,611.79,626.40,31
1738578206,611.79,626.40,31
1738578295,611.79,626.40,31
1738578414,611.79,626.40,31
1738578479,611.79,626.40,31
1738578539,611.79,626.40,31
1738578595,611.79,626.40,31
1738578649,611.79,626.40,31
1738578690,620.59,629.40,60
1738578772,620.59,629.40,60
1738578838,620.59,629.40,60
1738578896,620.59,629.40,60
1738578959,620.59,629.40,60
1738579019,620.59,629.40,60
1738579079,620.59,629.40,60
1738579138,620.59,629.40,60
1738579199,620.59,629.40,60
1738579259,620.59,629.40,60
1738579318,620.59,629.40,60
1738579379,620.59,629.40,60
1738579439,620.59,629.40,60
1738579499,620.59,629.40,60
1738579557,620.59,629.40,60
1738579613,620.59,629.40,60
1738579659,620.59,629.40,60
1738579737,620.59,629.40,60
1738579779,620.59,629.40,60
1738579846,620.59,629.40,60
1738579914,620.59,629.40,60
1738579976,620.59,629.40,60
1738580004,620.59,629.40,60
1738580068,620.59,629.40,60
1738580211,620.59,629.40,60
1738580278,620.59,629.40,60
1738580326,620.59,629.40,60
1738580392,620.59,629.40,60
1738580431,620.59,629.40,60
1738580519,620.59,629.40,60
1738580579,620.59,629.40,60
1738580639,622.07,628.40,74
1738580674,622.07,628.40,74
1738580758,622.07,628.40,74
1738580798,622.07,628.40,74
1738580852,622.07,628.40,74
1738580939,622.07,628.40,74
1738580998,622.07,628.40,74
1738581058,622.07,628.40,74
1738581118,622.07,628.40,74
1738581179,622.07,628.40,74
1738581239,622.07,628.40,74
1738581298,622.07,628.40,74
1738581359,622.07,628.40,74
1738581419,622.07,628.40,74
1738581479,622.07,628.40,74
1738581539,622.07,628.40,74
1738581598,622.07,628.40,74
1738581659,622.07,628.40,74
1738581717,622.07,628.40,74
1738581778,622.07,628.40,74
1738581839,622.07,628.40,74
1738581899,622.07,628.40,74
1738581959,622.07,628.40,74
1738582019,622.07,628.40,74
1738582079,622.23,628.40,76
1738582139,622.23,628.40,76
1738582198,622.23,628.40,76
1738582258,622.23,628.40,76
1738582319,622.23,628.40,76
1738582379,622.23,628.40,76
1738582439,622.23,628.40,76
1738582498,622.23,628.40,76
1738582559,622.23,628.40,76
1738582619,622.23,628.40,76
1738582678,622.23,628.40,76
1738582715,622.23,628.40,76
1738582798,622.23,628.40,76
1738582859,622.23,628.40,76
1738582898,622.23,628.40,76
1738582978,622.23,628.40,76
1738583039,622.23,628.40,76
1738583099,622.23,628.40,76
1738583151,622.23,628.40,76
1738583215,622.23,628.40,76
1738583269,622.23,628.40,76
1738583332,622.23,628.40,76
1738583355,622.23,628.40,76
1738583519,622.23,628.40,76
1738583579,622.23,628.40,76
1738583638,622.23,628.40,76
1738583699,622.23,628.40,76
1738583714,622.23,628.40,76
1738583876,622.23,628.40,76
1738583938,622.23,628.40,76
1738583999,622.23,628.40,76
1738584050,622.23,628.40,76
1738584095,622.23,628.40,76
1738584167,622.23,628.40,76
1738584191,622.23,628.40,76
1738584299,622.23,628.40,76
1738584300,622.23,628.40,76
1738584479,622.23,628.40,76
1738584530,622.23,628.40,76
1738584659,622.23,628.40,76
1738584715,622.23,628.40,76
1738584772,622.23,628.40,76
1738584825,622.23,628.40,76
1738584899,622.23,628.40,76
1738584950,622.23,628.40,76
1738585077,622.23,628.40,76
1738585139,622.23,628.40,76
1738585193,622.23,628.40,76
1738585247,622.23,628.40,76
1738585314,622.23,628.40,76
1738585330,622.23,628.40,76
1738585490,622.23,628.40,76
1738585518,622.23,628.40,76
1738585584,622.23,628.40,76
1738585679,622.23,628.40,76
1738585738,622.23,628.40,76
1738585798,622.23,628.40,76
1738585846,622.23,628.40,76
1738585977,622.23,628.40,76
1738586018,622.23,628.40,76
1738586158,622.23,628.40,76
1738586194,622.23,628.40,76
1738586270,622.23,628.40,76
1738586337,622.23,628.40,76
1738586382,623.34,624.00,176
1738586453,623.34,624.00,176
1738586518,623.34,624.00,176
1738586563,623.34,624.00,176
1738586639,623.34,624.00,176
1738586699,623.34,624.00,176
1738586733,623.34,624.00,176
1738586801,623.34,624.00,176
1738586873,623.34,624.00,176
1738586937,623.34,624.00,176
1738586998,623.34,624.00,176
