t,ap,cp,v
1738573635,247.00,247.00,105
1738573734,247.00,247.00,105
1738573741,247.00,247.00,105
1738574159,247.97,250.40,147
1738574219,247.97,250.40,147
1738574275,248.29,250.95,167
1738574334,248.29,250.95,167
1738574399,248.29,250.95,167
1738574455,248.31,250.55,168
1738574519,249.44,251.15,287
1738574579,249.87,250.00,702
1738574627,249.88,250.70,706
1738574697,249.88,250.10,709
1738574757,249.88,250.15,724
1738574819,250.36,253.70,875
1738574878,250.95,254.20,1045
1738574939,251.23,254.95,1123
1738574998,253.38,258.00,1903
1738575058,253.52,259.00,1953
1738575116,253.58,258.10,1978
1738575178,253.61,259.30,1989
1738575239,253.84,257.35,2111
1738575297,253.85,257.25,2118
1738575359,254.14,257.25,2318
1738575419,254.34,256.35,2626
1738575473,254.34,256.40,2627
1738575539,254.56,257.55,2851
1738575598,254.56,255.90,2853
1738575659,254.56,256.45,2864
1738575718,254.57,255.85,2877
1738575778,254.58,256.50,2895
1738575827,254.59,255.65,2925
1738575898,254.65,256.70,3012
1738575958,254.65,256.05,3014
1738576010,254.65,256.80,3020
1738576075,254.67,257.50,3050
1738576135,254.67,256.95,3054
1738576186,254.67,256.95,3054
1738576225,254.67,256.95,3054
1738576319,254.67,256.95,3054
1738576374,254.67,256.95,3054
1738576437,254.68,256.70,3061
1738576490,254.69,256.60,3079
1738576559,254.69,256.60,3079
1738576611,254.73,256.05,3179
1738576672,254.74,256.90,3185
1738576738,254.74,255.85,3190
1738576797,254.74,255.85,3190
1738576851,254.75,257.20,3200
1738576907,254.75,257.20,3200
1738576978,254.75,257.20,3200
1738577039,254.79,257.00,3259
1738577091,255.19,257.30,3973
1738577156,255.20,257.45,3997
1738577217,255.23,257.10,4043
1738577279,255.23,257.45,4044
1738577338,255.23,257.45,4044
1738577393,255.59,257.45,4844
1738577452,255.59,257.45,4844
1738577515,255.61,258.25,4869
1738577573,255.61,258.25,4874
1738577637,255.61,258.15,4877
1738577692,255.62,257.25,4897
1738577732,255.63,258.25,4917
1738577819,255.63,257.55,4918
1738577875,255.65,256.85,5018
1738577920,255.65,256.85,5018
1738577996,255.65,257.50,5023
1738578059,255.66,257.70,5027
1738578111,255.66,257.10,5032
1738578178,255.66,257.10,5032
1738578236,255.69,258.30,5109
1738578299,255.73,259.45,5167
1738578350,255.73,259.45,5167
1738578419,255.76,258.85,5210
1738578477,255.81,258.35,5311
1738578534,255.94,258.10,5518
1738578597,255.94,257.75,5520
1738578653,255.94,257.75,5520
1738578710,255.94,257.75,5520
1738578777,255.95,257.45,5549
1738578838,255.95,257.45,5549
1738578897,255.95,256.45,5550
1738578948,255.95,256.45,5550
1738579019,255.94,255.75,5631
1738579074,255.94,255.75,5631
1738579127,255.94,255.75,5631
1738579199,255.92,255.80,5772
1738579259,255.92,255.80,5772
1738579305,255.92,255.80,5772
1738579376,255.92,255.80,5772
1738579433,255.92,255.80,5772
1738579495,255.92,255.90,5782
1738579529,255.92,255.90,5782
1738579595,255.92,255.90,5782
1738579674,255.92,255.90,5782
1738579711,255.92,255.90,5782
1738579796,255.92,255.90,5782
1738579832,255.92,255.05,5785
1738579914,255.92,255.05,5785
1738579977,255.91,255.50,5985
1738580037,255.91,255.50,5985
1738580074,255.91,255.50,5985
1738580148,255.91,255.50,5985
1738580215,255.91,255.50,5985
1738580264,255.91,255.50,5985
1738580339,255.91,255.50,5985
1738580388,255.91,255.50,5995
1738580441,255.91,255.50,5995
1738580519,255.91,255.50,5995
1738580579,255.88,255.90,6278
1738580622,255.87,255.30,6305
1738580696,255.87,255.15,6377
1738580758,255.87,255.15,6377
1738580817,255.87,255.15,6377
1738580879,255.86,254.85,6431
1738580936,255.86,254.85,6431
1738580984,255.86,254.85,6431
1738581045,255.86,254.85,6431
1738581119,255.86,254.85,6431
1738581177,255.86,254.85,6431
1738581238,255.86,254.85,6431
1738581283,255.86,257.15,6438
1738581350,255.86,256.45,6448
1738581415,255.86,256.45,6448
1738581479,255.86,256.45,6448
1738581530,255.86,256.45,6448
1738581571,255.86,256.45,6448
1738581652,255.86,256.45,6448
1738581718,255.86,256.45,6448
1738581779,255.86,256.45,6448
1738581837,255.86,256.45,6448
1738581897,255.86,256.45,6448
1738581958,255.86,256.45,6448
1738582019,255.86,257.50,6450
1738582078,255.86,257.50,6450
1738582125,255.86,257.50,6450
1738582197,255.86,257.50,6450
1738582231,255.86,257.50,6450
1738582277,255.86,257.50,6450
1738582378,255.86,257.50,6450
1738582438,255.87,256.85,6527
1738582496,255.87,256.85,6527
1738582557,255.88,257.40,6567
1738582619,255.88,257.40,6567
1738582673,255.88,257.40,6567
1738582739,255.89,257.15,6597
1738582799,255.89,256.45,6620
1738582856,255.89,256.45,6620
1738582914,255.87,255.40,7023
1738582971,255.87,255.40,7023
1738583026,255.87,255.40,7158
1738583096,255.87,255.40,7158
1738583156,255.87,255.40,7158
1738583211,255.87,255.40,7158
1738583248,255.87,255.40,7158
1738583334,255.87,257.00,7169
1738583398,255.87,257.00,7169
1738583452,255.87,257.00,7169
1738583519,255.87,257.00,7169
1738583546,255.87,257.00,7169
1738583639,255.87,257.00,7169
1738583679,255.87,257.00,7169
1738583727,255.87,257.00,7169
1738583810,255.87,257.00,7169
1738583857,255.87,255.80,7170
1738583921,255.87,255.80,7170
1738583999,255.87,255.80,7170
1738584059,255.87,256.30,7173
1738584105,255.87,256.30,7173
1738584160,255.87,256.30,7173
1738584239,255.87,256.30,7173
1738584280,255.87,256.30,7173
1738584354,255.82,254.85,7601
1738584419,255.80,255.00,7709
1738584471,255.80,255.00,7709
