t,ap,cp,v
1738573635,2550.00,2550.00,6
1738573741,2550.00,2550.00,6
1738574159,2555.14,2553.10,90
1738574219,2555.03,2553.10,97
1738574279,2554.80,2547.30,100
1738574336,2554.10,2548.55,119
1738574399,2554.10,2548.55,119
1738574459,2554.01,2548.55,121
1738574519,2553.54,2548.05,132
1738574578,2553.05,2548.75,147
1738574639,2553.54,2557.95,166
1738574699,2554.98,2563.00,196
1738574759,2554.98,2563.00,196
1738574819,2565.32,2570.05,472
1738574877,2565.31,2564.45,477
1738574935,2564.58,2554.85,514
1738574998,2563.95,2554.00,552
1738575059,2563.93,2552.65,553
1738575118,2563.93,2552.65,553
1738575179,2563.93,2552.65,553
1738575239,2561.08,2540.00,628
1738575299,2561.03,2530.00,629
1738575359,2561.03,2530.00,629
1738575419,2561.03,2530.00,629
1738575477,2560.90,2520.00,631
1738575539,2560.90,2520.00,631
1738575599,2560.49,2517.95,637
1738575659,2560.49,2517.95,637
1738575716,2560.49,2517.95,637
1738575779,2558.95,2537.95,681
1738575838,2558.95,2537.95,681
1738575899,2558.65,2542.05,696
1738575959,2558.44,2534.20,702
1738576018,2557.60,2534.35,727
1738576077,2557.60,2534.35,727
1738576138,2557.60,2534.35,727
1738576197,2557.60,2534.35,727
1738576259,2557.60,2534.35,727
1738576313,2557.54,2533.95,729
1738576378,2557.54,2533.95,729
1738576437,2557.54,2533.95,729
1738576496,2557.54,2533.95,729
1738576559,2557.54,2533.95,729
1738576619,2557.54,2533.95,729
1738576677,2557.54,2533.95,729
1738576738,2556.74,2522.05,746
1738576798,2556.69,2522.05,747
1738576858,2556.69,2522.05,747
1738576919,2556.69,2522.05,747
1738576979,2556.69,2522.05,747
1738577039,2555.17,2526.80,786
1738577098,2555.17,2526.80,786
1738577159,2555.17,2526.80,786
1738577218,2554.32,2515.00,803
1738577278,2554.32,2515.00,803
1738577339,2554.32,2515.00,803
1738577399,2554.11,2520.05,808
1738577458,2554.11,2520.05,808
1738577518,2552.78,2520.85,842
1738577578,2552.78,2520.85,842
1738577639,2552.67,2519.90,845
1738577698,2552.67,2519.90,845
1738577759,2549.83,2512.85,911
1738577819,2549.83,2512.85,911
1738577875,2549.83,2512.85,911
1738577939,2549.83,2512.85,911
1738577998,2549.83,2512.85,911
1738578053,2549.83,2512.85,911
1738578119,2549.79,2515.30,912
1738578179,2549.79,2515.30,912
1738578239,2549.79,2515.30,912
1738578298,2549.79,2515.30,912
1738578357,2549.79,2515.30,912
1738578419,2549.79,2515.30,912
1738578479,2549.47,2512.85,920
1738578535,2549.30,2510.00,924
1738578599,2549.30,2510.00,924
1738578659,2549.30,2510.00,924
1738578719,2549.30,2510.00,924
1738578779,2549.30,2510.00,924
1738578839,2549.26,2506.80,925
1738578899,2549.21,2507.25,926
1738578958,2547.50,2511.65,970
1738579019,2547.50,2511.65,970
1738579078,2547.50,2511.65,970
1738579139,2547.50,2511.65,970
1738579198,2547.50,2511.65,970
1738579259,2547.50,2511.65,970
1738579319,2547.50,2511.65,970
1738579375,2545.87,2502.15,1008
1738579439,2544.80,2503.25,1035
1738579499,2544.80,2503.25,1035
1738579559,2544.80,2503.25,1035
1738579612,2544.80,2503.25,1035
1738579677,2544.80,2503.25,1035
1738579739,2544.80,2503.25,1035
1738579799,2544.04,2516.35,1063
1738579859,2543.76,2522.35,1077
1738579919,2543.76,2522.35,1077
1738579978,2543.00,2521.25,1115
1738580038,2543.00,2521.25,1115
1738580099,2543.00,2521.25,1115
1738580159,2543.00,2521.25,1115
1738580219,2543.00,2521.25,1115
1738580279,2542.98,2511.75,1116
1738580336,2542.76,2508.05,1123
1738580399,2542.76,2508.05,1123
1738580459,2542.76,2508.05,1123
1738580516,2542.76,2508.05,1123
1738580578,2542.76,2508.05,1123
1738580639,2542.76,2508.05,1123
1738580697,2542.76,2508.05,1123
1738580759,2542.76,2508.05,1123
1738580819,2542.76,2508.05,1123
1738580879,2542.31,2514.05,1141
1738580932,2542.31,2514.05,1141
1738580999,2541.38,2509.25,1174
1738581059,2541.38,2509.25,1174
1738581119,2541.25,2515.70,1180
1738581176,2541.19,2517.65,1183
1738581239,2540.69,2513.95,1206
1738581299,2540.69,2513.95,1206
1738581351,2540.61,2517.70,1210
1738581418,2540.61,2517.70,1210
1738581479,2540.61,2517.70,1210
1738581539,2540.61,2517.70,1210
1738581599,2540.61,2517.70,1210
1738581658,2540.61,2517.70,1210
1738581719,2540.57,2528.30,1214
1738581779,2540.57,2528.30,1214
1738581825,2540.57,2528.30,1214
1738581896,2540.23,2523.65,1239
1738581958,2540.23,2523.65,1239
1738582016,2540.23,2523.65,1239
1738582077,2540.17,2520.05,1243
1738582139,2540.17,2520.05,1243
