t,ap,cp,v
1738573634,771.50,771.50,169
1738573740,771.50,771.50,169
1738574159,771.62,778.65,433
1738574219,773.50,774.90,806
1738574279,773.84,777.00,920
1738574339,774.42,780.80,1104
1738574399,775.08,783.05,1208
1738574458,775.61,786.20,1278
1738574518,775.70,785.10,1290
1738574579,776.22,780.05,1438
1738574638,776.22,784.70,1439
1738574699,779.42,784.15,2059
1738574758,779.59,783.15,2362
1738574818,779.73,788.00,2418
1738574879,779.77,789.00,2428
1738574939,780.86,791.60,2699
1738574999,781.22,795.00,2775
1738575059,781.36,796.25,2801
1738575119,781.74,792.35,2893
1738575179,781.75,790.10,2899
1738575239,781.78,790.10,2907
1738575298,781.81,787.40,2923
1738575359,781.84,784.00,2958
1738575419,781.84,784.00,2958
1738575477,781.84,784.00,2958
1738575535,781.84,784.00,2958
1738575597,781.87,787.70,2973
1738575659,781.87,787.70,2973
1738575719,781.91,786.85,2999
1738575779,781.93,788.90,3008
1738575838,781.94,789.65,3014
1738575898,782.42,786.10,3340
1738575959,782.42,786.10,3340
1738576019,782.43,786.45,3350
1738576076,782.43,786.45,3350
1738576138,782.47,786.00,3376
1738576198,782.47,786.00,3376
1738576257,782.58,786.00,3687
1738576319,782.58,786.00,3687
1738576379,782.60,785.65,3712
1738576439,782.60,785.65,3712
1738576499,782.63,788.55,3729
1738576558,782.63,788.55,3729
1738576619,782.78,789.70,3819
1738576678,782.78,789.70,3819
1738576739,782.78,789.70,3819
1738576799,783.00,788.05,3983
1738576859,783.02,789.65,3992
1738576917,783.02,789.65,3992
1738576968,783.02,789.65,3992
1738577037,783.02,789.65,3992
1738577098,783.04,789.55,4002
1738577158,783.04,789.55,4002
1738577215,783.09,789.05,4042
1738577279,783.10,788.00,4045
1738577338,783.27,794.85,4137
1738577395,783.49,796.00,4217
1738577458,783.49,796.00,4217
1738577518,783.49,796.00,4217
1738577579,783.49,796.00,4217
1738577639,783.50,791.15,4222
1738577698,783.50,791.60,4223
1738577755,783.50,791.60,4223
1738577814,783.53,786.55,4256
1738577874,783.70,786.55,4438
1738577938,783.70,786.55,4438
1738577998,783.70,786.55,4438
1738578059,783.70,789.05,4439
1738578118,783.70,789.05,4439
1738578177,783.70,792.25,4443
1738578237,783.72,791.25,4453
1738578299,783.72,791.25,4453
1738578351,783.72,791.25,4453
1738578419,783.72,791.25,4453
1738578479,783.98,792.95,4586
1738578534,783.99,789.65,4596
1738578598,784.05,789.65,4643
1738578659,784.05,789.65,4643
1738578718,784.05,789.65,4643
