t,ap,cp,v
1738573635,38.00,38.00,60
1738573741,38.00,38.00,60
1738574105,37.77,37.25,85
1738574264,37.77,37.25,85
1738574437,37.77,37.25,85
1738574616,37.77,37.25,86
1738574870,37.30,36.90,186
1738574889,37.30,36.90,186
1738575048,37.77,39.00,286
1738575153,37.85,39.00,306
1738575209,37.85,39.00,306
1738575510,37.85,39.00,306
1738576030,37.85,39.00,306
1738576149,37.85,39.00,306
1738576319,37.86,38.00,324
1738576367,37.86,38.00,324
1738576407,37.86,38.00,324
1738576473,37.50,36.76,514
1738576545,36.28,36.11,4304
1738576576,36.28,36.11,4304
1738576658,36.28,36.11,4304
1738576973,36.28,38.70,4314
1738576985,36.28,38.70,4314
1738577096,36.28,38.70,4314
1738577137,36.29,36.11,4440
1738577390,36.26,36.10,5040
1738577490,36.26,36.10,5140
1738577556,36.26,36.10,5240
1738577745,36.25,36.10,5355
1738577777,36.25,36.10,5375
1738578053,36.21,36.10,7375
1738578117,36.21,36.10,7676
1738578143,36.21,36.10,7676
1738578395,36.21,36.10,7676
1738578452,36.21,38.59,7686
1738578524,36.21,38.59,7686
1738578705,36.21,38.59,7686
1738578880,36.21,38.59,7686
1738578947,36.21,38.59,7686
1738578990,36.21,38.59,7686
1738579272,36.21,38.59,7686
1738579376,36.21,38.59,7686
1738579549,36.21,38.59,7686
1738579611,36.21,38.59,7686
1738579646,36.21,38.59,7686
1738579723,36.21,38.59,7686
1738579746,36.21,38.59,7686
1738579907,36.21,38.59,7686
1738579929,36.21,38.59,7686
1738580086,36.21,38.59,7686
1738580677,36.21,38.59,7686
1738580922,36.21,38.59,7686
1738581033,36.21,38.59,7686
1738581578,36.21,38.59,7686
1738582328,36.41,37.99,8686
1738582534,36.53,37.99,9386
1738582614,36.53,37.99,9386
1738582652,36.56,37.99,9586
1738582713,36.56,37.99,9586
1738583362,36.56,37.99,9586
1738583449,36.56,36.12,9611
1738583622,36.56,37.99,9621
1738584293,36.56,37.99,9621
1738584739,36.56,37.99,9621
1738585811,36.56,37.99,9621
1738586743,36.56,37.99,9621
1738587380,36.56,37.99,9636
1738588178,36.56,37.99,9636
1738588537,36.56,37.99,9636
1738590055,36.56,37.99,9636
1738590300,36.56,37.99,9636
1738590713,36.56,37.99,9644
1738591201,36.56,37.99,9644
1738592250,36.56,37.99,9644
1738593140,36.56,37.99,9645
1738595653,36.56,37.99,9645
1738595825,36.56,37.99,9645
1738596603,36.56,37.99,9645
1738596675,36.56,37.99,9645
1738597202,36.56,37.99,9645
1738597270,36.70,37.99,10645
1738598402,36.70,37.99,10645
t,ap,cp,v
1738573635,38.00,38.00,60
1738573741,38.00,38.00,60
1738574105,37.77,37.25,85
1738574264,37.77,37.25,85
1738574437,37.77,37.25,85
1738574616,37.77,37.25,86
1738574870,37.30,36.90,186
1738574889,37.30,36.90,186
1738575048,37.77,39.00,286
1738575153,37.85,39.00,306
1738575209,37.85,39.00,306
1738575510,37.85,39.00,306
1738576030,37.85,39.00,306
1738576149,37.85,39.00,306
1738576319,37.86,38.00,324
1738576367,37.86,38.00,324
1738576407,37.86,38.00,324
1738576473,37.50,36.76,514
1738576545,36.28,36.11,4304
1738576576,36.28,36.11,4304
1738576658,36.28,36.11,4304
1738576973,36.28,38.70,4314
1738576985,36.28,38.70,4314
1738577096,36.28,38.70,4314
1738577137,36.29,36.11,4440
1738577390,36.26,36.10,5040
1738577490,36.26,36.10,5140
1738577556,36.26,36.10,5240
1738577745,36.25,36.10,5355
1738577777,36.25,36.10,5375
1738578053,36.21,36.10,7375
1738578117,36.21,36.10,7676
1738578143,36.21,36.10,7676
1738578395,36.21,36.10,7676
1738578452,36.21,38.59,7686
1738578524,36.21,38.59,7686
1738578705,36.21,38.59,7686
1738578880,36.21,38.59,7686
1738578947,36.21,38.59,7686
1738578990,36.21,38.59,7686
1738579272,36.21,38.59,7686
1738579376,36.21,38.59,7686
1738579549,36.21,38.59,7686
1738579611,36.21,38.59,7686
1738579646,36.21,38.59,7686
1738579723,36.21,38.59,7686
1738579746,36.21,38.59,7686
1738579907,36.21,38.59,7686
1738579929,36.21,38.59,7686
1738580086,36.21,38.59,7686
1738580677,36.21,38.59,7686
1738580922,36.21,38.59,7686
1738581033,36.21,38.59,7686
1738581578,36.21,38.59,7686
1738582328,36.41,37.99,8686
1738582534,36.53,37.99,9386
1738582614,36.53,37.99,9386
1738582652,36.56,37.99,9586
1738582713,36.56,37.99,9586
1738583362,36.56,37.99,9586
1738583449,36.56,36.12,9611
1738583622,36.56,37.99,9621
1738584293,36.56,37.99,9621
1738584739,36.56,37.99,9621
1738585811,36.56,37.99,9621
1738586743,36.56,37.99,9621
1738587380,36.56,37.99,9636
1738588178,36.56,37.99,9636
1738588537,36.56,37.99,9636
1738590055,36.56,37.99,9636
1738590300,36.56,37.99,9636
1738590713,36.56,37.99,9644
1738591201,36.56,37.99,9644
1738592250,36.56,37.99,9644
1738593140,36.56,37.99,9645
1738595653,36.56,37.99,9645
1738595825,36.56,37.99,9645
1738596603,36.56,37.99,9645
1738596675,36.56,37.99,9645
1738597202,36.56,37.99,9645
1738597270,36.70,37.99,10645
1738598402,36.70,37.99,10645
t,ap,cp,v
1738573635,38.00,38.00,60
1738573741,38.00,38.00,60
1738574105,37.77,37.25,85
1738574264,37.77,37.25,85
1738574437,37.77,37.25,85
1738574616,37.77,37.25,86
1738574870,37.30,36.90,186
1738574889,37.30,36.90,186
1738575048,37.77,39.00,286
1738575153,37.85,39.00,306
1738575209,37.85,39.00,306
1738575510,37.85,39.00,306
1738576030,37.85,39.00,306
1738576149,37.85,39.00,306
1738576319,37.86,38.00,324
1738576367,37.86,38.00,324
1738576407,37.86,38.00,324
1738576473,37.50,36.76,514
1738576545,36.28,36.11,4304
1738576576,36.28,36.11,4304
1738576658,36.28,36.11,4304
1738576973,36.28,38.70,4314
1738576985,36.28,38.70,4314
1738577096,36.28,38.70,4314
1738577137,36.29,36.11,4440
1738577390,36.26,36.10,5040
1738577490,36.26,36.10,5140
1738577556,36.26,36.10,5240
1738577745,36.25,36.10,5355
1738577777,36.25,36.10,5375
1738578053,36.21,36.10,7375
1738578117,36.21,36.10,7676
1738578143,36.21,36.10,7676
1738578395,36.21,36.10,7676
1738578452,36.21,38.59,7686
1738578524,36.21,38.59,7686
1738578705,36.21,38.59,7686
1738578880,36.21,38.59,7686
1738578947,36.21,38.59,7686
1738578990,36.21,38.59,7686
1738579272,36.21,38.59,7686
1738579376,36.21,38.59,7686
1738579549,36.21,38.59,7686
1738579611,36.21,38.59,7686
1738579646,36.21,38.59,7686
1738579723,36.21,38.59,7686
1738579746,36.21,38.59,7686
1738579907,36.21,38.59,7686
1738579929,36.21,38.59,7686
1738580086,36.21,38.59,7686
1738580677,36.21,38.59,7686
1738580922,36.21,38.59,7686
1738581033,36.21,38.59,7686
1738581578,36.21,38.59,7686
1738582328,36.41,37.99,8686
1738582534,36.53,37.99,9386
1738582614,36.53,37.99,9386
1738582652,36.56,37.99,9586
1738582713,36.56,37.99,9586
1738583362,36.56,37.99,9586
1738583449,36.56,36.12,9611
1738583622,36.56,37.99,9621
1738584293,36.56,37.99,9621
1738584739,36.56,37.99,9621
1738585811,36.56,37.99,9621
1738586743,36.56,37.99,9621
1738587380,36.56,37.99,9636
1738588178,36.56,37.99,9636
