t,ap,cp,v
1738573749,66.99,66.99,728
1738574158,66.81,67.01,3766
1738574218,66.89,66.81,5777
1738574279,66.87,66.82,7019
1738574339,66.87,66.91,7219
1738574399,66.88,66.98,7689
1738574459,66.87,66.82,8776
1738574518,66.83,66.60,10842
1738574579,66.74,66.79,22854
1738574638,66.75,66.61,28010
1738574699,66.79,67.16,33355
1738574758,66.82,67.20,35556
1738574818,66.87,67.50,38785
1738574879,66.88,67.50,38903
1738574939,66.89,67.30,40093
1738574996,66.89,67.37,40318
1738575059,67.01,67.34,56369
1738575118,67.01,67.18,56556
1738575178,67.01,67.12,56636
1738575239,67.01,67.07,60410
1738575298,67.01,66.98,60739
1738575358,67.01,66.90,60789
1738575419,67.00,66.85,70800
1738575479,66.99,66.75,70870
1738575537,66.97,66.61,75570
1738575598,66.94,66.43,81363
1738575658,66.94,66.70,81621
1738575715,66.94,66.69,83381
1738575779,66.94,66.80,83886
1738575839,66.94,66.96,84284
1738575899,66.94,67.08,84908
1738575959,66.94,66.92,84975
1738576019,66.94,66.84,87067
1738576079,66.94,66.87,87361
1738576139,66.94,66.95,87761
1738576197,66.94,66.95,87762
1738576258,66.94,67.00,90358
1738576319,66.94,66.95,91265
1738576379,66.94,66.86,91467
1738576439,66.94,66.95,91532
1738576498,66.94,66.90,91539
1738576559,66.93,66.70,92689
1738576619,66.93,66.63,93047
1738576679,66.93,66.49,94385
1738576739,66.92,66.55,94954
1738576799,66.92,66.59,95148
1738576858,66.92,66.59,95148
1738576918,66.92,66.59,95148
1738576975,66.92,66.85,95322
1738577039,66.92,66.83,105349
1738577097,66.92,66.81,105372
1738577158,66.92,66.83,105484
1738577219,66.92,66.85,106484
1738577279,66.92,67.11,106692
1738577339,66.92,67.02,106758
1738577398,66.92,67.02,106858
1738577458,66.92,67.02,106858
1738577518,66.92,67.09,107418
1738577579,66.92,67.05,107421
1738577636,66.92,67.18,107425
1738577698,66.92,67.17,107825
1738577752,66.92,66.88,109703
1738577817,66.92,67.01,109705
1738577875,66.92,67.01,109705
1738577938,66.92,66.85,110555
1738577998,66.92,66.94,110619
1738578057,66.92,66.94,110619
1738578119,66.92,67.00,111009
1738578179,66.92,66.81,111036
1738578239,66.92,67.02,111086
1738578299,66.92,67.00,111736
1738578352,66.92,67.00,111736
1738578418,66.92,66.90,111810
1738578479,66.92,66.93,112813
1738578539,66.92,66.60,113073
1738578597,66.92,66.50,113515
1738578657,66.92,66.75,115135
1738578717,66.92,66.71,115139
1738578777,66.92,66.58,115389
1738578839,66.92,66.58,115389
1738578899,66.92,66.58,115492
1738578958,66.92,66.86,116042
1738579018,66.92,66.74,116076
1738579079,66.92,66.62,116176
1738579139,66.92,66.60,116190
1738579197,66.91,66.61,117019
1738579259,66.91,66.56,117281
1738579319,66.91,66.65,117555
1738579378,66.91,66.74,120420
1738579439,66.91,66.76,120580
1738579496,66.91,66.88,120796
1738579559,66.91,66.75,120950
1738579616,66.91,66.75,120950
1738579675,66.91,66.75,120950
1738579737,66.91,66.86,120955
1738579796,66.91,66.86,120955
1738579859,66.90,66.83,123265
1738579919,66.90,66.77,123326
1738579979,66.90,66.62,123376
1738580039,66.90,66.62,124302
1738580099,66.90,66.55,124402
1738580155,66.90,66.65,124431
1738580213,66.90,66.64,124459
1738580279,66.90,66.64,124459
1738580327,66.90,66.68,124469
1738580398,66.90,66.80,124470
1738580459,66.90,66.90,127435
1738580517,66.90,66.82,129297
1738580575,66.90,66.99,129313
1738580638,66.90,66.91,129693
1738580696,66.90,66.92,129694
1738580758,66.90,66.74,129773
1738580817,66.90,66.67,129865
1738580879,66.90,66.78,129866
1738580936,66.90,66.78,129866
1738580999,66.90,66.78,129866
1738581059,66.90,66.78,129866
1738581118,66.90,66.73,129867
1738581178,66.90,66.62,129963
1738581236,66.90,66.75,129967
1738581295,66.90,66.70,130207
1738581359,66.90,66.70,130207
1738581416,66.90,66.79,130465
1738581479,66.90,66.90,130892
1738581539,66.90,66.90,130892
1738581597,66.90,66.80,130895
1738581657,66.90,66.87,131194
1738581719,66.90,66.80,131217
1738581773,66.90,66.71,131610
1738581839,66.90,66.70,131620
1738581896,66.90,66.70,131620
1738581958,66.90,66.60,131630
1738582010,66.90,66.65,132105
1738582079,66.90,66.69,132212
1738582137,66.89,66.52,133302
1738582197,66.89,66.68,133335
1738582250,66.89,66.68,133335
1738582319,66.89,66.68,133335
1738582368,66.89,66.68,133335
1738582434,66.89,66.76,133535
1738582499,66.89,66.76,133535
1738582556,66.89,66.76,133535
1738582615,66.89,66.71,133545
1738582678,66.89,66.71,133596
1738582739,66.89,66.71,133596
1738582799,66.89,66.50,134510
1738582859,66.89,66.54,134659
1738582918,66.89,66.42,135778
1738582979,66.89,66.42,135778
1738583038,66.88,66.33,136353
1738583091,66.88,66.48,136415
1738583159,66.88,66.48,136415
