t,ap,cp,v
1738573634,56.90,56.90,3977
1738573682,56.90,56.90,3977
1738573740,56.90,56.90,3977
1738574159,56.44,55.87,16995
1738574219,56.37,55.94,20304
1738574279,56.32,55.92,22976
1738574339,56.28,56.17,28603
1738574399,56.29,56.40,33549
1738574459,56.28,55.99,37865
1738574518,56.27,55.97,39078
1738574578,56.23,56.02,46198
1738574639,56.23,56.13,46325
1738574695,56.23,56.19,46551
1738574759,56.22,56.13,54459
1738574819,56.20,56.14,58948
1738574879,56.20,56.21,71985
1738574939,56.20,56.25,73676
1738574999,56.20,56.22,75786
1738575059,56.20,56.14,79728
1738575119,56.20,56.12,81331
1738575178,56.18,55.98,87125
1738575239,56.18,55.90,89064
1738575299,56.16,55.99,105324
1738575359,56.15,56.00,106693
1738575419,56.15,55.94,108421
1738575479,56.14,55.96,112253
1738575539,56.14,55.94,113634
1738575599,56.14,55.93,114502
1738575659,56.13,56.00,118029
1738575719,56.13,55.94,118321
1738575779,56.13,56.00,118438
1738575839,56.13,55.94,119593
1738575899,56.13,55.98,123873
1738575959,56.13,55.95,124244
1738576019,56.13,55.94,124501
1738576079,56.12,56.02,125578
1738576139,56.12,55.99,125727
1738576199,56.12,56.00,125748
1738576259,56.12,56.02,126968
1738576319,56.12,56.00,127060
1738576379,56.12,55.99,127270
1738576439,56.12,56.03,127604
1738576499,56.12,56.04,128582
1738576559,56.12,56.07,129698
1738576619,56.12,56.05,130097
1738576679,56.12,56.06,130304
1738576739,56.12,56.00,130671
1738576796,56.12,56.05,130798
1738576858,56.12,56.03,130882
1738576919,56.12,56.01,132097
1738576977,56.12,56.04,132849
1738577039,56.12,56.02,133193
1738577099,56.12,55.99,133421
1738577159,56.12,56.02,133531
1738577218,56.12,56.02,133966
1738577279,56.12,56.00,135485
1738577339,56.12,56.05,135844
1738577399,56.12,56.06,137086
1738577459,56.12,56.06,139245
1738577519,56.11,56.12,145960
1738577578,56.12,56.11,166852
1738577639,56.12,56.09,168815
1738577699,56.11,56.17,184351
1738577758,56.11,56.14,185060
1738577817,56.11,56.14,185272
1738577879,56.11,56.12,185480
1738577939,56.11,56.08,186325
1738577998,56.11,56.11,186514
1738578059,56.11,56.15,186680
1738578118,56.11,56.15,187338
1738578178,56.11,56.13,188911
1738578239,56.11,56.17,190786
1738578299,56.11,56.12,191099
1738578359,56.11,56.11,191587
1738578418,56.11,56.14,191596
1738578476,56.11,56.07,192300
1738578539,56.11,56.09,192551
1738578598,56.11,56.08,192868
1738578659,56.11,56.15,192934
1738578719,56.11,56.12,193820
1738578779,56.11,56.12,193988
1738578839,56.11,56.11,194043
1738578899,56.11,56.11,194143
1738578959,56.11,56.13,194224
1738579019,56.11,56.12,194241
1738579079,56.11,56.11,194243
1738579139,56.11,56.10,195761
1738579197,56.11,56.10,195788
1738579258,56.11,56.10,195788
1738579319,56.11,56.07,198343
1738579379,56.11,56.11,198737
1738579439,56.11,56.16,203705
1738579499,56.12,56.20,234176
1738579559,56.13,56.31,239957
1738579618,56.13,56.39,240126
1738579679,56.13,56.33,245359
1738579739,56.13,56.26,245528
1738579799,56.13,56.24,245691
1738579859,56.13,56.39,245779
1738579919,56.14,56.36,247517
1738579979,56.14,56.39,247823
1738580039,56.14,56.38,247828
1738580099,56.14,56.30,248459
1738580157,56.14,56.31,248594
1738580219,56.14,56.34,248659
1738580278,56.14,56.29,249516
1738580338,56.14,56.36,249612
1738580399,56.14,56.28,251152
1738580458,56.14,56.28,251157
1738580519,56.14,56.33,251254
1738580579,56.14,56.28,251970
1738580639,56.14,56.35,253062
1738580699,56.14,56.34,253067
1738580759,56.14,56.32,253079
1738580819,56.15,56.38,264063
1738580879,56.16,56.44,269958
1738580939,56.16,56.46,272287
1738580999,56.17,56.52,284133
1738581059,56.17,56.50,284354
1738581117,56.18,56.57,289262
1738581179,56.18,56.61,290408
1738581239,56.18,56.60,290437
1738581298,56.18,56.68,290862
1738581356,56.18,56.77,292155
1738581419,56.18,56.77,293229
1738581479,56.18,56.73,294077
1738581537,56.18,56.79,294137
1738581598,56.21,56.82,305718
1738581659,56.21,56.84,305876
1738581719,56.21,56.80,306211
1738581779,56.21,56.85,306218
1738581839,56.21,56.81,307342
1738581899,56.23,56.77,315456
1738581959,56.23,56.71,316155
1738582017,56.23,56.77,316174
1738582079,56.23,56.79,316280
1738582139,56.23,56.75,316290
1738582198,56.23,56.70,317045
1738582259,56.23,56.70,317045
1738582319,56.23,56.76,317150
1738582379,56.23,56.78,317190
1738582439,56.23,56.78,317196
1738582498,56.23,56.77,317466
1738582557,56.24,56.81,322983
1738582619,56.24,56.77,323131
1738582679,56.24,56.80,323141
1738582739,56.24,56.78,327014
1738582799,56.25,56.73,327421
