t,ap,cp,v
1738573635,647.80,647.80,400
1738573727,647.80,647.80,400
1738573741,647.80,647.80,400
1738574159,642.90,636.90,4916
1738574219,639.98,631.65,8990
1738574279,637.15,634.00,14441
1738574339,635.56,631.35,21866
1738574399,635.10,633.55,25767
1738574459,634.89,632.50,27339
1738574519,634.61,631.30,29442
1738574579,634.35,632.60,32051
1738574639,634.31,633.10,32895
1738574697,634.24,631.45,33931
1738574759,634.22,635.05,34952
1738574819,634.57,639.55,38480
1738574879,634.77,639.55,40010
1738574939,634.98,637.00,42036
1738574998,635.08,636.10,44445
1738575059,635.01,632.15,47870
1738575119,634.76,631.10,51191
1738575179,634.49,628.90,54495
1738575239,634.01,627.00,58415
1738575297,633.84,627.40,60017
1738575359,633.48,624.30,62845
1738575419,633.20,624.05,64880
1738575479,632.87,624.20,67156
1738575538,632.67,623.05,68568
1738575599,632.26,621.35,71394
1738575659,631.94,622.90,73765
1738575719,631.87,624.00,74403
1738575779,631.77,626.10,75402
1738575839,631.65,625.00,76940
1738575899,631.59,625.40,77669
1738575959,631.54,624.00,78242
1738576017,631.46,625.05,79026
1738576079,631.40,624.60,79701
1738576139,631.36,623.35,80120
1738576199,631.23,622.55,81279
1738576259,631.21,624.00,81480
1738576319,631.12,623.15,82441
1738576379,630.85,622.60,85095
1738576439,630.82,622.10,85484
1738576499,630.80,623.70,85671
1738576559,630.76,622.20,86124
1738576619,630.74,622.40,86351
1738576679,630.45,621.50,89027
1738576739,630.02,619.95,92926
1738576799,629.97,621.30,93360
1738576859,629.89,620.80,94194
1738576919,629.84,621.15,94841
1738576979,629.70,619.80,96381
1738577039,629.59,620.60,97440
1738577099,629.58,620.20,97567
1738577159,629.54,620.95,98105
1738577219,629.47,619.35,98754
1738577278,629.29,621.95,101070
1738577338,629.27,622.00,101309
1738577399,629.24,621.70,101653
1738577459,629.19,623.55,102531
1738577519,629.13,623.10,103637
1738577578,629.11,622.15,104030
1738577639,629.09,621.75,104266
1738577699,629.06,621.75,104634
1738577759,629.03,620.00,105110
1738577819,628.85,619.75,107193
1738577879,628.74,620.15,108395
1738577939,628.72,619.90,108642
1738577999,628.58,620.30,110257
1738578059,628.49,620.80,111403
1738578119,628.48,621.85,111569
1738578179,628.29,621.95,114700
1738578239,628.28,622.40,114888
1738578299,628.23,621.30,115883
1738578359,628.19,621.45,116610
1738578419,628.17,621.00,116962
1738578479,628.15,621.45,117337
1738578539,628.06,620.60,118741
1738578599,628.03,620.20,119240
1738578659,628.03,620.30,119285
1738578719,628.03,620.70,119311
1738578778,627.99,619.85,119812
1738578839,627.91,619.65,120951
1738578898,627.84,620.95,122127
1738578959,627.83,621.15,122160
1738579019,627.80,619.80,122676
1738579079,627.79,619.75,122786
1738579139,627.65,618.65,124765
1738579199,627.64,617.55,124884
1738579259,627.55,617.05,125933
1738579319,627.54,618.00,126031
1738579378,627.50,619.25,126740
1738579439,627.49,620.15,126878
1738579499,627.45,619.50,127529
1738579559,627.43,619.80,127928
1738579619,627.42,620.05,128059
1738579679,627.39,619.40,128490
1738579739,627.33,620.00,129485
1738579799,627.32,619.50,129766
1738579859,627.29,621.45,130222
1738579919,627.28,620.00,130377
1738579979,627.21,620.20,131702
1738580039,627.13,619.60,133038
1738580099,627.10,619.95,133488
1738580159,627.10,619.80,133558
1738580218,627.00,619.95,135243
1738580279,626.98,619.40,135478
1738580339,626.94,620.50,136421
1738580398,626.89,620.70,137307
