t,ap,cp,v
1738573635,114599.95,114599.95,1
1738573741,114599.95,114599.95,1
1738574159,114074.91,113092.00,4
1738574219,114074.91,113092.00,4
1738574279,114074.91,113092.00,4
1738574339,114013.07,113765.70,5
1738574399,114013.07,113765.70,5
1738574457,114013.07,113765.70,5
1738574518,114013.07,113765.70,5
1738574579,114013.07,113765.70,5
1738574639,114013.07,113765.70,5
1738574699,114013.07,113765.70,5
1738574758,114013.07,113765.70,5
1738574818,114013.07,113765.70,5
1738574879,114110.88,114599.95,6
1738574939,114336.23,114800.00,9
1738574999,114336.23,114800.00,9
1738575059,114453.41,114719.10,13
1738575119,114453.41,114719.10,13
1738575179,114453.41,114719.10,13
1738575238,114453.41,114719.10,13
1738575299,114453.41,114719.10,13
1738575359,114412.96,114150.05,15
1738575419,114412.96,114150.05,15
1738575479,114354.33,113891.95,17
1738575539,114354.33,113891.95,17
1738575599,114354.33,113891.95,17
1738575659,114354.33,113891.95,17
1738575719,114347.11,114224.35,18
1738575779,114346.87,114344.70,20
1738575839,114349.40,114399.90,21
1738575899,114349.40,114399.90,21
1738575959,114349.40,114399.90,21
1738576019,114355.83,114491.00,22
1738576079,114355.83,114491.00,22
1738576139,114355.83,114491.00,22
1738576199,114300.35,113994.75,26
1738576257,114288.92,113991.65,27
1738576319,114288.92,113991.65,27
1738576379,114288.92,113991.65,27
1738576439,114288.92,113991.65,27
1738576499,114288.92,113991.65,27
1738576559,114286.54,114222.45,28
1738576619,114286.54,114222.45,28
1738576679,114286.54,114222.45,28
1738576739,114286.54,114222.45,28
1738576799,114286.54,114222.45,28
1738576857,114286.54,114222.45,28
1738576918,114286.54,114222.45,28
1738576979,114278.93,114065.90,29
1738577039,114277.94,114249.00,30
1738577099,114277.94,114249.00,30
1738577159,114277.94,114249.00,30
1738577219,114282.06,114405.95,31
1738577279,114287.92,114469.35,32
1738577339,114285.97,114223.60,33
1738577399,114285.97,114223.60,33
1738577459,114285.97,114223.60,33
1738577519,114320.53,114719.10,36
1738577571,114320.53,114719.10,36
1738577639,114332.81,114555.00,38
1738577699,114332.81,114555.00,38
1738577759,114344.56,114555.00,40
1738577819,114344.56,114555.00,40
1738577877,114344.56,114555.00,40
1738577939,114344.56,114555.00,40
1738577999,114344.56,114555.00,40
1738578057,114347.48,114464.20,41
1738578119,114347.48,114464.20,41
1738578179,114347.48,114464.20,41
1738578239,114347.48,114464.20,41
1738578299,114347.48,114464.20,41
1738578359,114347.48,114464.20,41
1738578419,114347.48,114464.20,41
1738578479,114347.48,114464.20,41
1738578539,114347.48,114464.20,41
1738578599,114347.48,114464.20,41
1738578659,114347.48,114464.20,41
1738578719,114347.48,114464.20,41
1738578777,114331.12,113991.65,43
1738578839,114331.12,113991.65,43
1738578899,114331.12,113991.65,43
1738578959,114323.60,114000.00,44
1738579018,114323.60,114000.00,44
1738579078,114323.60,114000.00,44
1738579139,114323.60,114000.00,44
1738579196,114323.60,114000.00,44
1738579259,114309.53,114000.00,46
1738579319,114292.46,113900.00,48
