t,ap,cp,v
1738573635,232.65,232.65,2218
1738573738,232.65,232.65,2218
1738573740,232.65,232.65,2218
1738574159,228.24,225.05,13764
1738574219,227.61,223.65,18147
1738574279,227.48,224.40,19003
1738574339,227.30,223.20,19891
1738574399,227.21,222.85,20305
1738574459,225.60,223.00,35830
1738574518,225.17,222.25,40741
1738574579,225.14,223.20,41322
1738574639,225.13,223.35,41428
1738574699,225.12,222.80,41649
1738574758,224.89,221.90,44979
1738574819,224.87,224.30,45527
1738574879,224.87,224.70,46200
1738574939,224.86,222.60,46593
1738574999,224.79,222.50,48313
1738575059,224.73,222.00,49597
1738575119,224.69,222.10,50191
1738575179,224.67,221.30,50618
1738575239,224.47,220.95,53442
1738575299,224.44,220.75,53949
1738575359,224.28,220.20,55978
1738575419,224.23,220.30,56570
1738575479,224.04,220.25,59472
1738575539,224.00,219.50,60026
1738575599,223.94,219.50,60809
1738575659,223.88,220.05,61716
1738575719,223.03,220.10,79833
1738575779,222.97,220.10,81394
1738575839,222.92,219.90,82699
1738575899,222.91,220.25,83313
1738575959,222.87,220.05,84250
1738576019,222.04,220.35,116609
1738576079,222.03,220.10,116881
1738576139,222.02,221.35,118937
1738576199,221.96,220.45,124453
1738576257,221.81,220.05,134228
1738576319,221.78,220.35,137048
1738576379,221.77,219.80,137298
1738576439,221.77,219.80,137473
1738576499,221.76,219.75,138474
1738576559,221.76,219.75,138479
1738576619,221.75,220.35,139342
1738576678,221.74,220.35,140028
1738576739,221.69,219.10,143022
1738576799,221.62,220.35,147775
1738576859,221.61,220.30,149020
1738576919,221.60,220.55,149151
1738576979,221.60,220.00,149444
1738577039,221.59,219.45,149994
1738577099,221.59,219.45,150023
1738577159,221.59,218.80,150126
1738577219,221.59,219.40,150348
1738577279,221.57,219.90,151373
1738577339,221.57,219.90,151593
1738577399,221.57,220.45,151740
1738577459,221.57,220.90,151943
1738577519,221.57,221.70,152430
1738577579,221.57,221.40,153038
1738577639,221.58,222.15,159581
1738577699,221.58,222.15,160393
1738577759,221.58,221.10,162196
1738577819,221.57,220.60,162803
1738577877,221.57,220.35,162913
1738577939,221.57,220.60,163012
1738577999,221.57,221.10,163618
1738578059,221.57,221.10,163618
1738578119,221.57,221.45,164208
1738578179,221.57,221.45,164208
1738578239,221.57,220.95,164556
1738578299,221.57,220.40,164720
1738578359,221.57,220.30,164776
1738578419,221.54,220.05,167426
1738578479,221.54,220.00,168140
1738578539,221.54,219.95,168310
1738578599,221.51,218.80,169789
1738578659,221.51,219.00,169991
1738578719,221.49,219.00,171011
1738578779,221.49,218.30,171456
1738578839,221.43,218.70,174490
1738578899,221.42,218.65,174686
1738578959,221.42,219.75,174921
1738579019,221.42,219.50,175107
1738579079,221.41,219.05,175662
1738579139,221.41,218.95,175671
1738579196,221.40,219.00,176673
1738579259,221.40,218.90,176675
1738579319,221.40,218.75,176798
1738579379,221.40,219.90,176978
1738579439,221.39,220.95,178735
1738579497,221.39,221.55,178866
1738579559,221.39,221.95,179212
1738579619,221.39,221.90,179562
1738579679,221.39,221.80,179614
1738579739,221.39,221.60,180091
1738579799,221.39,221.30,180612
1738579859,221.39,221.50,180718
1738579919,221.39,220.80,180961
1738579979,221.39,220.80,181074
1738580039,221.38,219.80,183695
1738580099,221.38,219.80,183712
1738580159,221.37,219.35,184234
1738580219,221.36,218.80,184661
1738580279,221.36,218.45,184686
1738580339,221.36,219.00,184942
1738580399,221.32,218.10,187104
1738580459,221.32,218.30,187292
1738580519,221.30,217.60,188458
1738580579,221.28,217.85,189533
1738580639,221.27,218.05,190083
1738580699,221.27,218.35,190409
1738580759,221.24,217.85,191935
1738580819,221.21,217.80,193311
1738580879,221.21,217.80,193311
1738580937,221.20,217.65,193969
