t,ap,cp,v
1738573634,177.70,177.70,221
1738573682,177.70,177.70,221
1738573740,177.70,177.70,221
1738574159,176.69,176.90,1355
1738574217,176.70,176.90,1396
1738574277,176.73,176.50,1911
1738574339,176.68,176.50,2411
1738574398,176.68,176.65,2437
1738574457,176.67,176.00,2471
1738574518,176.50,176.35,3616
1738574578,176.52,177.00,3962
1738574632,176.52,177.00,3962
1738574699,176.52,177.00,3962
1738574759,176.51,176.25,4162
1738574818,176.54,176.95,4480
1738574879,176.56,177.05,4625
1738574939,176.59,176.80,5030
1738574999,176.59,177.10,5073
1738575057,176.59,176.50,5167
1738575119,176.59,176.65,5331
1738575179,176.49,176.00,6453
1738575239,176.49,175.30,6455
1738575297,176.49,175.30,6455
1738575357,176.48,175.00,6481
1738575419,176.25,174.55,7612
1738575479,176.24,174.65,7653
1738575539,176.21,174.55,7766
1738575599,176.01,174.15,8641
1738575659,176.00,174.85,8703
1738575719,175.97,174.35,8983
1738575778,175.96,174.60,9010
1738575839,175.96,174.60,9010
1738575899,175.93,174.85,9327
1738575959,175.91,174.55,9474
1738576016,175.87,175.05,9873
1738576079,175.87,175.05,9873
1738576139,175.86,174.95,9913
1738576199,175.78,174.90,10955
1738576259,175.77,175.15,11108
1738576318,175.76,174.70,11256
1738576378,175.76,174.45,11278
1738576436,175.75,174.25,11318
1738576499,175.75,174.45,11341
1738576556,175.75,174.65,11349
1738576616,175.75,174.65,11349
1738576679,175.75,174.65,11349
1738576739,175.72,174.25,11604
1738576799,175.72,174.25,11606
1738576859,175.72,174.25,11606
1738576919,175.68,174.95,11962
1738576977,175.68,174.95,11962
1738577037,175.68,174.95,11962
1738577097,175.68,174.95,11962
1738577159,175.68,174.95,11962
1738577215,175.67,174.35,12051
1738577276,175.67,174.35,12051
1738577338,175.66,174.75,12251
1738577399,175.65,174.45,12334
1738577458,175.27,173.00,15242
1738577518,175.16,173.10,16031
1738577576,175.16,173.70,16032
1738577639,175.16,173.70,16032
1738577699,175.16,173.70,16032
1738577759,175.11,173.00,16432
1738577819,175.11,173.00,16450
1738577877,175.11,173.00,16450
1738577939,175.09,172.80,16543
1738577999,175.09,172.80,16543
1738578056,175.09,172.80,16543
1738578118,175.09,173.60,16544
1738578178,175.05,173.05,16999
