t,ap,cp,v
1738573634,582.85,582.85,382
1738573737,582.85,582.85,382
1738573740,582.85,582.85,382
1738573836,582.85,582.85,382
1738574159,580.49,572.95,786
1738574219,578.09,570.00,1159
1738574279,575.80,570.75,1942
1738574339,574.36,567.00,2363
1738574399,574.32,568.30,2380
1738574458,572.16,565.00,3117
1738574518,572.13,565.10,3130
1738574579,572.07,565.00,3160
1738574639,571.92,565.25,3229
1738574699,571.70,564.65,3329
1738574758,571.52,565.55,3419
1738574819,571.51,566.10,3432
1738574879,571.06,568.40,3958
1738574939,570.89,568.35,4163
1738574999,570.88,567.55,4178
1738575059,570.71,567.95,4332
1738575119,570.69,568.90,4394
1738575179,570.68,568.90,4405
1738575239,570.29,566.45,4890
1738575299,570.28,565.65,4901
1738575359,570.10,564.10,5080
1738575419,570.01,563.00,5145
1738575479,570.00,563.75,5151
1738575539,569.84,562.75,5270
1738575599,569.84,562.75,5270
1738575657,569.84,562.75,5270
1738575719,569.81,564.35,5295
1738575779,569.79,563.30,5311
1738575839,569.72,564.25,5377
1738575899,569.72,564.25,5377
1738575959,569.68,562.85,5410
1738576019,569.68,562.85,5410
1738576079,569.68,562.85,5410
1738576139,569.68,562.85,5410
1738576198,568.89,561.00,6070
1738576256,568.88,561.30,6076
1738576319,568.78,561.90,6171
1738576379,568.77,560.75,6173
1738576439,568.77,560.75,6173
1738576499,568.77,560.75,6173
1738576559,568.71,562.05,6230
1738576618,568.71,562.55,6234
1738576678,568.71,562.55,6234
1738576739,568.70,561.00,6241
1738576799,568.44,560.85,6456
1738576859,568.44,560.85,6456
1738576919,568.39,562.05,6511
1738576979,568.30,561.80,6597
1738577039,568.30,561.80,6597
1738577099,568.30,561.80,6597
1738577159,568.30,561.80,6597
1738577218,568.30,562.65,6599
1738577279,568.30,563.95,6600
1738577339,568.16,562.40,6760
1738577399,568.16,562.40,6760
1738577459,568.11,563.95,6829
1738577519,568.02,566.25,7053
1738577579,568.02,565.25,7054
1738577639,568.01,565.15,7071
1738577697,568.01,565.15,7071
1738577759,567.98,565.75,7146
1738577818,567.98,564.50,7156
1738577875,567.97,565.75,7171
1738577939,567.97,565.75,7171
1738577999,567.95,564.65,7219
1738578059,567.94,563.70,7228
1738578119,567.90,564.75,7328
1738578179,567.85,564.75,7443
1738578238,567.84,564.10,7452
1738578299,567.84,565.45,7453
1738578359,567.84,565.45,7453
1738578419,567.83,565.25,7487
1738578476,567.82,564.45,7523
1738578539,567.81,564.30,7541
1738578598,567.80,564.30,7546
1738578659,567.80,564.80,7548
1738578718,567.80,564.80,7548
1738578778,567.80,564.80,7548
1738578839,567.80,564.80,7548
1738578898,567.80,564.80,7548
1738578958,567.80,566.20,7560
1738579019,567.80,565.70,7570
1738579078,567.80,565.70,7570
1738579139,567.79,565.15,7598
1738579196,567.79,565.20,7610
1738579259,567.78,564.50,7611
1738579317,567.78,564.75,7623
1738579378,567.77,565.25,7650
1738579439,567.77,565.25,7650
1738579497,567.77,565.25,7650
1738579559,567.77,566.25,7670
1738579619,567.77,566.25,7670
1738579679,567.77,566.25,7670
1738579739,567.77,566.25,7670
1738579799,567.75,565.25,7708
1738579856,567.75,565.25,7708
1738579919,567.75,565.50,7735
1738579979,567.75,565.50,7735
1738580039,567.75,565.50,7735
1738580098,567.67,564.80,7944
1738580158,567.67,564.80,7944
1738580218,567.67,564.80,7944
1738580278,567.66,564.85,7981
1738580338,567.65,565.90,7997
1738580398,567.65,565.90,7997
1738580456,567.65,565.90,7997
1738580519,567.65,565.90,7997
1738580579,567.65,566.30,8001
1738580639,567.65,566.30,8001
1738580696,567.65,565.95,8003
1738580759,567.65,565.95,8003
1738580817,567.64,565.30,8043
1738580878,567.64,565.30,8043
1738580936,567.64,565.30,8043
1738580999,567.64,565.30,8043
1738581059,567.64,565.30,8043
1738581118,567.64,565.30,8043
1738581179,567.64,565.95,8045
1738581238,567.64,565.95,8045
1738581298,567.64,565.95,8051
1738581359,567.64,565.95,8051
1738581419,567.64,565.95,8051
1738581478,567.64,565.95,8051
1738581539,567.64,565.95,8051
1738581599,567.63,567.15,8168
1738581657,567.62,567.20,8248
1738581719,567.62,567.20,8368
1738581779,567.62,567.20,8368
1738581839,567.62,567.20,8368
1738581899,567.61,566.95,8468
1738581958,567.61,566.95,8468
1738582019,567.61,566.95,8468
1738582079,567.61,565.00,8469
1738582138,567.61,565.00,8469
1738582198,567.60,564.00,8475
1738582258,567.60,564.00,8475
1738582319,567.60,564.00,8475
1738582378,567.60,564.00,8475
1738582439,567.60,564.00,8475
1738582497,567.60,564.90,8497
1738582555,567.60,564.90,8497
1738582619,567.60,564.90,8497
1738582677,567.59,566.00,8547
1738582739,567.59,565.75,8562
1738582799,567.56,564.70,8643
1738582859,567.56,564.70,8643
1738582919,567.54,563.00,8682
1738582979,567.53,564.35,8708
1738583037,567.53,564.35,8708
1738583099,567.53,564.00,8712
1738583159,567.53,564.30,8722
1738583219,567.53,564.30,8722
1738583279,567.53,564.30,8722
1738583339,567.53,564.30,8722
1738583399,567.52,565.45,8752
1738583457,567.52,565.45,8752
1738583518,567.52,567.60,8754
1738583579,567.52,567.60,8756
1738583639,567.52,567.60,8756
1738583699,567.52,567.60,8756
1738583756,567.52,567.60,8756
1738583819,567.52,567.60,8756
1738583879,567.50,566.55,8912
1738583939,567.50,566.55,8912
1738583998,567.50,566.55,8912
1738584057,567.50,567.50,9112
1738584118,567.50,567.50,9112
1738584179,567.50,567.50,9123
1738584238,567.50,567.50,9123
1738584299,567.50,567.50,9123
1738584359,567.50,567.50,9123
1738584418,567.50,566.75,9148
1738584479,567.50,566.75,9148
1738584539,567.50,566.75,9148
1738584597,567.50,566.75,9148
1738584659,567.49,566.55,9162
1738584718,567.49,566.75,9230
1738584775,567.49,566.75,9230
1738584838,567.49,566.75,9230
1738584897,567.49,566.75,9230
1738584959,567.49,566.75,9230
1738585018,567.49,566.75,9230
1738585078,567.49,566.75,9230
1738585139,567.49,566.75,9230
1738585198,567.49,565.70,9232
1738585259,567.49,564.90,9236
1738585316,567.49,564.90,9236
1738585379,567.49,564.90,9236
1738585438,567.49,564.90,9236
1738585499,567.49,564.90,9236
1738585559,567.48,565.55,9270
1738585619,567.48,565.80,9278
1738585675,567.48,565.80,9278
1738585738,567.48,565.80,9278
1738585793,567.48,565.80,9278
1738585858,567.48,566.35,9288
1738585919,567.48,566.35,9288
1738585975,567.48,566.35,9288
1738586037,567.48,566.75,9289
1738586099,567.48,566.75,9289
1738586159,567.48,566.75,9289
1738586216,567.47,565.75,9324
1738586278,567.47,565.75,9324
1738586339,567.47,565.75,9324
1738586399,567.47,565.80,9326
1738586459,567.47,565.80,9326
1738586519,567.47,565.80,9326
1738586578,567.47,566.25,9331
1738586638,567.47,566.25,9331
1738586698,567.47,566.65,9333
1738586758,567.47,566.65,9333
1738586819,567.47,566.65,9333
1738586878,567.47,566.65,9333
