t,ap,cp,v
1738573634,217.85,217.85,408
1738573682,217.85,217.85,408
1738573740,217.85,217.85,408
1738574159,214.87,214.45,1731
1738574219,214.80,213.85,2037
1738574279,214.71,213.85,2252
1738574339,214.47,213.65,2724
1738574399,214.43,213.10,2817
1738574458,213.90,213.10,4556
1738574517,213.79,212.25,4944
1738574577,213.77,212.55,4979
1738574639,213.77,212.70,4999
1738574697,213.76,212.55,5052
1738574759,213.75,212.70,5073
1738574819,213.75,212.70,5073
1738574878,213.80,214.80,5380
1738574939,213.89,214.95,6063
1738574999,213.89,214.95,6063
1738575059,213.89,214.30,6341
1738575119,213.91,214.35,6476
1738575176,213.91,214.15,6479
1738575238,213.80,213.90,8003
1738575298,213.80,213.90,8003
1738575359,213.80,213.95,8175
1738575419,213.79,213.45,8424
1738575479,213.79,212.85,8444
1738575539,213.64,211.50,9317
1738575599,213.56,211.10,9595
1738575657,213.53,211.50,9745
1738575719,213.47,211.00,9984
1738575779,213.43,211.45,10199
1738575838,213.42,211.70,10275
1738575899,212.98,210.85,12333
1738575959,212.53,210.00,14745
1738576017,212.52,210.65,14863
1738576079,212.45,210.80,15489
1738576139,212.45,210.80,15497
1738576198,212.44,210.65,15593
1738576259,212.42,210.65,15748
1738576318,212.40,210.65,15963
1738576379,212.24,210.00,17076
1738576439,212.24,210.15,17077
1738576499,212.23,209.50,17146
1738576559,212.23,209.25,17161
1738576619,212.22,209.55,17214
1738576678,212.16,209.05,17577
1738576739,212.12,208.75,17800
1738576799,212.11,209.00,17850
1738576859,212.11,209.40,17858
1738576919,212.09,209.95,18027
1738576979,212.08,210.10,18128
1738577039,212.07,209.80,18150
1738577098,212.07,209.80,18172
1738577158,212.06,209.45,18220
1738577216,212.06,209.65,18221
1738577278,211.99,210.75,18893
1738577338,211.99,210.05,18926
1738577399,211.99,209.70,18936
1738577459,211.90,210.35,20056
1738577516,211.77,209.50,21367
1738577578,211.77,210.30,21370
1738577638,211.72,210.25,21991
1738577698,211.72,210.25,22017
1738577759,211.72,209.65,22030
1738577817,211.71,209.65,22172
1738577877,211.69,210.35,22437
1738577939,211.68,210.05,22566
1738577999,211.66,209.50,22783
1738578059,211.66,210.10,22809
1738578101,211.65,210.00,22861
1738578176,211.59,209.45,23543
1738578239,211.59,209.75,23546
1738578299,211.58,210.00,23599
1738578352,211.58,209.90,23635
1738578418,211.58,209.70,23715
1738578475,211.57,209.50,23760
1738578539,211.55,209.00,23948
1738578599,211.54,208.70,24011
1738578658,211.54,209.00,24013
1738578717,211.53,209.30,24114
1738578777,211.53,209.30,24134
1738578833,211.53,208.80,24135
1738578899,211.53,208.80,24135
1738578958,211.53,209.50,24136
1738579018,211.53,209.40,24141
1738579066,211.52,208.70,24207
1738579136,211.52,208.95,24208
1738579193,211.52,208.85,24210
1738579259,211.52,208.50,24230
1738579317,211.51,208.95,24371
1738579379,211.51,208.95,24371
1738579434,211.51,208.95,24371
1738579499,211.50,209.60,24392
1738579558,211.50,209.40,24413
1738579619,211.50,209.60,24423
1738579675,211.50,210.00,24460
1738579736,211.49,209.75,24560
1738579799,211.49,209.20,24643
1738579859,211.48,209.15,24665
1738579914,211.48,209.40,24673
1738579979,211.48,209.20,24680
1738580037,211.45,209.00,25021
1738580099,211.45,209.00,25021
1738580157,211.45,208.95,25033
1738580219,211.45,208.95,25033
1738580271,211.45,209.10,25036
1738580323,211.44,209.10,25099
1738580399,211.44,209.45,25112
1738580459,211.44,209.45,25112
1738580517,211.44,209.45,25112
1738580579,211.44,209.85,25113
1738580636,211.44,209.85,25120
1738580698,211.44,210.20,25125
1738580758,211.44,209.90,25130
1738580817,211.44,209.85,25160
1738580873,211.44,209.70,25163
1738580939,211.41,209.65,25455
1738580999,211.41,209.65,25455
1738581059,211.41,209.30,25544
1738581115,211.40,209.60,25594
1738581173,211.37,209.50,26096
1738581237,211.37,209.50,26096
1738581297,211.37,209.50,26096
1738581359,211.36,209.70,26119
1738581418,211.36,209.85,26121
1738581479,211.36,210.45,26134
1738581536,211.36,210.45,26134
1738581596,211.36,210.15,26140
1738581656,211.35,209.75,26384
1738581719,211.35,209.75,26384
1738581775,211.34,210.05,26486
1738581833,211.34,210.05,26511
1738581896,211.34,210.05,26511
1738581953,211.34,210.05,26611
1738582019,211.34,210.05,26611
1738582077,211.32,209.25,26836
1738582139,211.32,209.35,26856
1738582197,211.32,209.35,26856
1738582259,211.32,209.35,26856
1738582319,211.32,209.10,26907
1738582378,211.32,209.10,26907
1738582432,211.31,208.90,26980
1738582499,211.22,208.70,28007
1738582558,211.22,209.00,28032
1738582616,211.20,208.65,28202
1738582678,211.16,208.40,28707
1738582739,211.13,208.10,28993
1738582799,211.08,208.00,29401
1738582859,211.03,207.65,29873
1738582917,211.03,207.60,29874
1738582979,211.03,207.95,29875
1738583039,211.03,207.70,29886
1738583097,211.02,207.95,29966
1738583159,211.01,207.70,30026
1738583214,211.01,207.60,30095
1738583279,211.01,207.60,30095
1738583339,210.98,207.45,30301
1738583399,210.96,207.35,30501
1738583455,210.96,207.85,30526
1738583519,210.95,207.95,30527
1738583578,210.95,208.00,30532
1738583639,210.95,208.00,30538
1738583699,210.90,208.00,31105
1738583759,210.90,208.00,31105
1738583818,210.88,208.35,31405
1738583879,210.86,208.00,31586
1738583939,210.86,207.75,31591
1738583998,210.86,207.75,31591
1738584058,210.86,207.75,31591
1738584117,210.86,208.00,31601
1738584178,210.86,208.25,31621
1738584238,210.86,208.10,31623
1738584297,210.85,208.10,31723
1738584354,210.84,208.15,31773
1738584419,210.84,208.00,31775
1738584477,210.84,208.00,31833
1738584539,210.81,207.60,32084
1738584598,210.81,207.60,32084
1738584653,210.81,207.60,32084
1738584719,210.81,207.85,32144
1738584778,210.81,207.85,32144
1738584830,210.81,207.85,32144
1738584898,210.81,207.85,32147
1738584959,210.80,207.50,32254
1738585017,210.79,207.85,32289
1738585077,210.79,207.85,32339
1738585136,210.79,208.00,32341
1738585199,210.78,207.35,32412
1738585250,210.78,207.35,32412
1738585312,210.78,207.35,32412
1738585377,210.78,207.35,32412
1738585439,210.78,207.35,32412
1738585497,210.78,207.35,32412
1738585556,210.76,207.35,32612
1738585619,210.76,207.35,32612
1738585678,210.76,207.90,32627
1738585737,210.76,207.85,32632
1738585787,210.76,207.85,32632
1738585859,210.71,207.85,33125
1738585917,210.71,207.85,33125
1738585977,210.71,207.95,33136
1738586038,210.71,207.90,33156
1738586099,210.69,208.00,33456
1738586157,210.69,208.05,33461
1738586219,210.69,208.25,33475
1738586278,210.68,208.00,33518
