t,ap,cp,v
1738573634,188.80,188.80,50
1738573740,188.80,188.80,50
1738574144,188.80,188.80,50
1738574214,188.70,184.65,151
1738574273,188.70,184.65,151
1738574329,186.64,181.00,206
1738574388,186.10,184.50,245
1738574450,186.10,184.50,245
1738574492,185.72,184.00,300
1738574574,185.72,184.00,300
1738574635,185.72,184.00,300
1738574753,185.77,187.95,400
1738574813,185.77,187.95,400
1738574868,185.77,187.95,400
1738574937,185.77,187.35,401
1738574999,185.77,186.00,402
1738575056,185.78,186.00,423
1738575101,185.78,186.00,423
1738575179,185.77,186.00,453
1738575233,184.87,183.50,752
1738575292,184.80,183.00,782
1738575331,184.75,184.00,833
1738575458,184.75,184.00,833
1738575502,184.75,184.00,833
1738575559,184.75,184.00,833
1738575625,184.75,184.00,833
1738575709,184.68,183.00,868
1738575802,184.64,183.00,888
1738575899,184.58,183.00,923
1738575954,184.58,183.00,923
1738576071,184.58,183.00,923
1738576139,184.54,183.00,948
1738576197,184.50,183.00,973
1738576313,184.26,184.00,1793
1738576378,184.52,186.75,2043
1738576434,184.55,186.65,2076
1738576495,184.55,186.65,2076
1738576557,184.55,186.65,2076
1738576618,184.55,186.65,2076
1738576675,184.55,186.65,2076
1738576716,184.56,186.20,2080
1738576788,184.50,184.00,2330
1738576855,184.50,184.00,2330
1738576892,184.51,186.15,2340
1738576963,184.53,186.10,2365
1738577030,184.53,186.10,2365
1738577040,184.53,186.10,2365
1738577401,184.53,186.10,2365
1738577574,184.53,186.10,2365
1738577606,184.53,186.10,2365
1738577750,184.53,186.10,2365
1738577937,184.67,187.00,2615
1738577956,184.67,187.00,2615
1738578033,184.67,187.00,2615
1738578110,184.67,187.00,2615
1738578165,184.67,187.00,2615
1738578237,184.67,187.00,2615
1738578274,184.67,187.00,2615
1738578353,184.47,183.00,3115
1738578416,184.36,183.00,3365
1738578478,184.36,184.00,3366
1738578538,184.36,184.00,3366
1738578575,184.36,183.20,3367
1738578601,184.36,183.20,3367
1738578742,184.36,183.20,3367
1738578898,184.99,188.00,4367
1738578952,184.99,188.00,4367
1738579014,185.23,189.50,4717
1738579079,185.23,189.50,4717
1738579139,185.28,189.45,4767
1738579170,185.28,189.45,4767
1738579259,185.75,186.10,5515
1738579318,185.75,186.10,5515
1738579372,185.77,187.50,5584
1738579436,185.81,187.00,5783
1738579498,186.01,189.00,6183
1738579558,186.01,189.00,6183
1738579618,186.07,191.65,6248
1738579679,186.10,187.00,6358
1738579737,186.11,191.30,6368
1738579799,186.11,191.30,6368
1738579858,186.11,191.30,6368
1738579919,186.11,191.30,6368
1738579979,186.11,189.65,6369
1738580035,186.11,187.25,6399
1738580082,186.11,187.25,6399
1738580158,186.24,189.00,6649
1738580217,186.70,193.00,7164
1738580278,186.73,194.60,7194
1738580338,186.73,194.60,7194
1738580398,186.83,194.50,7294
1738580456,186.83,190.95,7298
1738580518,187.29,194.00,7797
1738580571,187.34,193.95,7856
1738580636,187.72,193.90,8346
1738580699,187.75,194.00,8377
1738580757,187.77,194.50,8407
1738580818,187.85,194.00,8516
1738580873,188.26,193.90,9126
1738580939,188.26,193.90,9126
1738580994,188.26,193.90,9126
1738581059,188.26,193.90,9126
1738581119,188.39,194.60,9336
1738581179,188.57,192.00,9659
1738581232,188.57,192.00,9659
1738581295,188.57,193.00,9660
1738581351,188.58,191.65,9681
1738581406,188.58,191.65,9681
1738581463,188.58,191.65,9681
1738581535,188.67,191.65,9977
1738581561,188.67,191.65,9977
1738581608,188.67,191.65,9977
1738581707,188.67,191.65,9977
1738581768,188.67,191.65,9977
1738581836,188.67,191.65,9977
1738581893,188.75,192.40,10206
1738581948,188.78,193.00,10261
1738582015,188.82,194.00,10361
1738582074,188.84,194.00,10390
1738582135,188.84,194.00,10390
1738582179,188.85,192.50,10437
1738582250,188.85,192.50,10437
1738582302,188.85,192.50,10437
1738582358,188.85,192.50,10437
1738582437,188.85,192.50,10437
1738582499,188.85,192.50,10437
1738582553,188.85,192.50,10437
1738582617,188.85,192.50,10437
1738582678,188.85,190.25,10438
1738582727,188.86,190.25,10468
1738582794,188.86,190.25,10468
1738582859,188.86,190.25,10468
1738582917,188.87,191.35,10500
1738582968,188.87,191.35,10500
1738583090,188.88,193.00,10529
1738583158,188.88,193.00,10529
1738583217,188.96,193.55,10733
1738583279,188.97,193.55,10758
1738583328,189.00,191.45,10919
1738583397,189.00,192.85,10920
1738583453,189.00,192.85,10920
1738583518,189.09,191.00,11420
