t,ap,cp,v
1738573669,314.00,314.00,4473
1738573761,314.00,314.00,4473
1738573804,314.00,314.00,4473
1738573891,314.00,314.00,4473
1738574159,313.64,312.60,12627
1738574219,313.51,311.00,13801
1738574279,312.55,310.45,19963
1738574337,312.15,310.60,24452
1738574399,312.12,310.50,24857
1738574459,312.04,310.15,26001
1738574519,311.94,310.65,27422
1738574579,311.85,310.60,29565
1738574639,311.79,310.20,30796
1738574699,311.56,310.05,34866
1738574759,311.50,309.80,36072
1738574819,311.45,310.35,37416
1738574879,311.42,310.25,38315
1738574939,311.38,310.00,39458
1738574999,311.25,310.00,43604
1738575059,310.97,309.50,50319
1738575119,310.96,309.45,50619
1738575179,310.94,308.80,51118
1738575239,310.85,307.85,52617
1738575299,310.78,307.40,53844
1738575359,310.24,307.15,62813
1738575419,310.05,306.75,66530
1738575479,309.97,306.40,68134
1738575539,309.84,306.00,70431
1738575599,309.65,305.90,74115
1738575659,309.64,306.25,74336
1738575719,309.58,305.50,75524
1738575779,309.47,305.65,77513
1738575839,309.12,305.15,84245
1738575899,309.01,304.70,86619
1738575959,308.90,304.30,88705
1738576019,308.83,304.70,90113
1738576079,308.79,305.15,91106
1738576139,308.70,305.05,93097
1738576197,308.69,304.60,93363
1738576259,308.55,305.05,96977
1738576319,308.47,306.45,99743
1738576379,308.45,305.75,100499
1738576439,308.42,305.40,101580
1738576499,308.40,305.60,102428
1738576559,308.35,305.45,104226
1738576619,308.34,306.15,104658
1738576679,308.29,305.40,106767
1738576739,308.25,305.00,107997
1738576799,308.24,305.65,108397
1738576859,308.22,305.20,109322
1738576919,308.21,306.15,109787
1738576979,308.19,305.85,110907
1738577039,308.18,305.60,111357
1738577099,308.18,305.70,111399
1738577159,308.16,305.75,112188
1738577219,308.15,305.85,112592
1738577279,308.15,306.30,112655
1738577339,308.15,306.25,112758
1738577399,308.13,306.00,113639
1738577459,308.08,306.50,116505
1738577519,308.08,306.70,116615
1738577579,308.07,306.50,118031
1738577639,308.06,306.45,118187
1738577699,308.06,306.25,118620
1738577759,308.04,305.50,119489
1738577819,308.02,305.30,120463
1738577879,307.93,304.80,123934
1738577939,307.90,304.85,125178
1738577998,307.82,304.85,128370
1738578059,307.79,305.25,129636
1738578119,307.78,306.20,130356
1738578179,307.76,306.15,131333
1738578239,307.73,306.00,133611
1738578299,307.73,305.90,133921
1738578359,307.73,305.75,134031
1738578419,307.72,306.00,134391
1738578479,307.71,305.55,135180
1738578539,307.71,305.85,135321
1738578599,307.68,305.70,137061
1738578659,307.68,305.60,137522
1738578719,307.66,306.00,138504
1738578779,307.66,305.55,138921
1738578839,307.65,305.70,139602
1738578899,307.65,305.60,139807
1738578959,307.63,306.10,141300
1738579019,307.62,305.75,141690
1738579079,307.61,305.70,142365
1738579139,307.61,305.65,142505
1738579199,307.60,305.65,143178
1738579259,307.60,305.85,143451
1738579319,307.56,305.85,145956
1738579379,307.56,306.30,146167
1738579439,307.54,306.50,148766
1738579499,307.54,306.45,148912
1738579559,307.54,306.10,149198
1738579619,307.54,306.70,149209
1738579679,307.54,306.45,149630
1738579739,307.53,306.15,149977
1738579799,307.53,306.25,150113
1738579859,307.53,306.25,150175
1738579919,307.53,305.80,150591
1738579979,307.52,305.60,151317
1738580039,307.47,304.80,154401
1738580099,307.46,305.15,155110
1738580159,307.45,305.15,155336
1738580219,307.45,305.50,155613
1738580279,307.44,305.55,155866
1738580339,307.44,305.80,155962
1738580399,307.44,306.25,155999
1738580459,307.44,306.40,156301
1738580519,307.44,306.40,156402
