t,ap,cp,v
1738573657,410.70,410.70,256
1738573740,410.70,410.70,256
1738573901,410.70,410.70,256
1738574159,408.52,407.20,3313
1738574219,407.95,406.00,4492
1738574279,407.07,404.60,6303
1738574339,406.30,402.45,8108
1738574399,405.99,404.65,9373
1738574459,405.87,402.85,9741
1738574519,405.80,403.20,9989
1738574579,405.44,403.50,11511
1738574639,405.42,403.50,11595
1738574699,405.34,404.00,12210
1738574759,405.02,405.05,14242
1738574819,405.04,405.90,14553
1738574879,405.07,406.95,14725
1738574939,405.17,405.95,16129
1738574999,405.26,406.15,17490
1738575059,405.25,404.55,17843
1738575119,405.24,405.10,18272
1738575179,405.24,404.45,18561
1738575239,405.22,402.85,18784
1738575299,405.20,402.50,18877
1738575359,405.19,402.00,18990
1738575419,405.17,401.35,19092
1738575479,405.16,400.10,19124
1738575539,404.50,398.50,21767
1738575599,404.41,397.40,22091
1738575659,404.38,398.10,22159
1738575719,404.27,398.50,22570
1738575779,404.25,399.50,22650
1738575839,404.24,399.30,22694
1738575899,404.09,399.90,23503
1738575959,404.06,399.20,23674
1738576016,403.95,402.15,24650
1738576079,403.94,400.80,24727
1738576139,403.92,400.40,24877
1738576199,403.91,399.70,24925
1738576259,403.89,400.50,25075
1738576319,403.89,400.50,25075
1738576379,403.85,400.95,25444
1738576439,403.85,400.90,25449
1738576499,403.76,400.40,26141
1738576559,403.70,399.65,26568
1738576619,403.70,399.15,26586
1738576679,403.64,399.95,26957
1738576739,403.64,399.35,26984
1738576799,403.64,399.40,26985
1738576859,403.55,398.70,27515
1738576919,403.52,400.70,27821
1738576979,403.48,399.90,28118
1738577039,403.41,399.80,28622
1738577099,403.40,399.55,28736
1738577159,403.39,399.95,28839
1738577219,403.37,400.50,28964
1738577279,403.37,400.50,28964
1738577338,403.37,399.85,28965
1738577399,403.34,399.20,29190
1738577459,403.32,400.45,29378
1738577519,403.31,400.60,29480
1738577579,403.31,400.05,29487
1738577639,403.27,399.70,29768
1738577698,403.27,399.70,29774
1738577759,403.24,398.40,29972
1738577819,403.10,398.00,30801
1738577879,403.10,398.40,30851
1738577939,403.01,398.45,31393
1738577999,402.95,397.55,31792
1738578059,402.88,397.30,32217
1738578119,402.87,397.65,32230
1738578179,402.82,396.70,32558
1738578239,402.76,397.60,32963
1738578299,402.73,397.50,33124
1738578359,402.72,397.20,33175
1738578419,402.67,397.05,33456
1738578479,402.65,397.35,33619
1738578539,402.58,396.70,34041
1738578599,402.57,397.20,34073
1738578659,402.57,397.65,34114
