t,ap,cp,v
1738573677,256.20,256.20,2237
1738573735,256.20,256.20,2237
1738573741,256.20,256.20,2237
1738574159,254.75,254.00,8315
1738574219,254.43,253.15,11562
1738574279,254.31,252.50,12438
1738574339,253.92,252.40,16250
1738574399,253.83,252.30,17111
1738574459,253.76,252.20,18069
1738574518,253.63,251.25,19296
1738574579,253.39,251.40,21614
1738574639,253.31,251.10,22409
1738574699,253.20,251.10,23611
1738574758,253.14,251.30,24210
1738574819,253.01,251.80,26315
1738574879,252.87,250.65,28438
1738574939,252.47,249.85,33040
1738574999,252.36,249.90,34887
1738575059,252.32,249.65,35424
1738575119,252.16,249.05,37352
1738575179,251.95,249.05,40122
1738575239,251.54,248.25,45778
1738575299,251.48,248.30,46646
1738575359,251.31,247.95,49058
1738575419,251.12,246.95,51438
1738575479,250.86,246.50,54683
1738575539,250.67,245.65,56904
1738575599,250.51,245.45,58640
1738575659,250.42,245.55,59801
1738575719,250.27,245.05,61695
1738575779,250.00,246.20,65110
1738575839,249.93,245.80,66157
1738575899,249.79,245.80,68540
1738575959,249.76,245.85,69054
1738576019,249.71,247.10,70284
1738576079,249.65,246.30,71604
1738576139,249.62,246.65,72293
1738576199,249.61,246.25,72542
1738576258,249.54,246.30,74194
1738576319,249.48,246.75,75775
1738576379,249.43,246.40,77204
1738576439,249.42,246.60,77399
1738576499,249.40,246.85,77921
1738576559,249.39,246.40,78272
1738576619,249.38,246.55,78605
1738576679,249.33,246.85,80005
1738576739,249.31,246.45,80688
1738576799,249.29,247.10,81178
1738576859,249.28,247.10,81741
1738576919,249.28,247.70,81786
1738576979,249.26,247.60,82475
1738577039,249.23,247.55,84138
1738577099,249.21,247.90,84885
1738577159,249.18,247.50,86670
1738577219,249.18,247.75,86881
1738577279,249.17,247.75,87496
1738577339,249.16,247.40,87823
1738577399,249.14,246.95,88623
1738577459,249.14,247.70,89056
1738577519,249.13,247.65,89553
1738577579,249.12,247.50,90002
1738577639,249.11,247.40,90457
1738577699,249.11,247.50,90539
1738577759,249.09,247.10,91635
1738577819,249.07,246.85,92533
1738577877,249.05,247.10,93040
1738577939,249.05,246.70,93329
1738577999,249.01,246.75,94689
1738578059,248.97,246.80,96208
1738578119,248.97,247.55,96407
1738578179,248.96,247.50,97068
1738578239,248.96,247.30,97187
1738578299,248.94,247.50,98086
1738578359,248.93,247.45,98478
1738578419,248.93,248.40,98818
1738578479,248.93,248.35,99512
1738578539,248.92,247.95,100104
1738578599,248.92,248.10,100243
1738578659,248.92,248.20,100538
1738578719,248.91,248.40,102380
1738578779,248.91,248.00,102658
1738578839,248.90,248.20,103493
1738578899,248.90,248.25,104294
1738578959,248.90,248.25,104569
1738579019,248.89,248.30,105225
1738579079,248.89,248.25,106038
1738579139,248.89,248.20,106192
1738579197,248.88,248.15,106933
1738579259,248.88,247.95,107125
1738579319,248.88,248.15,107161
1738579379,248.88,248.35,107239
1738579439,248.88,248.60,108038
1738579499,248.88,248.75,108452
1738579559,248.88,249.00,108857
1738579619,248.88,249.15,108960
1738579679,248.88,249.15,109285
1738579739,248.88,248.60,110140
1738579799,248.87,248.30,110682
1738579859,248.86,248.05,112048
1738579919,248.86,247.90,112469
1738579979,248.86,247.95,112883
1738580039,248.85,247.70,114240
1738580099,248.84,248.20,115066
1738580159,248.84,248.05,115440
1738580219,248.84,248.35,115467
1738580279,248.84,248.40,115490
1738580339,248.84,248.50,116220
1738580399,248.83,248.50,116626
1738580459,248.83,248.60,117142
1738580519,248.83,248.30,117620
1738580579,248.83,248.15,117855
1738580639,248.83,248.15,118225
1738580699,248.83,248.25,118298
1738580759,248.83,248.20,118467
1738580819,248.82,248.50,119049
