t,ap,cp,v
1738573737,1806.75,1806.75,55
1738573741,1806.75,1806.75,55
1738574159,1801.47,1802.80,513
1738574219,1801.46,1800.05,520
1738574279,1802.19,1803.15,681
1738574339,1802.79,1805.10,989
1738574399,1802.81,1803.40,1158
1738574459,1802.02,1805.85,2455
1738574519,1802.08,1800.05,6074
1738574579,1802.07,1801.80,7878
1738574639,1802.09,1803.70,8323
1738574699,1802.09,1802.00,9083
1738574759,1802.22,1805.45,9544
1738574819,1803.55,1811.30,11397
1738574879,1804.35,1810.45,13214
1738574939,1805.53,1816.40,14917
1738574999,1808.01,1810.05,21511
1738575059,1808.12,1811.90,22105
1738575119,1808.33,1817.15,22752
1738575179,1808.81,1816.65,24084
1738575239,1808.94,1812.85,25172
1738575299,1808.96,1816.85,25234
1738575359,1809.03,1812.40,25514
1738575419,1809.04,1810.90,25688
1738575479,1809.04,1810.90,25688
1738575539,1809.04,1804.10,25702
1738575599,1809.04,1804.10,25702
1738575659,1809.06,1815.55,25790
1738575719,1809.11,1817.25,25975
1738575779,1809.16,1815.35,26165
1738575839,1809.27,1819.80,26469
1738575899,1809.29,1820.35,26532
1738575959,1809.38,1822.35,26742
1738576019,1809.58,1822.90,27242
1738576079,1809.67,1821.90,27449
1738576139,1809.84,1823.15,27835
1738576199,1810.11,1821.00,28510
1738576259,1810.22,1822.45,28796
1738576319,1810.65,1825.00,29904
1738576379,1810.78,1816.00,30228
1738576439,1810.96,1822.00,30774
1738576499,1811.07,1823.75,31083
1738576559,1811.13,1821.60,31258
1738576619,1811.22,1821.35,31569
1738576679,1811.23,1821.25,31606
1738576739,1811.26,1821.90,31712
1738576799,1811.29,1821.65,31786
1738576859,1811.47,1825.95,32285
1738576919,1811.62,1824.00,32711
1738576979,1811.68,1825.75,32865
1738577039,1812.12,1824.45,34312
1738577099,1812.20,1819.20,34585
1738577159,1812.21,1817.95,34627
1738577218,1812.22,1811.05,34861
1738577276,1812.22,1811.05,34861
1738577339,1812.22,1809.95,34893
1738577399,1812.23,1817.75,35116
1738577459,1812.25,1814.65,35210
1738577519,1812.25,1816.80,35254
1738577579,1812.26,1816.80,35359
1738577638,1812.27,1817.45,35382
1738577699,1812.27,1816.75,35406
1738577759,1812.28,1814.65,35452
1738577818,1812.28,1814.70,35470
1738577879,1812.28,1816.30,35494
1738577939,1812.29,1815.95,35561
1738577999,1812.31,1816.60,35873
1738578059,1812.32,1816.70,35935
1738578119,1812.33,1817.85,36006
1738578179,1812.40,1822.95,36316
1738578239,1812.44,1825.70,36449
1738578299,1812.51,1825.95,36645
1738578359,1812.63,1827.95,36926
1738578419,1812.68,1831.70,37023
1738578479,1813.15,1821.80,38378
1738578539,1813.23,1821.55,38712
1738578599,1813.25,1822.95,38797
1738578659,1813.29,1824.90,38965
1738578719,1813.39,1822.25,39460
1738578775,1813.39,1822.25,39464
1738578839,1813.39,1814.00,39483
1738578899,1813.52,1817.80,40143
1738578959,1813.79,1818.55,42582
1738579019,1814.00,1805.50,44804
1738579079,1813.97,1800.35,44903
1738579139,1813.97,1796.95,44906
1738579199,1813.81,1790.00,45232
1738579258,1813.81,1791.85,45234
1738579319,1813.56,1798.40,45819
1738579379,1813.55,1799.80,45825
1738579439,1813.55,1795.00,45836
1738579499,1813.55,1795.00,45836
