t,ap,cp,v
1738573682,311.75,311.75,125
1738573740,311.75,311.75,125
1738574159,309.36,306.85,223
1738574219,308.61,305.70,279
1738574279,307.81,304.45,353
1738574337,307.79,304.00,355
1738574399,307.74,303.85,359
1738574459,306.81,305.50,514
1738574519,305.31,303.85,1239
1738574579,305.28,304.85,1306
1738574639,305.28,304.80,1307
1738574699,305.10,303.95,1620
1738574759,305.08,304.90,1657
1738574818,305.08,305.05,1663
1738574879,305.10,305.35,1798
1738574939,305.19,305.55,2149
1738574999,305.19,305.55,2149
1738575059,305.32,306.60,2391
1738575119,305.32,306.60,2391
1738575179,305.33,306.70,2411
1738575239,305.34,306.10,2447
1738575299,305.34,306.10,2447
1738575359,305.34,305.90,2453
1738575419,305.34,305.90,2453
1738575478,305.34,305.90,2453
1738575539,305.34,305.90,2453
1738575599,305.31,303.95,2509
1738575659,305.31,304.80,2522
1738575719,305.30,304.80,2582
1738575779,305.06,303.70,3601
1738575839,305.04,304.30,3717
1738575899,305.04,304.30,3717
1738575958,305.04,303.50,3723
1738576019,305.04,304.25,3728
1738576079,305.03,303.85,3739
1738576139,305.03,303.80,3740
1738576197,305.03,303.55,3746
1738576259,305.02,303.90,3762
1738576319,304.84,303.60,4278
1738576378,304.84,304.05,4284
1738576435,304.84,304.05,4284
1738576499,304.84,304.05,4284
1738576559,304.84,303.60,4291
1738576619,304.84,303.60,4291
1738576679,304.84,303.60,4291
1738576739,304.84,303.60,4291
1738576799,304.84,303.60,4291
1738576859,304.84,303.60,4291
1738576918,304.84,305.05,4318
1738576979,304.84,305.05,4318
1738577039,304.84,305.05,4318
1738577099,304.84,305.05,4318
1738577159,304.84,305.05,4318
1738577219,304.84,305.05,4318
1738577279,304.83,304.00,4369
1738577339,304.83,304.00,4369
1738577399,304.83,304.00,4369
1738577459,304.83,304.00,4369
1738577519,304.83,304.00,4369
1738577579,304.83,304.00,4369
1738577639,304.83,304.00,4369
1738577699,304.83,304.00,4369
1738577759,304.83,303.75,4371
1738577819,304.83,303.55,4373
1738577879,304.83,303.55,4374
1738577939,304.81,303.30,4421
1738577998,304.67,303.55,4933
1738578059,304.67,303.90,4936
1738578119,304.67,303.90,4936
1738578179,304.67,303.90,4936
1738578239,304.67,303.90,4936
1738578299,304.67,303.90,4936
1738578359,304.67,303.90,4936
1738578419,304.67,303.90,4936
1738578479,304.67,303.90,4936
1738578539,304.63,303.75,5136
1738578599,304.63,303.70,5166
