t,ap,cp,v
1738573635,4550.05,4550.05,2
1738573740,4550.05,4550.05,2
1738574158,4559.46,4550.00,7
1738574218,4527.56,4510.90,21
1738574279,4523.44,4500.00,24
1738574338,4506.88,4471.00,36
1738574399,4488.29,4456.25,67
1738574458,4487.82,4456.00,68
1738574519,4471.62,4430.40,100
1738574579,4470.86,4432.60,102
1738574639,4469.96,4439.30,105
1738574699,4463.97,4431.05,131
1738574758,4461.65,4442.20,146
1738574819,4459.88,4448.10,169
1738574879,4459.52,4444.05,174
1738574939,4459.52,4444.05,174
1738574997,4459.52,4444.05,174
1738575059,4459.52,4444.05,174
1738575119,4458.83,4440.05,188
1738575179,4455.56,4422.15,215
1738575238,4454.36,4419.60,223
1738575299,4454.36,4419.60,223
1738575357,4454.36,4419.60,223
1738575419,4453.80,4443.45,233
1738575478,4453.80,4443.45,233
1738575539,4453.80,4443.45,233
1738575596,4453.76,4443.45,234
1738575658,4453.76,4443.45,234
1738575719,4453.66,4449.00,239
1738575779,4453.66,4449.00,239
1738575839,4453.68,4459.90,240
1738575898,4453.68,4459.90,240
1738575958,4453.68,4459.90,240
1738576016,4453.68,4456.15,245
1738576078,4453.68,4456.15,245
1738576139,4453.55,4450.00,256
1738576199,4453.55,4450.00,256
1738576258,4453.55,4450.00,256
1738576319,4453.55,4450.00,256
1738576377,4453.52,4450.00,258
1738576439,4453.52,4450.00,258
1738576498,4453.44,4449.85,264
1738576559,4452.98,4428.95,269
1738576616,4452.82,4431.05,271
1738576679,4451.79,4422.65,281
1738576739,4439.30,4385.70,384
1738576799,4439.30,4385.70,384
1738576859,4439.30,4385.70,384
1738576919,4438.45,4397.75,392
1738576979,4429.86,4375.40,480
1738577038,4428.76,4374.35,490
1738577098,4428.76,4374.35,490
1738577157,4428.76,4374.35,490
1738577219,4428.76,4374.35,490
1738577278,4428.76,4374.35,490
1738577337,4427.19,4373.80,505
1738577399,4426.66,4373.00,510
1738577453,4426.66,4373.00,510
1738577519,4426.66,4373.00,510
1738577579,4426.66,4373.00,510
1738577638,4426.66,4373.00,510
1738577699,4426.61,4401.15,511
1738577759,4426.61,4401.15,511
1738577818,4426.61,4401.15,511
1738577879,4425.80,4400.00,527
1738577938,4425.80,4400.00,527
1738577985,4425.80,4400.00,527
1738578057,4425.80,4400.00,527
1738578119,4425.73,4405.05,529
1738578177,4425.73,4405.05,529
1738578239,4425.73,4405.05,529
1738578299,4425.73,4405.05,529
1738578358,4424.12,4419.20,591
1738578419,4424.12,4419.20,591
1738578478,4424.12,4419.20,591
1738578539,4424.12,4419.20,591
1738578599,4424.12,4419.20,591
1738578654,4424.12,4419.20,591
1738578719,4424.12,4419.20,591
1738578779,4422.83,4376.45,608
1738578839,4422.83,4376.45,608
1738578898,4422.26,4381.35,620
1738578951,4422.26,4381.35,620
1738579019,4422.07,4392.25,624
1738579075,4421.47,4403.65,642
1738579136,4421.47,4403.65,642
1738579199,4421.47,4403.65,642
1738579257,4421.47,4403.65,642
1738579319,4421.47,4403.65,642
1738579376,4421.47,4403.65,642
1738579439,4421.47,4403.65,642
1738579499,4421.47,4403.65,642
1738579557,4421.47,4403.65,642
1738579615,4421.47,4403.65,642
1738579679,4421.47,4403.65,642
1738579737,4421.47,4403.65,642
1738579797,4421.47,4403.65,642
1738579858,4421.47,4403.65,642
1738579911,4421.47,4403.65,642
1738579979,4421.47,4403.65,642
1738580039,4421.45,4408.10,643
1738580098,4421.30,4411.30,649
1738580159,4421.07,4399.55,656
1738580216,4421.07,4399.55,656
1738580269,4421.07,4399.55,656
1738580334,4421.07,4399.55,656
1738580393,4421.07,4399.55,656
1738580453,4421.07,4399.55,656
1738580519,4421.07,4399.55,656
1738580579,4420.92,4401.35,661
1738580633,4420.92,4401.35,661
1738580699,4420.92,4401.35,661
1738580759,4420.92,4401.35,661
1738580818,4420.92,4401.35,661
1738580879,4420.92,4401.35,661
1738580939,4420.92,4401.35,661
1738580998,4420.89,4400.60,662
1738581058,4420.89,4400.60,662
1738581116,4420.89,4400.60,662
1738581177,4420.89,4400.60,662
1738581239,4420.89,4400.60,662
1738581295,4420.89,4400.60,662
1738581358,4420.89,4400.60,662
1738581419,4420.89,4400.60,662
1738581479,4420.89,4400.60,662
1738581534,4420.89,4400.60,662
1738581595,4420.89,4420.00,663
1738581659,4420.89,4420.00,663
1738581719,4421.03,4440.00,668
1738581778,4421.03,4440.00,668
1738581839,4421.07,4429.00,671
1738581896,4421.47,4449.85,681
1738581959,4421.47,4449.85,681
1738582019,4421.47,4449.85,681
1738582078,4421.47,4449.85,681
1738582139,4421.47,4449.85,681
1738582192,4421.47,4449.85,681
1738582259,4421.47,4449.85,681
1738582319,4421.47,4449.85,681
1738582377,4421.47,4449.85,681
1738582435,4421.47,4449.85,681
1738582497,4421.47,4449.85,681
1738582558,4421.47,4449.85,681
