t,ap,cp,v
1738573634,1740.05,1740.05,447
1738573740,1740.05,1740.05,447
1738573832,1740.05,1740.05,447
1738574159,1742.25,1754.05,785
1738574219,1747.58,1755.50,1091
1738574279,1749.98,1760.00,1425
1738574339,1754.20,1768.45,2214
1738574399,1754.70,1775.00,2269
1738574459,1756.10,1769.00,2519
1738574519,1757.64,1769.95,2849
1738574579,1761.26,1777.90,3599
1738574639,1762.07,1775.35,3792
1738574698,1762.07,1775.35,3792
1738574759,1762.23,1780.00,3825
1738574819,1764.84,1791.95,4248
1738574879,1768.79,1793.00,4984
1738574939,1768.93,1793.00,5014
1738574999,1768.98,1786.95,5029
1738575059,1768.71,1752.00,5230
1738575119,1768.46,1756.85,5333
1738575179,1768.09,1750.00,5550
1738575239,1767.93,1750.30,5600
1738575298,1767.93,1750.30,5600
1738575359,1766.71,1753.70,6026
1738575419,1766.39,1748.75,6138
1738575479,1766.16,1750.00,6219
1738575539,1765.67,1755.60,6476
1738575599,1765.46,1754.60,6592
1738575659,1765.19,1748.65,6701
1738575719,1765.19,1748.65,6701
1738575779,1765.08,1754.60,6767
1738575839,1764.99,1754.95,6816
1738575899,1764.55,1752.85,7077
1738575959,1764.26,1748.65,7221
1738576017,1764.26,1748.65,7221
1738576079,1764.23,1748.65,7231
1738576139,1764.22,1753.45,7243
1738576199,1764.22,1753.45,7243
1738576259,1764.22,1753.45,7243
1738576317,1764.22,1753.45,7243
1738576375,1764.22,1753.45,7243
1738576439,1763.97,1752.10,7382
1738576499,1763.97,1752.10,7382
1738576559,1763.84,1755.60,7501
1738576619,1763.84,1755.60,7501
1738576679,1763.84,1755.60,7501
1738576739,1763.84,1755.60,7501
1738576799,1763.84,1755.60,7501
1738576859,1763.84,1759.45,7506
1738576919,1763.84,1759.45,7506
1738576979,1763.84,1759.45,7506
1738577039,1763.84,1771.30,7508
1738577099,1763.84,1761.60,7510
1738577156,1763.84,1761.60,7510
1738577219,1763.84,1761.60,7510
1738577279,1763.84,1761.60,7510
1738577339,1763.89,1773.35,7556
1738577399,1763.89,1773.35,7556
1738577459,1763.97,1776.10,7610
1738577519,1764.12,1784.35,7667
1738577579,1764.50,1785.65,7802
1738577639,1764.72,1785.75,7883
1738577699,1765.93,1788.75,8333
1738577759,1766.26,1784.85,8482
1738577819,1766.26,1784.85,8482
1738577879,1766.26,1784.85,8482
1738577939,1766.28,1786.25,8488
1738577999,1766.28,1786.25,8488
1738578059,1766.28,1786.25,8488
1738578119,1766.70,1782.80,8753
1738578179,1766.71,1777.60,8755
1738578239,1766.82,1780.65,8828
1738578299,1766.83,1780.10,8830
1738578359,1766.85,1779.80,8850
1738578418,1766.85,1779.80,8850
1738578479,1766.86,1781.35,8854
1738578539,1766.86,1781.35,8854
1738578599,1766.87,1782.00,8859
1738578658,1766.87,1782.00,8859
1738578718,1766.87,1782.00,8859
1738578779,1766.99,1786.25,8919
1738578838,1767.01,1785.95,8931
1738578899,1767.80,1796.50,9232
1738578959,1769.03,1795.65,9651
1738579019,1769.05,1795.80,9656
1738579074,1769.10,1798.55,9674
1738579138,1769.49,1796.10,9806
1738579199,1769.49,1796.10,9806
1738579258,1769.53,1798.35,9817
1738579318,1769.53,1796.30,9819
1738579379,1770.73,1796.45,10280
1738579438,1770.81,1798.95,10311
1738579498,1770.99,1800.00,10376
1738579559,1771.26,1809.00,10465
1738579619,1772.36,1818.75,10748
1738579679,1772.69,1814.00,10830
1738579738,1773.13,1813.95,10948
1738579799,1773.28,1813.35,10988
1738579859,1773.29,1812.00,10990
1738579919,1773.51,1814.00,11050
1738579979,1774.07,1810.70,11216
1738580039,1774.86,1799.00,11523
1738580099,1774.86,1799.00,11523
1738580159,1774.86,1799.00,11523
1738580219,1776.34,1804.40,12063
1738580279,1776.38,1803.20,12082
1738580336,1776.38,1803.20,12082
1738580399,1776.50,1805.85,12132
1738580459,1776.51,1800.00,12135
1738580519,1776.51,1800.00,12135
1738580579,1776.51,1800.00,12135
1738580639,1776.51,1799.35,12139
1738580699,1777.30,1800.00,12570
1738580759,1777.33,1801.05,12585
1738580819,1778.08,1808.80,12902
1738580879,1780.01,1806.85,13785
1738580939,1780.02,1799.50,13795
1738580999,1780.08,1796.25,13845
1738581059,1780.09,1801.25,13847
1738581119,1780.15,1802.65,13889
1738581179,1780.17,1793.35,13905
1738581239,1780.19,1786.85,13941
1738581299,1780.19,1786.00,13952
1738581357,1780.22,1782.75,14067
1738581416,1780.22,1782.75,14067
1738581479,1780.22,1785.00,14068
1738581538,1780.22,1786.20,14091
1738581599,1780.23,1789.10,14096
1738581659,1780.25,1792.85,14119
1738581719,1780.26,1796.75,14130
1738581779,1780.26,1796.75,14130
1738581839,1780.39,1800.15,14229
1738581899,1780.40,1795.30,14231
1738581959,1780.40,1795.30,14231
1738582019,1780.40,1795.30,14231
1738582079,1780.43,1795.95,14261
1738582135,1780.43,1795.95,14261
1738582199,1780.43,1797.20,14265
1738582258,1780.50,1799.70,14317
1738582318,1780.50,1799.70,14317
1738582378,1780.52,1800.85,14330
1738582439,1780.53,1795.90,14337
1738582499,1780.53,1798.30,14339
1738582559,1780.54,1801.15,14346
1738582619,1780.56,1799.85,14364
1738582679,1780.59,1800.50,14384
1738582739,1780.67,1799.45,14442
1738582799,1780.67,1799.45,14442
1738582858,1780.68,1800.60,14448
1738582918,1780.69,1795.65,14458
1738582978,1780.69,1795.65,14458
1738583039,1780.69,1795.65,14458
1738583099,1780.70,1796.30,14470
1738583159,1780.70,1796.30,14470
1738583219,1780.71,1796.05,14475
1738583279,1780.71,1799.00,14478
1738583339,1780.86,1801.75,14588
1738583399,1780.87,1801.50,14597
1738583459,1780.87,1800.25,14598
1738583517,1780.87,1800.25,14598
1738583578,1780.87,1800.20,14600
1738583638,1780.87,1800.20,14600
1738583697,1780.87,1800.20,14600
1738583759,1780.88,1802.40,14606
1738583817,1780.97,1806.85,14659
1738583879,1780.97,1806.85,14659
1738583939,1781.00,1805.55,14671
1738583999,1781.02,1809.55,14686
1738584059,1781.03,1807.95,14691
1738584119,1781.07,1807.75,14714
1738584179,1781.08,1808.50,14719
1738584239,1781.10,1808.55,14725
1738584299,1781.12,1807.30,14740
1738584357,1781.13,1808.50,14747
1738584418,1781.24,1805.80,14811
1738584479,1781.26,1802.70,14823
1738584539,1781.27,1800.80,14834
1738584599,1781.29,1798.25,14848
1738584659,1781.31,1801.00,14863
1738584719,1781.32,1801.20,14868
1738584779,1781.32,1801.20,14868
1738584839,1781.32,1799.15,14873
1738584899,1781.32,1799.15,14873
1738584959,1781.32,1797.20,14874
1738585019,1781.33,1798.50,14881
1738585077,1781.36,1794.90,14914
1738585138,1781.37,1796.70,14918
1738585199,1781.38,1791.55,14930
1738585259,1781.41,1790.05,14981
1738585319,1781.50,1789.45,15160
1738585379,1781.51,1790.50,15171
1738585439,1781.52,1791.60,15178
1738585499,1781.52,1791.60,15178
1738585558,1781.52,1791.60,15189
1738585619,1781.54,1793.50,15216
1738585679,1781.54,1793.50,15216
1738585739,1781.54,1793.50,15216
1738585799,1781.54,1793.50,15216
1738585859,1781.54,1785.00,15217
1738585919,1781.55,1785.80,15222
1738585979,1781.55,1786.45,15239
1738586039,1781.55,1788.85,15249
1738586098,1781.55,1788.85,15249
1738586159,1781.55,1785.25,15251
1738586218,1781.56,1786.50,15262
1738586279,1781.56,1785.00,15267
1738586339,1781.56,1785.00,15267
1738586399,1781.56,1786.75,15273
1738586457,1781.56,1786.00,15278
1738586519,1781.57,1784.30,15307
1738586578,1781.57,1784.30,15307
1738586637,1781.57,1784.30,15307
1738586699,1781.57,1784.30,15307
1738586759,1781.57,1785.00,15312
