t,ap,cp,v
1738573634,2945.70,2945.70,10
1738573740,2945.70,2945.70,10
1738573927,2945.70,2945.70,10
1738574159,2928.38,2925.35,99
1738574219,2924.57,2933.15,545
1738574279,2929.90,2932.60,977
1738574339,2930.01,2928.30,1068
1738574399,2929.77,2922.30,1153
1738574458,2929.62,2922.05,1374
1738574519,2929.58,2932.95,1396
1738574579,2929.58,2932.95,1396
1738574639,2929.59,2927.95,1411
1738574697,2929.63,2935.20,1428
1738574759,2930.23,2940.00,1531
1738574819,2930.61,2954.20,1557
1738574879,2932.65,2956.55,1692
1738574939,2934.59,2953.65,1858
1738574999,2934.82,2952.40,1879
1738575058,2934.87,2957.95,1883
1738575119,2935.16,2952.40,1914
1738575179,2935.28,2955.05,1926
1738575239,2935.44,2950.80,1949
1738575299,2935.71,2950.00,1986
1738575359,2935.91,2946.85,2011
1738575419,2936.18,2945.85,2063
1738575479,2936.25,2943.90,2084
1738575539,2936.33,2939.75,2111
1738575599,2936.92,2948.00,2250
1738575659,2937.23,2952.35,2294
1738575719,2937.32,2947.85,2311
1738575779,2937.49,2946.80,2345
1738575839,2937.70,2945.00,2408
1738575899,2937.93,2949.65,2458
1738575959,2939.18,2955.05,2677
1738576019,2939.63,2954.10,2741
1738576079,2940.40,2948.00,2966
1738576139,2940.61,2942.90,3126
1738576199,2940.63,2942.90,3161
1738576259,2940.68,2946.25,3185
1738576319,2940.68,2946.25,3187
1738576379,2940.97,2944.95,3318
1738576439,2941.02,2945.15,3356
1738576499,2941.03,2945.15,3364
1738576559,2941.47,2950.55,3581
1738576619,2941.97,2960.60,3681
1738576679,2942.39,2962.00,3761
1738576739,2942.56,2953.85,3803
1738576799,2942.61,2959.80,3813
1738576859,2942.63,2960.50,3818
1738576919,2943.23,2960.00,3964
1738576979,2943.26,2960.55,3971
1738577039,2943.39,2960.60,4001
1738577099,2943.61,2957.80,4061
1738577159,2943.65,2958.45,4071
1738577219,2943.75,2953.20,4102
1738577279,2943.88,2953.65,4141
1738577339,2943.89,2950.70,4144
1738577399,2943.89,2951.05,4146
1738577459,2943.99,2955.10,4186
1738577519,2944.02,2959.10,4194
1738577579,2944.09,2953.60,4218
1738577639,2944.13,2952.10,4238
1738577699,2944.23,2952.15,4294
1738577759,2944.25,2950.00,4312
1738577819,2944.29,2947.85,4344
1738577879,2944.32,2947.05,4389
1738577939,2944.38,2950.60,4433
1738577999,2944.39,2953.00,4437
1738578059,2944.39,2948.70,4444
1738578119,2944.40,2953.00,4446
1738578179,2944.40,2953.00,4446
1738578239,2944.48,2951.50,4491
