t,ap,cp,v
1738573635,885.05,885.05,52
1738573740,885.05,885.05,52
1738574159,878.54,874.70,372
1738574219,877.17,873.95,626
1738574279,876.88,872.00,702
1738574336,876.82,873.20,712
1738574399,876.82,876.10,717
1738574459,876.12,875.25,1076
1738574519,876.08,874.80,1110
1738574578,876.08,874.80,1110
1738574638,876.08,874.80,1110
1738574699,876.08,874.80,1110
1738574759,876.83,882.50,1459
1738574819,877.06,885.15,1501
1738574879,877.30,885.15,1548
1738574939,877.51,882.90,1607
1738574999,877.51,882.90,1607
1738575059,877.57,883.45,1630
1738575119,877.57,883.45,1630
1738575179,877.68,881.25,1677
1738575239,877.70,878.45,1715
1738575298,877.70,878.45,1715
1738575359,877.70,879.95,1720
1738575419,877.71,879.10,1723
1738575478,877.71,879.10,1723
1738575539,877.71,879.10,1723
1738575597,877.71,879.10,1723
1738575659,877.71,879.10,1723
1738575719,877.71,879.10,1723
1738575779,878.06,880.30,1946
1738575839,878.08,880.35,1964
1738575899,878.08,880.35,1964
1738575959,878.08,880.35,1964
1738576019,878.08,877.95,1977
1738576079,878.08,877.95,1977
1738576139,878.13,881.20,2009
1738576197,878.13,881.20,2009
1738576259,878.13,881.20,2009
1738576318,878.14,882.50,2011
1738576379,878.18,882.85,2028
1738576439,878.20,880.75,2048
1738576499,878.20,880.75,2048
1738576558,878.25,882.50,2072
1738576619,878.80,882.95,2345
1738576679,878.83,882.85,2364
1738576739,878.83,882.85,2364
1738576797,878.84,882.45,2366
1738576859,878.84,882.45,2366
1738576919,878.84,882.45,2366
1738576977,878.84,882.45,2366
1738577037,878.90,882.00,2416
1738577099,878.99,883.05,2465
1738577159,878.99,883.05,2465
1738577219,878.99,883.05,2465
1738577278,878.99,883.05,2465
1738577338,878.99,883.05,2465
1738577397,878.99,883.05,2465
1738577459,879.04,885.60,2486
1738577518,879.04,885.60,2486
1738577577,879.04,885.60,2486
1738577639,879.17,887.30,2526
1738577699,884.05,893.15,3724
1738577759,884.86,894.15,4070
1738577819,885.70,889.55,4870
1738577879,885.70,889.55,4870
1738577938,885.77,888.95,5015
1738577999,885.77,888.95,5015
1738578059,885.77,888.95,5015
1738578118,885.77,888.95,5015
1738578179,885.77,888.95,5015
1738578239,886.48,890.35,5847
1738578299,886.56,889.25,6000
1738578355,886.56,889.25,6000
1738578419,886.56,886.50,6067
1738578477,886.56,886.50,6067
1738578539,886.56,886.60,6117
1738578598,886.54,883.30,6165
1738578659,886.52,881.65,6190
1738578719,886.41,880.30,6324
1738578779,886.38,878.00,6347
1738578839,886.38,878.00,6347
1738578899,886.38,878.00,6347
1738578959,886.37,876.45,6352
1738579019,886.33,875.55,6375
1738579078,886.28,875.95,6407
1738579138,886.27,877.65,6413
1738579199,886.22,878.40,6453
1738579258,886.22,878.40,6453
1738579317,886.22,878.40,6453
1738579379,886.20,879.25,6471
1738579439,886.19,878.90,6481
1738579499,886.17,880.45,6504
1738579559,886.11,879.65,6562
1738579617,886.11,879.65,6562
1738579677,886.11,879.65,6562
1738579739,886.09,878.85,6579
1738579798,886.09,878.85,6579
1738579858,885.91,877.55,6718
1738579918,885.88,877.30,6741
1738579979,885.88,877.30,6741
1738580037,885.84,876.75,6771
1738580099,885.83,876.35,6772
1738580158,885.83,876.35,6772
1738580219,885.83,876.50,6778
1738580278,885.81,876.10,6791
1738580337,885.80,877.25,6795
1738580398,885.80,877.25,6795
1738580455,885.73,879.45,6871
1738580519,885.72,880.45,6892
1738580579,885.70,880.35,6913
1738580639,885.70,880.35,6913
1738580699,885.70,880.35,6913
1738580759,885.70,880.35,6913
1738580819,885.70,880.35,6913
1738580879,885.70,880.35,6913
1738580938,885.70,880.35,6913
1738580998,885.70,880.35,6913
1738581058,885.53,880.05,7107
1738581118,885.53,880.05,7107
1738581179,885.53,880.05,7107
1738581238,885.53,880.05,7107
1738581299,885.53,880.05,7107
1738581358,885.53,880.05,7107
1738581419,885.53,880.05,7107
1738581479,885.53,880.05,7107
1738581537,885.53,880.80,7111
1738581599,885.53,880.80,7111
1738581656,885.53,880.80,7111
1738581717,885.53,880.80,7111
1738581779,885.53,880.80,7111
1738581839,885.51,877.55,7128
1738581898,885.50,874.80,7137
1738581958,885.50,874.80,7137
1738582019,885.50,874.80,7137
1738582079,885.50,876.75,7139
1738582139,885.50,876.75,7139
1738582198,885.34,875.55,7253
1738582257,885.34,875.55,7253
1738582318,885.31,875.30,7275
1738582379,885.30,876.05,7280
1738582439,885.30,876.05,7280
1738582498,885.30,876.05,7280
1738582557,885.30,876.05,7280
1738582617,885.30,876.05,7280
1738582679,885.30,876.05,7280
1738582739,884.72,873.10,7671
1738582799,884.72,873.10,7671
1738582858,884.72,873.10,7671
1738582919,884.72,873.10,7671
1738582979,884.72,873.10,7671
1738583039,884.72,873.10,7671
1738583099,884.72,873.10,7671
1738583158,884.72,873.10,7671
1738583218,884.69,874.85,7696
1738583279,884.69,874.85,7696
1738583339,884.69,875.25,7700
1738583398,884.69,875.25,7700
1738583459,884.69,875.25,7700
1738583519,884.69,875.25,7700
1738583578,884.69,875.25,7700
1738583638,884.69,875.25,7700
1738583699,884.69,875.25,7700
1738583759,884.56,875.00,7800
1738583819,884.55,875.55,7810
1738583878,884.53,875.50,7830
1738583936,884.53,875.50,7830
1738583999,884.53,875.50,7830
1738584051,884.53,875.50,7830
1738584114,884.53,875.50,7830
1738584175,884.53,875.50,7830
1738584233,884.53,875.50,7830
1738584299,884.53,875.95,7833
1738584357,884.53,875.95,7833
1738584419,884.47,875.95,7883
1738584477,884.47,875.95,7883
1738584539,884.47,875.95,7883
1738584598,884.47,875.95,7883
1738584659,884.46,875.25,7893
1738584716,884.46,875.25,7893
1738584779,884.46,875.25,7893
1738584837,884.26,875.25,8068
1738584899,884.26,875.25,8068
1738584957,884.26,875.25,8068
1738585018,884.26,875.25,8068
1738585079,884.26,875.25,8068
1738585138,884.26,875.25,8068
1738585199,884.26,875.25,8068
1738585259,884.26,875.25,8068
1738585316,884.26,875.25,8068
1738585379,884.26,875.25,8068
1738585439,884.23,875.50,8093
1738585499,884.23,875.50,8093
1738585559,884.23,875.50,8093
1738585619,884.19,875.70,8133
1738585677,884.19,875.70,8133
1738585739,884.19,875.70,8133
1738585798,884.19,875.70,8133
1738585859,884.19,875.70,8133
1738585918,884.19,875.70,8133
1738585979,884.19,875.70,8133
1738586039,884.15,875.50,8175
1738586099,884.15,875.50,8175
1738586159,884.15,875.50,8175
1738586218,884.13,876.90,8200
1738586279,884.13,876.90,8200
1738586338,884.08,876.50,8257
1738586399,884.08,876.50,8257
1738586458,884.08,876.50,8257
1738586518,884.08,876.50,8257
1738586579,884.08,876.50,8257
1738586639,884.08,876.50,8257
1738586699,884.08,876.50,8257
1738586758,883.82,875.50,8516
1738586819,883.82,875.50,8516
1738586879,883.82,875.50,8516
1738586939,883.82,875.50,8516
1738586998,883.81,876.05,8534
1738587052,883.81,876.05,8534
1738587119,883.81,876.05,8534
1738587179,883.81,876.05,8534
1738587237,883.81,876.05,8534
1738587297,883.81,876.05,8534
1738587359,883.81,876.05,8534
1738587419,883.81,876.05,8534
1738587477,883.81,876.05,8534
1738587539,883.81,876.05,8534
1738587597,883.81,876.05,8534
1738587659,883.81,876.05,8534
1738587718,883.81,876.05,8534
1738587779,883.81,876.05,8534
1738587838,883.81,876.05,8534
1738587899,883.81,876.05,8534
1738587959,883.81,876.05,8534
1738588019,883.81,876.05,8534
1738588077,883.81,876.05,8534
1738588139,883.81,876.05,8534
1738588199,883.81,876.05,8534
1738588259,883.81,876.05,8534
1738588319,883.81,876.05,8534
1738588378,883.81,876.05,8534
1738588436,883.81,876.05,8534
1738588499,883.81,876.05,8534
1738588556,883.80,878.85,8551
1738588619,883.80,878.85,8551
1738588675,883.80,878.85,8551
1738588739,883.79,879.00,8558
1738588797,883.74,876.60,8621
1738588859,883.74,876.60,8621
1738588916,883.74,876.60,8621
1738588979,883.74,876.60,8621
1738589038,883.74,876.60,8621
1738589096,883.74,876.60,8621
1738589156,883.74,876.60,8621
1738589218,883.71,877.15,8648
1738589279,883.71,877.15,8648
1738589339,883.59,880.45,8944
1738589399,883.55,879.50,9037
1738589459,883.53,876.10,9069
1738589518,883.53,876.10,9069
1738589579,883.31,875.00,9310
1738589639,883.31,875.00,9310
1738589699,883.31,875.00,9310
1738589758,883.30,875.65,9312
1738589818,883.30,875.30,9316
1738589879,883.29,877.25,9337
