t,ap,cp,v
1738573637,287.80,287.80,2483
1738573740,287.80,287.80,2483
1738574159,287.71,287.60,8380
1738574219,287.59,285.55,9514
1738574279,287.10,285.25,12041
1738574339,286.94,284.60,12927
1738574399,285.98,284.65,20185
1738574459,285.93,284.70,20973
1738574519,285.82,283.85,22337
1738574579,285.76,283.90,23052
1738574639,285.47,284.00,26892
1738574697,285.11,283.00,32152
1738574759,284.87,284.55,39200
1738574819,284.86,284.65,39621
1738574879,284.86,283.55,39985
1738574939,284.80,283.45,41354
1738574999,284.78,283.30,41952
1738575059,284.74,284.00,43109
1738575119,284.72,283.85,44233
1738575179,284.68,283.05,45230
1738575239,284.64,282.40,46207
1738575297,284.58,281.85,47400
1738575359,284.40,281.20,50496
1738575419,284.28,281.00,52419
1738575479,284.18,280.50,53795
1738575539,283.68,280.20,61144
1738575599,283.47,280.00,65261
1738575659,283.36,280.65,67609
1738575719,283.17,279.40,71590
1738575779,282.90,279.65,76995
1738575839,282.87,279.10,77584
1738575899,282.81,279.00,78859
1738575959,282.76,279.50,79981
1738576017,282.74,279.40,80458
1738576079,282.69,279.25,81589
1738576139,282.59,279.30,83982
1738576199,282.56,279.30,84725
1738576259,282.45,279.60,87634
1738576319,282.44,279.65,88212
1738576379,282.40,279.35,89444
1738576439,282.33,279.30,91365
1738576499,282.33,279.60,91571
1738576559,282.17,278.95,95982
1738576619,282.08,278.65,98370
1738576679,282.06,278.50,98963
1738576739,282.03,278.30,99891
1738576799,282.00,278.75,100584
1738576859,281.99,278.65,101084
1738576919,281.90,279.40,104988
1738576979,281.88,279.50,105643
1738577039,281.88,279.70,105843
1738577099,281.86,279.45,106512
1738577159,281.86,279.85,106747
1738577219,281.85,280.15,107290
1738577279,281.84,280.80,107926
1738577338,281.84,280.35,108309
1738577399,281.81,279.60,109775
1738577459,281.79,279.65,110674
1738577519,281.77,279.90,112117
1738577579,281.76,279.85,112563
1738577639,281.73,280.25,114605
1738577699,281.72,280.50,115030
1738577759,281.71,280.65,116489
1738577819,281.70,280.30,116902
1738577879,281.70,280.50,117255
1738577939,281.69,280.70,117967
1738577999,281.67,280.35,120316
1738578059,281.66,280.35,121194
1738578119,281.66,281.45,121728
1738578179,281.64,281.65,124624
1738578238,281.64,280.90,124976
1738578299,281.64,280.80,125039
1738578359,281.64,281.50,125336
1738578419,281.64,281.20,125783
1738578479,281.53,280.80,150844
1738578539,281.51,281.05,156606
1738578599,281.46,281.35,172496
1738578659,281.45,281.15,177256
1738578719,281.45,281.60,178578
1738578779,281.43,281.00,188903
1738578839,281.39,281.50,203989
1738578898,281.40,281.60,206247
1738578959,281.40,281.30,207117
1738579019,281.39,281.25,207559
1738579079,281.39,281.45,208059
1738579139,281.39,281.40,208595
1738579199,281.39,281.30,208735
1738579259,281.39,281.25,208872
1738579319,281.35,281.10,232164
1738579379,281.33,281.70,247096
1738579439,281.34,282.60,249207
1738579499,281.34,282.45,249471
1738579559,281.34,282.30,249699
1738579619,281.34,282.60,249757
1738579679,281.34,282.45,251099
1738579739,281.35,282.15,252856
1738579799,281.36,282.00,256538
1738579859,281.44,282.50,275470
1738579919,281.55,282.70,312287
1738579979,281.57,282.35,319408
1738580039,281.58,282.25,327869
1738580099,281.62,281.95,350727
1738580159,281.63,282.00,355466
1738580219,281.63,282.15,355514
1738580279,281.63,282.00,357280
1738580336,281.63,282.25,357627
1738580399,281.64,282.60,363592
1738580459,281.64,282.90,363609
1738580519,281.65,283.20,364437
1738580579,281.65,283.35,364509
1738580639,281.65,283.25,364695
1738580699,281.66,283.05,368527
1738580759,281.68,282.20,375270
1738580819,281.68,282.65,375299
1738580879,281.92,282.40,491641
1738580939,281.92,282.30,492022
1738580999,281.92,282.35,493700
1738581059,281.92,282.60,493703
1738581119,281.92,282.40,493724
1738581179,281.92,282.25,494637
1738581239,281.92,282.50,494783
1738581299,281.92,282.60,494945
1738581359,281.92,283.05,494981
1738581419,281.92,282.90,495953
1738581479,281.92,283.10,496515
1738581539,281.92,282.95,496793
1738581599,281.92,282.95,496883
1738581659,281.92,282.90,497165
1738581719,281.92,282.80,497400
1738581779,281.92,282.25,497958
1738581839,281.92,282.20,499130
1738581899,281.92,282.00,500069
1738581959,281.92,281.80,500615
1738582019,281.92,281.90,501573
1738582079,281.92,281.70,501896
1738582139,281.92,281.20,503798
1738582198,281.92,280.95,504223
1738582259,281.92,281.70,504564
1738582319,281.92,281.55,505019
1738582379,281.92,281.10,507522
1738582439,281.92,281.15,507614
1738582499,281.91,280.95,509549
1738582559,281.91,280.80,509865
1738582619,281.91,280.75,510464
1738582679,281.91,280.50,511351
1738582739,281.91,280.95,511973
1738582799,281.90,280.75,512694
1738582859,281.90,280.75,512758
1738582919,281.90,280.80,513471
1738582979,281.90,281.20,513537
1738583039,281.90,281.25,513569
1738583099,281.90,281.15,513841
1738583158,281.90,281.10,514824
1738583219,281.90,281.00,514848
1738583279,281.90,281.10,516637
1738583339,281.90,281.05,517676
1738583399,281.90,281.25,517793
1738583459,281.89,281.35,518264
1738583519,281.89,281.50,518362
1738583579,281.89,281.35,518389
1738583638,281.89,281.45,518494
1738583699,281.89,281.45,518685
1738583759,281.89,281.25,518707
1738583819,281.89,281.50,519158
1738583879,281.89,281.05,519599
1738583939,281.89,281.25,520096
1738583999,281.89,281.25,520201
1738584059,281.89,281.75,520355
1738584118,281.89,281.80,520407
1738584179,281.89,281.75,520457
1738584239,281.89,281.80,521842
1738584299,281.89,281.90,521874
1738584359,281.89,281.90,521936
1738584419,281.89,282.00,521962
1738584479,281.89,281.15,525576
1738584539,281.89,280.80,526176
1738584599,281.89,280.85,526274
1738584659,281.89,280.60,526347
1738584719,281.89,280.75,526993
1738584779,281.89,280.80,527028
1738584839,281.89,280.80,527238
1738584899,281.89,281.00,527267
1738584959,281.89,281.00,527322
1738585019,281.89,281.05,527439
1738585078,281.88,280.90,528362
1738585139,281.88,280.75,528399
1738585199,281.88,280.70,528527
1738585259,281.88,280.80,528771
1738585319,281.88,280.80,528971
1738585379,281.88,280.90,529028
1738585439,281.88,280.90,529222
1738585499,281.88,280.85,529389
1738585559,281.88,280.90,529428
1738585619,281.88,281.05,529554
1738585679,281.88,281.15,529812
1738585739,281.88,281.00,529946
1738585799,281.88,281.25,530122
1738585859,281.88,281.05,530167
1738585919,281.88,281.10,530449
1738585979,281.88,281.30,530462
