t,ap,cp,v
1738573741,1424.00,1424.00,121
1738573940,1424.00,1424.00,121
1738574159,1405.22,1405.25,1009
1738574219,1405.11,1394.00,1025
1738574279,1404.13,1395.40,1121
1738574339,1402.93,1395.55,1471
1738574399,1402.90,1392.65,1476
1738574459,1402.82,1390.85,1486
1738574519,1402.69,1398.55,1517
1738574579,1402.88,1406.85,1770
1738574639,1404.61,1416.10,2064
1738574699,1404.89,1415.75,2106
1738574759,1407.00,1423.05,2582
1738574819,1407.45,1427.00,2651
1738574879,1409.12,1426.25,2902
1738574939,1410.26,1432.00,3078
1738574999,1410.86,1429.45,3189
1738575059,1411.69,1429.05,3354
1738575119,1412.62,1427.20,3588
1738575179,1412.80,1425.20,3637
1738575239,1412.81,1427.20,3640
1738575299,1413.25,1426.60,3772
1738575359,1413.39,1427.45,3809
1738575419,1415.19,1428.75,4267
1738575479,1415.40,1422.80,4372
1738575539,1415.42,1427.45,4379
1738575599,1415.42,1427.45,4379
1738575659,1415.67,1430.00,4454
1738575719,1415.79,1430.95,4491
1738575779,1416.03,1432.05,4557
1738575839,1416.03,1432.05,4557
1738575899,1416.29,1429.80,4633
1738575959,1416.48,1432.15,4690
1738576019,1416.48,1432.15,4690
1738576079,1416.52,1435.35,4700
1738576139,1417.14,1437.30,4840
1738576197,1417.35,1438.65,4890
1738576259,1417.38,1438.65,4898
1738576319,1417.45,1438.80,4914
1738576379,1417.51,1437.85,4928
1738576439,1417.73,1439.40,4978
1738576499,1417.73,1439.40,4978
1738576559,1417.74,1440.45,4980
1738576619,1417.75,1439.00,4983
1738576679,1419.87,1439.00,5534
1738576739,1421.60,1439.00,6084
1738576799,1421.63,1441.60,6094
1738576859,1421.63,1441.60,6094
1738576919,1422.24,1446.75,6250
1738576978,1422.31,1442.85,6270
1738577039,1422.58,1439.10,6371
1738577099,1422.58,1439.10,6371
1738577159,1422.59,1445.70,6372
1738577219,1422.83,1442.25,6449
1738577279,1422.90,1441.60,6478
1738577339,1422.91,1442.70,6482
1738577399,1423.19,1443.90,6565
1738577459,1423.19,1447.70,6566
1738577519,1423.22,1447.75,6574
1738577579,1423.24,1448.65,6578
1738577639,1423.25,1446.55,6582
1738577699,1423.26,1449.00,6585
1738577759,1423.29,1446.75,6593
1738577819,1423.29,1446.75,6593
1738577879,1423.50,1449.20,6646
1738577939,1423.80,1443.90,6746
1738577999,1424.10,1438.50,6854
1738578059,1424.19,1433.30,6906
1738578119,1424.20,1430.20,6923
1738578179,1424.21,1429.35,6924
1738578239,1424.21,1429.55,6925
1738578299,1424.22,1428.80,6943
1738578357,1424.22,1430.30,6950
1738578419,1424.22,1430.90,6951
1738578479,1424.31,1431.70,7028
1738578539,1424.31,1432.30,7033
1738578599,1424.31,1432.30,7033
1738578659,1424.43,1432.50,7133
1738578719,1424.43,1432.50,7133
1738578778,1424.43,1432.50,7133
1738578839,1424.43,1430.75,7135
1738578897,1424.43,1430.75,7135
1738578959,1424.51,1435.90,7187
1738579019,1424.53,1436.30,7200
1738579079,1424.54,1437.20,7207
1738579139,1424.62,1440.10,7243
1738579199,1424.62,1440.05,7244
1738579258,1424.81,1437.20,7351
1738579319,1424.81,1437.20,7351
1738579379,1424.83,1436.40,7363
1738579436,1424.83,1436.90,7364
1738579499,1424.83,1436.90,7364
1738579559,1424.83,1436.90,7364
1738579615,1424.83,1436.90,7364
1738579679,1424.95,1443.10,7424
1738579739,1424.95,1440.65,7426
1738579798,1425.01,1438.05,7455
1738579859,1425.01,1438.05,7455
1738579919,1425.01,1437.40,7456
1738579979,1425.01,1435.10,7457
1738580039,1425.01,1435.10,7457
1738580097,1425.01,1435.80,7458
1738580159,1425.71,1439.25,7868
1738580219,1425.84,1443.00,7928
1738580279,1425.84,1443.00,7928
1738580339,1425.90,1444.45,7954
1738580399,1425.90,1444.45,7954
1738580459,1425.90,1444.45,7954
1738580518,1425.90,1444.45,7954
1738580579,1425.98,1450.00,7979
1738580639,1426.97,1446.90,8368
1738580699,1426.97,1446.90,8368
1738580759,1427.02,1450.00,8385
1738580819,1427.08,1454.80,8405
1738580879,1427.16,1455.00,8427
1738580935,1427.20,1451.15,8440
1738580999,1427.42,1452.05,8512
1738581059,1427.42,1452.05,8512
1738581119,1427.50,1450.40,8542
1738581179,1427.51,1449.05,8545
1738581239,1427.57,1448.80,8568
1738581299,1427.61,1448.15,8585
1738581359,1427.62,1448.40,8586
1738581418,1427.66,1452.15,8601
1738581479,1427.72,1451.35,8622
1738581537,1427.72,1451.35,8622
1738581599,1427.75,1451.25,8633
1738581659,1427.75,1451.25,8633
1738581719,1427.75,1451.25,8633
1738581779,1427.75,1448.85,8634
1738581839,1427.80,1445.00,8659
1738581899,1427.82,1444.70,8668
1738581959,1427.82,1444.70,8668
1738582019,1427.82,1444.70,8668
1738582079,1427.82,1444.70,8668
1738582139,1427.83,1441.15,8673
1738582199,1427.87,1438.40,8703
1738582259,1427.87,1439.75,8704
1738582319,1427.87,1439.75,8704
1738582379,1427.87,1438.75,8706
1738582439,1427.87,1438.75,8706
1738582499,1427.87,1438.75,8706
1738582559,1427.87,1438.75,8706
1738582619,1427.87,1438.75,8706
1738582679,1427.87,1438.75,8706
1738582739,1427.87,1438.75,8706
