t,ap,cp,v
1738573636,209.40,209.40,45
1738573741,209.40,209.40,45
1738574144,209.35,208.30,48
1738574217,209.35,208.30,48
1738574279,209.32,208.00,49
1738574339,209.32,208.00,49
1738574398,209.29,207.75,50
1738574459,209.29,207.75,50
1738574516,208.95,207.90,66
1738574576,208.95,207.90,66
1738574637,208.95,207.90,66
1738574696,208.94,207.75,67
1738574757,208.94,207.75,67
1738574819,208.94,207.75,67
1738574878,208.76,208.20,87
1738574938,208.79,208.90,103
1738574998,208.79,208.90,103
1738575058,209.44,209.45,220
1738575118,209.44,209.45,220
1738575178,209.44,209.45,220
1738575239,209.44,209.45,220
1738575297,209.44,209.45,220
1738575359,209.44,209.45,220
1738575419,209.44,209.45,220
1738575479,209.44,209.45,220
1738575539,209.02,208.10,320
1738575579,209.02,208.10,320
1738575659,209.02,208.10,320
1738575717,209.02,208.10,320
1738575779,209.02,208.10,320
1738575839,209.02,208.10,320
1738575899,209.02,208.10,320
1738575955,209.02,208.10,320
1738576019,209.02,208.10,320
1738576079,209.02,208.10,320
1738576137,209.01,208.00,321
1738576199,209.01,207.25,322
1738576256,209.00,208.00,323
1738576319,209.00,208.00,323
1738576379,209.00,208.00,326
1738576435,209.00,208.00,326
1738576499,208.96,207.30,334
1738576555,208.96,207.30,334
1738576607,208.96,207.30,334
1738576667,208.96,207.30,334
1738576718,208.96,207.30,334
1738576798,208.95,207.25,335
1738576857,208.94,207.50,337
1738576918,208.93,208.75,357
1738576979,208.93,208.75,357
1738577039,208.93,208.75,357
1738577099,208.93,208.75,357
1738577159,208.93,208.00,358
1738577219,208.93,208.00,358
1738577279,208.93,208.00,358
1738577313,208.93,208.00,358
1738577399,208.55,207.50,488
1738577459,208.55,207.50,488
1738577519,208.55,207.50,488
1738577579,208.54,208.25,490
1738577639,208.54,208.25,490
1738577699,208.54,208.30,491
1738577759,208.55,208.80,496
1738577819,208.09,207.00,720
1738577876,208.09,207.55,721
1738577931,208.09,207.55,721
1738577999,208.09,207.55,721
1738578051,208.08,207.40,722
1738578116,208.04,207.35,871
1738578173,208.04,207.35,871
1738578239,208.04,207.35,871
1738578299,208.04,207.35,871
1738578359,208.04,207.35,871
1738578417,208.04,207.35,871
1738578479,208.04,207.35,871
1738578539,208.04,207.35,871
1738578598,208.04,207.35,871
1738578657,208.04,207.35,871
1738578718,208.04,207.35,871
1738578778,208.03,207.20,872
1738578838,208.03,207.20,872
1738578899,208.03,207.20,872
1738578959,208.01,207.00,893
1738579019,208.01,207.00,893
1738579079,208.01,207.00,894
1738579139,208.01,207.00,895
1738579194,207.99,207.00,914
1738579257,207.99,207.00,914
1738579319,207.99,206.95,915
1738579378,207.99,206.95,915
1738579439,207.98,205.35,917
1738579499,207.98,205.35,917
1738579557,207.98,205.35,917
1738579619,207.98,205.35,917
1738579679,207.98,205.35,917
1738579738,207.82,206.50,1017
1738579798,207.82,206.50,1017
1738579858,207.82,206.50,1017
1738579919,207.82,206.50,1017
1738579972,207.82,206.50,1017
1738580039,207.82,206.50,1017
1738580098,207.82,206.50,1017
1738580154,207.82,206.50,1017
1738580219,207.79,207.30,1062
1738580279,207.79,207.30,1062
1738580338,207.79,207.70,1078
1738580396,207.79,207.70,1078
1738580459,207.79,207.70,1078
1738580497,207.79,207.70,1078
1738580579,207.79,207.70,1078
1738580636,207.89,209.35,1154
1738580698,207.89,209.35,1154
1738580758,207.89,209.35,1154
1738580818,207.89,209.35,1154
1738580879,207.89,209.35,1154
1738580937,207.89,209.35,1154
1738580999,207.89,209.35,1154
1738581059,207.89,209.35,1154
1738581119,207.89,209.35,1154
1738581179,207.94,209.40,1201
1738581238,208.05,209.40,1301
1738581298,208.05,209.40,1301
1738581359,208.05,209.40,1301
1738581419,208.05,209.40,1301
1738581479,208.05,209.40,1301
1738581537,208.05,209.40,1301
1738581593,208.05,209.40,1301
