t,ap,cp,v
1738573635,98.35,98.35,8107
1738573731,98.35,98.35,8107
1738573741,98.35,98.35,8107
1738574159,97.83,97.70,39444
1738574219,97.80,97.95,58369
1738574279,97.91,98.60,74770
1738574339,97.98,98.50,84431
1738574399,98.04,98.50,93515
1738574459,98.09,98.60,105806
1738574518,98.11,98.55,121788
1738574579,98.18,98.65,138537
1738574639,98.18,98.45,139577
1738574699,98.19,98.60,142416
1738574758,98.29,98.80,178342
1738574819,98.34,99.00,195711
1738574879,98.37,99.05,201579
1738574939,98.49,99.15,233665
1738574999,98.51,99.20,239222
1738575059,98.51,99.15,239749
1738575119,98.52,99.30,242676
1738575179,98.54,99.00,251072
1738575239,98.55,98.80,257846
1738575299,98.56,98.75,267803
1738575359,98.56,98.65,271149
1738575419,98.55,98.30,279411
1738575479,98.55,98.30,280711
1738575539,98.54,98.00,288048
1738575599,98.53,97.85,293599
1738575659,98.52,98.00,301590
1738575719,98.51,98.05,304113
1738575779,98.51,98.05,306844
1738575839,98.50,98.15,308930
1738575899,98.48,97.75,320762
1738575959,98.48,97.85,321565
1738576018,98.48,98.05,322214
1738576079,98.47,98.00,326123
1738576139,98.47,97.90,328229
1738576199,98.46,97.65,331745
1738576258,98.46,97.75,332283
1738576319,98.45,97.85,335106
1738576379,98.44,97.80,344275
1738576439,98.44,97.95,345547
1738576499,98.43,97.85,347902
1738576559,98.43,97.90,350687
1738576619,98.43,97.85,351128
1738576679,98.42,97.70,354977
1738576739,98.42,97.70,357051
1738576799,98.42,97.90,358153
1738576859,98.42,97.80,358704
1738576918,98.41,97.90,360944
1738576978,98.41,97.75,361360
1738577039,98.40,97.60,364944
1738577099,98.40,97.75,366529
1738577159,98.40,97.70,368097
1738577219,98.40,97.80,368802
1738577279,98.40,97.90,368902
1738577339,98.40,97.90,369591
1738577399,98.39,97.85,374693
1738577459,98.39,98.15,375233
1738577519,98.39,98.50,383544
1738577579,98.39,98.35,387032
1738577639,98.39,98.20,388877
1738577699,98.39,98.25,389776
1738577759,98.38,97.95,392144
1738577819,98.38,98.05,393301
1738577877,98.38,98.20,398011
1738577939,98.38,98.15,400094
