t,ap,cp,v
1738573634,1123.70,1123.70,86
1738573682,1123.70,1123.70,86
1738573747,1123.70,1123.70,86
1738573885,1123.70,1123.70,86
1738574159,1119.21,1116.20,765
1738574219,1115.39,1094.95,1003
1738574279,1110.48,1098.20,1403
1738574339,1110.24,1101.70,1444
1738574398,1110.03,1100.65,1478
1738574459,1109.90,1102.45,1499
1738574519,1109.26,1103.70,1613
1738574578,1108.64,1104.35,1771
1738574638,1108.22,1100.00,1894
1738574699,1107.64,1096.70,2004
1738574759,1107.24,1104.55,2107
1738574819,1107.73,1120.00,2249
1738574879,1108.38,1121.70,2375
1738574939,1109.65,1122.55,2592
1738574999,1110.29,1124.00,2715
1738575059,1110.40,1123.55,2737
1738575119,1110.57,1125.35,2771
1738575179,1111.65,1125.50,2980
1738575239,1111.90,1122.85,3036
1738575299,1112.10,1123.90,3093
1738575359,1112.85,1124.65,3291
1738575419,1113.47,1125.05,3458
1738575479,1113.68,1122.45,3535
1738575539,1113.88,1120.70,3620
1738575599,1113.90,1120.00,3633
1738575658,1114.14,1123.60,3731
1738575719,1114.16,1127.00,3737
1738575779,1114.26,1129.10,3764
1738575839,1114.62,1129.45,3859
1738575899,1114.70,1127.40,3882
1738575959,1114.75,1128.00,3895
1738576019,1114.81,1130.70,3911
1738576079,1115.00,1121.60,3992
1738576139,1115.08,1122.90,4037
1738576199,1115.21,1114.55,4165
1738576259,1115.21,1118.05,4166
1738576319,1115.21,1117.10,4175
1738576379,1115.21,1117.60,4179
1738576439,1115.23,1116.65,4227
1738576499,1115.32,1116.00,4625
1738576559,1115.35,1117.85,4695
1738576619,1115.38,1116.50,4810
1738576678,1115.39,1118.20,4827
1738576739,1115.39,1115.95,4864
1738576792,1115.39,1114.35,4877
1738576859,1115.40,1116.80,4897
1738576919,1115.44,1119.95,4962
1738576978,1115.45,1120.40,4972
1738577039,1115.47,1121.40,4987
1738577099,1115.47,1121.40,4987
1738577159,1115.47,1121.40,4987
1738577219,1115.61,1122.00,5103
1738577278,1115.61,1122.00,5103
1738577338,1115.63,1121.55,5115
1738577399,1115.70,1115.50,5259
1738577459,1115.70,1114.00,5265
1738577519,1115.70,1114.00,5265
1738577579,1115.70,1114.00,5265
1738577639,1115.70,1115.55,5331
1738577699,1115.71,1118.10,5341
1738577759,1115.70,1112.30,5437
1738577819,1115.67,1110.75,5479
1738577878,1115.66,1114.45,5495
1738577939,1115.66,1111.40,5501
1738577999,1115.66,1111.40,5501
1738578059,1115.68,1119.30,5569
1738578119,1116.33,1121.75,6088
1738578179,1116.41,1122.90,6164
1738578239,1116.47,1121.55,6227
1738578299,1116.47,1121.55,6227
1738578359,1116.47,1121.55,6227
1738578419,1116.47,1121.55,6227
1738578479,1116.50,1120.50,6274
1738578535,1116.50,1119.30,6282
1738578599,1116.50,1113.90,6316
1738578659,1116.49,1115.05,6341
1738578713,1116.47,1113.65,6381
1738578779,1116.47,1113.65,6381
1738578839,1116.47,1113.65,6381
1738578899,1116.51,1119.55,6477
1738578958,1116.53,1123.15,6500
1738579008,1116.53,1123.15,6500
1738579079,1116.56,1119.60,6556
1738579139,1116.60,1118.15,6686
1738579196,1116.60,1119.30,6698
1738579259,1116.60,1118.15,6703
1738579319,1116.63,1118.60,6798
1738579379,1116.63,1118.60,6798
1738579435,1116.63,1119.25,6809
1738579499,1116.63,1119.25,6809
1738579559,1116.80,1123.15,7034
1738579618,1116.86,1121.30,7125
1738579678,1117.64,1119.90,8725
1738579735,1117.64,1122.00,8726
1738579799,1117.64,1122.00,8726
1738579857,1117.64,1122.00,8726
1738579919,1117.65,1123.50,8736
1738579979,1117.70,1125.85,8806
1738580039,1117.73,1126.00,8843
1738580099,1117.78,1126.75,8894
1738580159,1117.81,1127.50,8920
1738580219,1117.84,1127.20,8948
1738580279,1117.84,1128.35,8949
1738580339,1118.58,1127.65,9950
1738580399,1118.58,1127.65,9950
1738580459,1118.59,1127.00,9962
1738580517,1118.59,1127.00,9962
1738580578,1118.59,1125.80,9963
1738580639,1118.59,1125.80,9963
1738580696,1118.59,1125.80,9963
1738580759,1118.59,1125.80,9963
1738580819,1118.59,1125.80,9963
1738580879,1118.59,1125.80,9963
1738580939,1119.08,1122.40,11095
1738580998,1119.10,1122.40,11146
1738581056,1119.10,1122.40,11146
1738581119,1119.10,1122.40,11146
1738581179,1119.10,1122.40,11146
1738581239,1119.10,1122.40,11146
1738581298,1119.10,1122.40,11146
1738581359,1119.10,1121.00,11156
1738581418,1119.13,1122.00,11295
1738581478,1119.18,1122.70,11451
1738581539,1119.19,1125.50,11466
1738581598,1119.19,1127.00,11476
1738581657,1119.25,1128.00,11556
1738581718,1119.26,1128.75,11560
1738581778,1119.27,1127.50,11585
1738581839,1119.27,1127.50,11585
1738581898,1119.27,1127.50,11585
1738581957,1119.27,1127.50,11585
1738582010,1119.27,1127.50,11585
1738582078,1119.28,1125.00,11590
1738582138,1119.28,1125.00,11590
1738582199,1119.29,1122.50,11628
1738582259,1119.29,1124.75,11637
1738582319,1119.29,1122.15,11645
1738582368,1119.29,1122.15,11645
1738582439,1119.30,1120.00,11689
1738582497,1119.30,1120.00,11689
1738582557,1119.30,1120.00,11689
1738582619,1119.30,1120.00,11689
1738582679,1119.30,1120.00,11689
1738582739,1119.30,1121.85,11691
1738582798,1119.30,1121.85,11691
1738582859,1119.30,1121.85,11691
1738582915,1119.30,1121.85,11691
1738582967,1119.30,1118.00,11701
1738583038,1119.30,1118.00,11701
1738583099,1119.30,1120.90,11702
1738583151,1119.30,1120.90,11702
1738583212,1119.30,1120.50,11722
1738583279,1119.30,1120.50,11722
1738583339,1119.30,1120.50,11722
1738583399,1119.28,1117.90,11922
1738583459,1119.28,1117.90,11922
1738583518,1119.29,1120.20,11932
1738583576,1119.29,1120.20,11932
1738583639,1119.29,1117.00,11936
1738583699,1119.29,1119.15,11937
1738583749,1119.29,1119.15,11937
1738583818,1119.29,1119.15,11937
1738583879,1119.29,1119.15,11937
1738583938,1119.29,1119.15,11937
1738583998,1119.29,1119.80,11941
1738584056,1119.29,1120.20,11957
1738584119,1119.29,1121.00,11958
1738584177,1119.29,1121.00,11961
1738584228,1119.29,1120.05,11963
1738584299,1119.29,1120.05,11963
1738584353,1119.29,1120.05,11963
1738584418,1119.31,1125.00,12025
1738584471,1119.31,1126.80,12026
1738584539,1119.67,1123.55,13016
1738584599,1119.70,1124.55,13079
1738584659,1119.70,1124.55,13079
1738584719,1119.70,1123.35,13080
1738584777,1119.70,1123.35,13080
1738584835,1119.70,1123.35,13080
1738584896,1119.70,1123.35,13080
1738584959,1119.70,1123.35,13085
1738585019,1119.75,1125.75,13219
1738585078,1119.76,1128.00,13229
1738585139,1119.78,1127.75,13269
1738585199,1119.79,1125.60,13294
1738585259,1119.79,1125.60,13294
1738585319,1120.08,1126.75,13742
1738585378,1120.08,1128.00,13747
1738585439,1120.08,1128.00,13747
1738585493,1120.09,1128.00,13754
1738585558,1120.10,1127.50,13788
1738585619,1120.12,1127.70,13827
1738585679,1120.13,1131.00,13832
1738585739,1120.13,1131.00,13832
1738585799,1120.20,1124.50,13948
1738585857,1120.20,1124.50,13948
1738585919,1120.20,1124.50,13948
1738585979,1120.21,1122.90,14023
1738586039,1120.21,1122.90,14023
1738586099,1120.21,1122.50,14033
1738586159,1120.21,1121.00,14034
1738586219,1120.21,1120.70,14055
1738586279,1120.21,1120.70,14055
1738586338,1120.21,1120.00,14159
1738586399,1120.21,1120.00,14159
1738586457,1120.21,1120.00,14159
1738586519,1120.21,1122.15,14173
1738586579,1120.21,1122.15,14173
1738586639,1120.22,1120.75,14211
1738586699,1120.22,1120.00,14212
1738586759,1120.22,1118.70,14222
1738586819,1120.18,1115.00,14367
1738586878,1120.14,1110.00,14433
1738586938,1120.08,1108.45,14521
1738586999,1120.03,1110.15,14596
1738587058,1119.98,1108.25,14667
1738587118,1119.94,1103.25,14702
1738587178,1119.94,1103.35,14705
1738587238,1119.93,1104.00,14715
1738587299,1119.93,1104.00,14715
1738587359,1119.92,1103.40,14724
1738587419,1119.50,1107.70,15214
1738587470,1119.46,1106.95,15263
1738587539,1119.46,1106.95,15263
1738587597,1119.45,1105.75,15270
1738587659,1119.41,1104.95,15309
1738587713,1119.41,1104.95,15309
1738587779,1119.41,1104.95,15309
1738587838,1119.33,1109.30,15423
1738587899,1119.30,1110.30,15482
1738587959,1119.29,1108.60,15491
1738588019,1119.26,1108.25,15532
1738588079,1119.25,1111.55,15548
1738588139,1119.23,1111.55,15596
1738588198,1119.22,1113.95,15629
1738588257,1119.21,1114.45,15649
1738588319,1119.21,1114.45,15649
1738588379,1119.21,1114.45,15649
1738588439,1119.21,1114.45,15649
1738588499,1119.20,1111.55,15677
1738588559,1119.18,1111.05,15724
1738588616,1119.18,1111.05,15724
1738588669,1119.18,1111.05,15724
1738588738,1119.16,1111.05,15749
1738588798,1119.13,1110.00,15809
1738588859,1119.11,1110.20,15832
1738588918,1119.11,1110.20,15832
1738588979,1119.11,1110.20,15832
1738589039,1119.11,1110.20,15832
1738589095,1119.11,1110.20,15832
1738589159,1119.10,1108.25,15852
1738589219,1119.10,1108.25,15852
1738589279,1119.10,1108.25,15852
