t,ap,cp,v
1738573635,626.15,626.15,21
1738573741,626.15,626.15,21
1738574159,607.43,600.00,211
1738574219,603.78,599.15,411
1738574279,603.21,599.85,482
1738574339,603.13,600.50,498
1738574395,603.13,600.50,498
1738574459,602.09,599.45,782
1738574517,601.42,599.35,985
1738574579,601.30,599.50,1095
1738574639,601.28,600.75,1143
1738574699,601.28,601.95,1169
1738574758,601.48,602.80,1595
1738574819,601.48,602.80,1595
1738574879,601.95,609.50,1695
1738574939,603.82,611.70,2183
1738574998,604.21,612.35,2282
1738575059,604.63,609.65,2462
1738575119,604.91,609.05,2601
1738575178,604.90,604.45,2602
1738575239,604.88,603.05,2637
1738575298,604.65,601.85,2873
1738575359,604.56,604.70,3136
1738575419,604.56,604.30,3169
1738575478,604.56,604.30,3169
1738575538,604.56,604.30,3169
1738575599,604.56,604.55,3212
1738575659,604.57,604.95,3260
1738575717,604.75,606.15,3507
1738575779,604.86,605.40,3824
1738575839,604.86,605.40,3824
1738575899,604.86,605.40,3824
1738575957,604.86,605.40,3824
1738576018,604.86,603.10,3830
1738576079,604.82,603.85,3977
1738576139,604.83,607.45,4017
1738576199,604.84,606.45,4037
1738576258,604.84,606.45,4037
1738576319,604.85,606.35,4067
1738576379,604.86,605.30,4110
1738576438,604.86,605.30,4110
1738576499,604.87,605.55,4145
1738576559,604.86,604.75,4227
1738576619,604.86,604.55,4315
1738576679,604.86,604.55,4315
1738576739,604.86,604.55,4315
1738576799,604.86,604.55,4315
1738576857,604.86,604.55,4315
1738576918,604.87,606.55,4331
1738576979,604.87,605.05,4454
1738577039,604.87,605.20,4515
1738577099,604.87,605.20,4515
1738577159,604.87,605.20,4515
1738577219,604.87,605.20,4515
1738577279,604.90,608.90,4546
1738577339,604.90,608.90,4546
1738577398,605.26,608.95,5059
1738577456,605.35,610.45,5149
1738577512,605.35,610.45,5149
1738577579,605.35,610.45,5149
1738577637,605.35,610.45,5149
1738577699,605.35,610.45,5149
1738577759,605.35,610.45,5149
1738577818,605.78,610.90,5429
1738577877,605.78,610.90,5429
1738577937,605.84,611.35,5483
1738577998,605.85,612.50,5490
1738578059,605.85,612.50,5490
1738578119,605.85,612.50,5490
1738578179,605.85,612.50,5490
1738578239,605.89,613.05,5522
1738578299,605.89,613.05,5522
1738578359,605.89,613.05,5522
1738578416,605.92,611.20,5549
1738578479,605.92,611.20,5549
1738578539,605.92,611.20,5549
1738578599,605.93,610.70,5571
1738578659,605.93,610.70,5571
1738578717,605.93,610.70,5571
1738578774,605.93,610.70,5571
1738578839,605.93,610.70,5571
1738578899,605.93,610.70,5571
