t,ap,cp,v
1738573635,2374.60,2374.60,157
1738573708,2374.60,2374.60,157
1738573740,2374.60,2374.60,157
1738573858,2374.60,2374.60,157
1738573951,2374.60,2374.60,157
1738574159,2338.24,2312.50,640
1738574219,2320.54,2297.00,1261
1738574279,2315.36,2289.95,1531
1738574339,2314.03,2288.15,1618
1738574398,2308.43,2281.50,1946
1738574458,2305.42,2285.45,2178
1738574519,2303.47,2276.80,2326
1738574579,2302.95,2275.20,2373
1738574639,2301.42,2283.55,2600
1738574698,2301.13,2285.50,2651
1738574759,2300.56,2297.00,2842
1738574819,2300.95,2315.90,2997
1738574879,2301.28,2332.10,3041
1738574939,2302.71,2318.95,3323
1738574999,2303.31,2306.50,3499
1738575059,2303.57,2315.35,3571
1738575118,2303.62,2316.95,3588
1738575178,2304.95,2319.90,3922
1738575239,2304.99,2307.05,3970
1738575298,2304.99,2300.90,3975
1738575359,2304.95,2301.05,4010
1738575419,2304.95,2301.10,4011
1738575477,2304.94,2302.85,4036
1738575539,2304.92,2299.05,4054
1738575598,2304.86,2301.00,4135
1738575658,2304.87,2303.60,4150
1738575719,2304.89,2313.05,4166
1738575779,2305.24,2312.10,4352
1738575839,2305.24,2312.10,4352
1738575896,2305.47,2320.00,4415
1738575959,2305.67,2312.00,4511
1738576017,2305.68,2312.00,4513
1738576079,2305.90,2320.95,4597
1738576139,2306.11,2323.00,4652
1738576199,2306.74,2324.00,4814
1738576258,2307.35,2330.05,4946
1738576319,2307.43,2329.15,4968
1738576379,2307.85,2324.05,5085
1738576439,2307.91,2325.05,5101
1738576499,2307.92,2325.10,5104
1738576559,2307.93,2328.70,5106
1738576619,2308.06,2329.75,5138
1738576678,2308.09,2329.95,5145
1738576739,2308.11,2320.55,5156
1738576798,2308.27,2324.50,5203
1738576859,2308.53,2324.95,5290
1738576919,2308.56,2322.35,5300
1738576979,2308.58,2322.05,5311
1738577039,2308.73,2327.45,5356
1738577099,2308.73,2327.45,5356
1738577158,2308.76,2328.90,5363
1738577218,2308.81,2326.00,5377
1738577279,2308.88,2330.00,5397
1738577338,2309.02,2330.00,5432
1738577398,2309.09,2329.90,5452
1738577459,2309.54,2319.80,5628
1738577519,2309.54,2325.00,5630
1738577579,2309.55,2323.80,5631
1738577639,2309.56,2325.95,5635
1738577699,2309.56,2321.10,5637
1738577758,2309.56,2321.10,5637
1738577817,2309.63,2323.90,5663
1738577879,2309.65,2323.45,5673
1738577939,2309.65,2323.45,5673
1738577998,2309.66,2319.45,5678
1738578059,2309.79,2315.00,5768
1738578117,2310.07,2322.05,5882
1738578177,2310.07,2324.20,5885
1738578237,2310.08,2324.25,5887
1738578298,2310.08,2324.25,5887
1738578358,2310.26,2328.95,5945
1738578419,2310.60,2328.95,6045
1738578479,2310.60,2328.95,6046
1738578539,2310.62,2329.90,6051
1738578599,2310.62,2324.00,6053
1738578659,2310.62,2325.00,6054
1738578718,2310.64,2329.50,6060
1738578778,2310.78,2330.95,6100
1738578838,2310.96,2332.60,6151
1738578899,2310.97,2333.95,6153
1738578958,2310.99,2333.95,6159
1738579018,2311.05,2333.95,6175
1738579079,2312.32,2340.25,6514
1738579139,2312.61,2331.70,6590
1738579198,2312.61,2331.70,6590
1738579259,2312.64,2331.70,6601
1738579319,2312.65,2329.95,6604
1738579377,2312.69,2330.00,6619
1738579439,2312.70,2331.70,6624
1738579499,2312.70,2331.70,6624
1738579558,2312.70,2330.10,6625
1738579618,2312.73,2333.95,6632
1738579679,2312.82,2337.20,6658
1738579736,2312.82,2335.80,6659
1738579799,2313.53,2329.20,6924
1738579851,2313.53,2326.05,6926
1738579919,2313.53,2326.05,6926
1738579978,2313.53,2331.90,6927
1738580039,2313.57,2332.90,6939
1738580097,2313.88,2335.95,7039
1738580157,2313.90,2333.95,7047
1738580218,2313.90,2333.95,7047
1738580277,2313.90,2339.95,7048
1738580335,2313.90,2339.95,7048
1738580399,2314.27,2340.25,7148
1738580459,2314.27,2337.20,7149
1738580519,2315.01,2351.45,7308
1738580579,2315.02,2355.00,7310
1738580639,2315.03,2355.05,7311
1738580698,2315.04,2359.95,7313
1738580759,2315.50,2358.60,7389
1738580819,2315.54,2365.75,7395
1738580879,2316.52,2351.05,7580
1738580939,2316.61,2345.05,7604
1738580999,2316.75,2340.95,7647
1738581059,2316.82,2340.80,7670
1738581118,2316.82,2340.80,7670
1738581173,2316.83,2355.90,7672
1738581239,2317.07,2353.95,7722
1738581299,2317.07,2353.95,7722
1738581357,2317.12,2352.10,7733
1738581419,2317.29,2352.50,7769
1738581479,2317.38,2347.95,7792
1738581539,2317.38,2347.95,7792
1738581599,2317.38,2337.85,7795
1738581656,2317.38,2337.85,7795
1738581719,2317.44,2333.95,7819
1738581779,2318.17,2333.00,8182
1738581839,2318.19,2330.00,8195
1738581899,2318.25,2337.55,8223
1738581959,2318.33,2338.00,8253
1738582019,2318.33,2338.00,8253
1738582078,2318.35,2333.85,8267
1738582139,2318.35,2330.05,8269
1738582198,2318.35,2330.05,8269
1738582258,2318.39,2333.95,8288
1738582318,2318.39,2333.95,8288
1738582379,2318.41,2333.95,8298
1738582439,2318.41,2333.95,8298
1738582499,2318.60,2332.30,8400
1738582555,2318.62,2333.95,8412
1738582619,2318.69,2337.90,8445
1738582679,2318.74,2337.75,8465
1738582738,2318.74,2337.75,8465
1738582799,2318.74,2335.75,8466
1738582859,2318.74,2335.75,8466
1738582919,2318.74,2335.75,8467
1738582979,2318.74,2335.75,8467
1738583035,2318.74,2335.75,8467
1738583099,2318.77,2331.55,8483
1738583159,2318.77,2330.65,8486
1738583215,2318.78,2334.90,8488
1738583279,2318.78,2334.90,8488
1738583336,2318.78,2334.90,8491
1738583397,2318.79,2330.05,8497
1738583459,2318.79,2330.05,8497
1738583519,2318.79,2330.05,8497
1738583579,2318.80,2339.00,8504
1738583638,2318.81,2340.00,8507
1738583699,2318.81,2340.00,8507
1738583758,2318.81,2340.00,8507
1738583811,2318.81,2340.00,8507
1738583879,2318.81,2336.60,8508
1738583939,2318.81,2336.60,8508
1738583998,2318.86,2336.75,8529
1738584057,2318.86,2336.75,8529
1738584119,2318.86,2336.75,8529
1738584179,2318.86,2336.75,8529
1738584238,2319.18,2345.00,8649
1738584299,2319.20,2342.60,8655
1738584359,2319.26,2344.10,8677
1738584419,2319.38,2346.05,8715
1738584479,2319.73,2343.75,8839
1738584538,2319.73,2343.75,8839
1738584597,2319.76,2340.05,8850
1738584659,2319.76,2340.05,8850
1738584716,2319.76,2340.05,8850
1738584779,2319.76,2340.05,8850
1738584839,2319.86,2344.95,8886
1738584898,2319.86,2344.95,8886
1738584957,2319.86,2344.95,8886
1738585019,2319.87,2339.95,8889
1738585078,2320.02,2343.95,8945
1738585139,2320.02,2343.95,8945
1738585198,2320.07,2343.35,8968
1738585258,2320.07,2343.35,8968
1738585319,2320.09,2338.05,8978
1738585378,2320.09,2338.05,8978
1738585438,2320.28,2337.05,9078
1738585493,2320.29,2341.75,9081
1738585558,2320.29,2341.75,9081
1738585617,2320.29,2341.75,9081
1738585678,2320.29,2341.75,9081
1738585739,2320.38,2344.95,9116
1738585798,2320.62,2352.00,9188
1738585858,2320.88,2355.95,9258
1738585919,2320.92,2355.95,9268
1738585976,2320.94,2350.95,9275
1738586039,2320.97,2353.95,9283
1738586094,2321.12,2355.95,9323
1738586158,2321.22,2357.90,9349
1738586219,2321.22,2357.90,9349
1738586278,2321.22,2357.90,9349
1738586338,2321.25,2349.25,9358
1738586399,2321.30,2345.00,9378
1738586457,2321.30,2345.00,9378
1738586519,2321.37,2348.05,9400
1738586579,2321.66,2340.05,9506
1738586639,2321.67,2341.50,9510
1738586697,2321.70,2343.95,9526
1738586757,2321.80,2346.00,9577
1738586818,2321.80,2346.00,9577
1738586878,2321.80,2346.00,9577
1738586935,2321.83,2345.95,9588
1738586998,2321.83,2345.95,9588
1738587059,2321.84,2347.95,9593
1738587119,2321.84,2347.95,9593
1738587178,2321.84,2347.95,9593
1738587237,2321.84,2347.95,9593
1738587299,2321.84,2347.95,9593
1738587359,2321.84,2347.95,9593
1738587417,2321.84,2347.95,9593
1738587475,2322.11,2349.95,9697
1738587539,2322.12,2349.95,9698
1738587599,2322.14,2350.00,9705
1738587658,2322.16,2353.95,9711
1738587719,2322.19,2353.00,9722
1738587779,2322.23,2353.95,9734
1738587838,2322.24,2357.95,9736
1738587899,2322.46,2360.00,9797
1738587959,2322.46,2360.00,9797
1738588019,2322.84,2360.00,9897
1738588079,2322.84,2360.00,9897
1738588137,2322.84,2360.00,9897
1738588199,2322.84,2360.00,9897
1738588259,2322.90,2357.05,9917
1738588319,2322.98,2359.90,9937
1738588379,2322.98,2359.90,9937
1738588439,2323.06,2360.00,9958
1738588499,2323.06,2360.00,9958
1738588559,2323.06,2360.00,9958
1738588616,2323.61,2358.80,10116
1738588679,2323.61,2358.80,10116
1738588737,2323.62,2357.90,10118
1738588799,2323.77,2359.90,10164
1738588859,2324.82,2353.95,10532
1738588919,2324.85,2350.10,10543
1738588979,2324.92,2347.05,10577
1738589037,2324.94,2343.90,10590
1738589098,2324.95,2344.05,10593
1738589158,2324.95,2344.05,10593
1738589217,2325.06,2347.95,10643
1738589279,2325.06,2347.95,10643
1738589339,2325.06,2347.95,10643
1738589398,2325.17,2345.00,10703
1738589459,2325.17,2347.90,10705
1738589519,2325.17,2347.90,10705
1738589578,2325.17,2347.90,10705
1738589639,2325.17,2347.90,10705
1738589698,2325.21,2345.95,10729
1738589757,2325.21,2345.95,10729
1738589819,2325.21,2345.95,10729
1738589879,2325.21,2345.95,10729
1738589938,2325.21,2345.95,10729
1738589999,2325.25,2345.95,10749
1738590057,2325.25,2345.70,10752
1738590119,2325.26,2345.95,10753
1738590179,2325.26,2345.95,10753
1738590239,2325.26,2346.90,10754
1738590299,2325.26,2346.90,10754
1738590359,2325.26,2346.90,10754
1738590419,2325.28,2344.25,10768
1738590479,2325.28,2344.25,10768
1738590537,2325.28,2344.25,10768
1738590597,2325.28,2344.25,10768
1738590659,2325.28,2344.25,10768
1738590719,2325.35,2344.05,10803
1738590778,2325.36,2343.05,10806
1738590839,2325.36,2343.05,10806
1738590898,2325.39,2347.90,10823
1738590958,2325.47,2345.25,10862
1738591019,2325.47,2343.00,10864
1738591079,2325.51,2338.65,10893
1738591139,2325.51,2338.65,10894
1738591199,2325.55,2343.80,10915
1738591259,2325.59,2343.35,10939
1738591319,2325.60,2340.00,10949
1738591379,2325.60,2340.00,10949
1738591439,2325.72,2336.20,11056
1738591499,2325.73,2336.20,11061
1738591558,2325.73,2336.20,11061
1738591618,2325.73,2343.90,11062
1738591679,2325.73,2340.35,11064
1738591738,2325.74,2340.00,11068
1738591796,2326.11,2338.30,11368
1738591857,2326.11,2338.30,11368
1738591919,2326.11,2340.05,11374
1738591978,2326.11,2340.05,11374
1738592038,2326.12,2340.90,11379
1738592096,2326.12,2340.90,11379
1738592159,2326.12,2340.90,11379
1738592219,2326.12,2340.90,11379
1738592279,2326.12,2340.90,11379
1738592339,2326.49,2347.95,11579
1738592399,2326.49,2350.00,11580
1738592458,2327.46,2341.00,12222
1738592519,2327.47,2340.20,12231
1738592578,2327.47,2340.30,12235
1738592639,2327.48,2345.90,12239
1738592699,2327.48,2345.90,12239
1738592759,2327.48,2345.90,12239
1738592819,2327.60,2340.10,12337
1738592879,2327.60,2340.10,12337
1738592939,2327.62,2342.90,12348
1738592999,2327.62,2345.55,12350
1738593059,2327.64,2341.05,12371
1738593119,2327.64,2341.05,12371
1738593179,2327.76,2342.05,12471
1738593239,2327.78,2343.35,12484
1738593299,2327.78,2343.35,12484
1738593359,2327.78,2343.35,12485
1738593419,2327.78,2344.20,12488
1738593479,2327.79,2342.25,12491
1738593539,2327.80,2344.20,12498
1738593596,2327.80,2345.00,12499
1738593658,2327.80,2345.00,12499
1738593718,2327.80,2347.20,12501
1738593779,2327.83,2347.95,12519
1738593838,2327.83,2347.80,12521
1738593899,2327.83,2347.80,12521
1738593959,2327.83,2347.80,12521
1738594018,2327.83,2347.80,12521
1738594079,2327.88,2340.00,12564
1738594139,2327.89,2339.35,12581
1738594198,2327.89,2341.70,12582
1738594257,2327.89,2341.70,12582
1738594319,2327.94,2341.60,12626
1738594379,2327.94,2341.60,12626
1738594438,2328.01,2339.40,12695
1738594498,2328.02,2341.60,12697
1738594559,2328.02,2341.60,12697
1738594617,2328.02,2341.70,12699
1738594679,2328.02,2341.70,12699
1738594738,2328.02,2341.70,12699
1738594799,2328.02,2341.70,12699
1738594859,2328.02,2341.70,12699
1738594919,2328.05,2339.90,12731
1738594979,2328.06,2338.10,12748
1738595038,2328.06,2338.10,12748
1738595099,2328.06,2341.90,12749
1738595159,2328.06,2341.90,12749
1738595219,2328.06,2341.95,12750
1738595278,2328.06,2341.95,12750
1738595339,2328.06,2341.95,12750
1738595399,2328.07,2342.60,12751
1738595459,2328.07,2342.95,12758
1738595519,2328.17,2345.55,12832
1738595579,2328.17,2339.85,12833
1738595639,2328.29,2339.10,12974
1738595699,2328.30,2339.35,12980
1738595758,2328.41,2343.20,13083
1738595817,2328.42,2344.90,13084
1738595879,2328.44,2344.40,13105
1738595939,2328.46,2340.60,13126
1738595999,2328.55,2343.70,13243
1738596058,2328.58,2342.30,13268
1738596119,2328.59,2345.90,13276
1738596179,2328.61,2344.95,13293
1738596238,2328.63,2344.20,13310
1738596299,2328.70,2344.00,13369
1738596359,2328.91,2342.00,13567
1738596419,2328.92,2339.65,13585
1738596476,2328.93,2344.95,13598
1738596536,2328.94,2338.45,13608
1738596599,2328.96,2344.00,13626
1738596601,2328.96,2344.00,13626
1738596675,2328.96,2344.00,13626
1738597254,2328.96,2344.00,13626
1738597337,2328.97,2341.85,13635
1738597962,2328.97,2341.85,13636
1738598401,2328.97,2341.85,13636
1738598487,2328.97,2341.85,13636
t,ap,cp,v
1738573635,2374.60,2374.60,157
1738573708,2374.60,2374.60,157
1738573740,2374.60,2374.60,157
1738573858,2374.60,2374.60,157
1738573951,2374.60,2374.60,157
1738574159,2338.24,2312.50,640
1738574219,2320.54,2297.00,1261
1738574279,2315.36,2289.95,1531
1738574339,2314.03,2288.15,1618
1738574398,2308.43,2281.50,1946
1738574458,2305.42,2285.45,2178
1738574519,2303.47,2276.80,2326
1738574579,2302.95,2275.20,2373
1738574639,2301.42,2283.55,2600
1738574698,2301.13,2285.50,2651
1738574759,2300.56,2297.00,2842
1738574819,2300.95,2315.90,2997
1738574879,2301.28,2332.10,3041
1738574939,2302.71,2318.95,3323
1738574999,2303.31,2306.50,3499
1738575059,2303.57,2315.35,3571
1738575118,2303.62,2316.95,3588
1738575178,2304.95,2319.90,3922
1738575239,2304.99,2307.05,3970
1738575298,2304.99,2300.90,3975
1738575359,2304.95,2301.05,4010
1738575419,2304.95,2301.10,4011
1738575477,2304.94,2302.85,4036
1738575539,2304.92,2299.05,4054
1738575598,2304.86,2301.00,4135
1738575658,2304.87,2303.60,4150
1738575719,2304.89,2313.05,4166
1738575779,2305.24,2312.10,4352
1738575839,2305.24,2312.10,4352
1738575896,2305.47,2320.00,4415
1738575959,2305.67,2312.00,4511
1738576017,2305.68,2312.00,4513
1738576079,2305.90,2320.95,4597
1738576139,2306.11,2323.00,4652
1738576199,2306.74,2324.00,4814
1738576258,2307.35,2330.05,4946
1738576319,2307.43,2329.15,4968
1738576379,2307.85,2324.05,5085
1738576439,2307.91,2325.05,5101
1738576499,2307.92,2325.10,5104
1738576559,2307.93,2328.70,5106
1738576619,2308.06,2329.75,5138
1738576678,2308.09,2329.95,5145
1738576739,2308.11,2320.55,5156
1738576798,2308.27,2324.50,5203
1738576859,2308.53,2324.95,5290
1738576919,2308.56,2322.35,5300
1738576979,2308.58,2322.05,5311
1738577039,2308.73,2327.45,5356
1738577099,2308.73,2327.45,5356
1738577158,2308.76,2328.90,5363
1738577218,2308.81,2326.00,5377
1738577279,2308.88,2330.00,5397
1738577338,2309.02,2330.00,5432
1738577398,2309.09,2329.90,5452
1738577459,2309.54,2319.80,5628
1738577519,2309.54,2325.00,5630
1738577579,2309.55,2323.80,5631
1738577639,2309.56,2325.95,5635
1738577699,2309.56,2321.10,5637
1738577758,2309.56,2321.10,5637
1738577817,2309.63,2323.90,5663
1738577879,2309.65,2323.45,5673
1738577939,2309.65,2323.45,5673
1738577998,2309.66,2319.45,5678
1738578059,2309.79,2315.00,5768
1738578117,2310.07,2322.05,5882
1738578177,2310.07,2324.20,5885
1738578237,2310.08,2324.25,5887
1738578298,2310.08,2324.25,5887
1738578358,2310.26,2328.95,5945
1738578419,2310.60,2328.95,6045
1738578479,2310.60,2328.95,6046
1738578539,2310.62,2329.90,6051
1738578599,2310.62,2324.00,6053
1738578659,2310.62,2325.00,6054
1738578718,2310.64,2329.50,6060
1738578778,2310.78,2330.95,6100
1738578838,2310.96,2332.60,6151
1738578899,2310.97,2333.95,6153
1738578958,2310.99,2333.95,6159
1738579018,2311.05,2333.95,6175
1738579079,2312.32,2340.25,6514
1738579139,2312.61,2331.70,6590
1738579198,2312.61,2331.70,6590
1738579259,2312.64,2331.70,6601
1738579319,2312.65,2329.95,6604
1738579377,2312.69,2330.00,6619
1738579439,2312.70,2331.70,6624
1738579499,2312.70,2331.70,6624
1738579558,2312.70,2330.10,6625
1738579618,2312.73,2333.95,6632
1738579679,2312.82,2337.20,6658
1738579736,2312.82,2335.80,6659
1738579799,2313.53,2329.20,6924
1738579851,2313.53,2326.05,6926
1738579919,2313.53,2326.05,6926
1738579978,2313.53,2331.90,6927
1738580039,2313.57,2332.90,6939
1738580097,2313.88,2335.95,7039
1738580157,2313.90,2333.95,7047
1738580218,2313.90,2333.95,7047
1738580277,2313.90,2339.95,7048
1738580335,2313.90,2339.95,7048
1738580399,2314.27,2340.25,7148
1738580459,2314.27,2337.20,7149
1738580519,2315.01,2351.45,7308
1738580579,2315.02,2355.00,7310
1738580639,2315.03,2355.05,7311
1738580698,2315.04,2359.95,7313
1738580759,2315.50,2358.60,7389
1738580819,2315.54,2365.75,7395
1738580879,2316.52,2351.05,7580
1738580939,2316.61,2345.05,7604
1738580999,2316.75,2340.95,7647
1738581059,2316.82,2340.80,7670
1738581118,2316.82,2340.80,7670
1738581173,2316.83,2355.90,7672
1738581239,2317.07,2353.95,7722
1738581299,2317.07,2353.95,7722
1738581357,2317.12,2352.10,7733
1738581419,2317.29,2352.50,7769
1738581479,2317.38,2347.95,7792
1738581539,2317.38,2347.95,7792
1738581599,2317.38,2337.85,7795
1738581656,2317.38,2337.85,7795
1738581719,2317.44,2333.95,7819
