t,ap,cp,v
1738573665,414.20,414.20,20665
1738573722,414.20,414.20,20665
1738573796,414.20,414.20,20665
1738573858,414.20,414.20,20665
1738573919,414.20,414.20,20665
1738574013,414.20,414.20,20665
1738574159,414.66,415.45,151591
1738574219,414.92,412.30,195094
1738574279,414.54,412.30,221911
1738574339,414.39,412.85,238530
1738574399,414.35,414.40,265293
1738574459,413.67,408.85,317068
1738574518,413.36,411.00,341111
1738574579,413.26,411.65,356192
1738574639,413.15,408.95,374754
1738574699,412.98,407.95,389048
1738574758,412.83,409.95,401480
1738574819,412.79,413.15,419281
1738574879,412.85,413.20,449812
1738574939,412.79,410.50,470297
1738574999,412.71,410.65,482922
1738575059,412.46,407.85,511979
1738575119,412.30,406.75,525952
1738575179,411.87,403.80,559633
1738575239,411.70,402.40,571009
1738575299,411.56,403.75,580704
1738575359,411.23,404.00,603792
1738575419,411.04,403.30,619997
1738575479,410.92,402.85,629141
1738575539,410.81,404.05,639222
1738575599,410.60,403.75,659544
1738575659,410.47,406.55,675746
1738575719,410.38,406.00,690315
1738575779,410.33,407.10,700799
1738575839,410.27,406.60,710138
1738575899,410.22,405.70,722754
1738575959,410.13,404.85,735540
1738576019,410.11,406.10,738857
1738576079,410.09,407.50,744357
1738576139,410.05,407.55,753489
1738576199,410.04,407.15,755585
1738576258,410.00,409.65,769682
1738576319,409.99,407.80,778987
1738576379,409.95,405.55,792560
1738576439,409.88,405.40,804283
1738576499,409.85,405.50,809153
1738576559,409.77,403.95,819854
1738576619,409.71,405.05,829436
1738576679,409.69,404.60,831763
1738576739,409.67,405.30,834840
1738576799,409.65,405.70,839017
1738576859,409.57,404.05,851805
1738576919,409.53,403.30,857606
1738576979,409.41,402.45,872416
1738577039,409.39,404.65,876409
1738577099,409.34,404.90,885107
1738577159,409.33,405.20,888622
1738577219,409.31,404.80,891753
1738577279,409.29,406.45,895116
1738577339,409.29,405.05,896026
1738577399,409.28,405.40,897551
1738577459,409.26,405.65,904596
1738577519,409.25,406.45,905873
1738577579,409.23,406.90,915467
1738577639,409.22,406.35,919384
1738577699,409.19,404.90,924235
1738577759,409.18,404.35,927174
1738577819,409.15,404.40,932616
1738577877,409.13,405.00,936349
1738577939,409.11,404.25,940006
1738577999,409.09,403.90,943914
1738578059,409.07,404.50,948107
1738578119,409.06,404.30,950496
1738578179,409.02,404.30,956327
1738578239,409.00,404.50,959986
1738578299,408.98,403.90,965519
1738578359,408.96,404.10,968000
1738578419,408.94,403.70,972035
1738578479,408.91,403.70,976718
1738578539,408.87,403.50,984962
1738578599,408.85,403.55,988386
1738578659,408.83,403.30,991672
1738578719,408.82,403.10,994116
1738578779,408.81,403.70,995784
1738578839,408.79,403.85,999635
1738578899,408.78,405.25,1002815
1738578959,408.78,405.45,1003736
1738579019,408.77,405.10,1005306
1738579079,408.76,404.90,1007520
1738579139,408.75,404.00,1010288
1738579197,408.74,404.20,1011437
1738579259,408.74,404.45,1012948
1738579319,408.73,403.70,1014907
1738579379,408.71,405.00,1018432
1738579439,408.70,405.70,1021185
1738579499,408.69,405.10,1024422
1738579559,408.69,406.60,1027726
