t,ap,cp,v
1738573634,238.00,238.00,5
1738573696,238.00,238.00,5
1738573740,238.00,238.00,5
1738574158,238.00,238.00,5
1738574215,238.00,238.00,5
1738574279,230.06,229.45,65
1738574334,230.06,229.45,65
1738574395,229.92,228.15,70
1738574457,228.49,227.40,183
1738574519,228.35,227.20,205
1738574578,228.35,227.20,205
1738574636,228.32,227.95,221
1738574696,228.22,226.70,247
1738574758,227.48,226.40,423
1738574819,227.49,228.50,442
1738574879,227.49,228.50,442
1738574938,227.55,229.20,459
1738574999,227.55,229.20,459
1738575058,227.55,229.20,459
1738575119,227.56,228.10,467
1738575176,227.60,227.55,867
1738575238,227.60,227.55,867
1738575296,227.55,227.05,1000
1738575359,227.55,227.05,1000
1738575419,227.55,227.05,1000
1738575478,227.32,226.20,1240
1738575531,227.32,226.20,1240
1738575585,227.29,226.75,1355
1738575655,227.27,227.15,1405
1738575700,227.27,226.65,1406
1738575778,227.27,226.65,1406
1738575839,227.27,226.70,1410
1738575899,227.27,226.70,1410
1738575958,227.26,226.45,1440
1738576005,227.26,226.45,1440
1738576078,227.25,226.45,1455
1738576139,227.25,226.45,1455
1738576191,227.25,226.45,1455
1738576257,227.25,226.45,1455
1738576316,227.25,226.45,1455
1738576363,227.25,226.45,1455
1738576437,227.25,226.45,1455
1738576495,227.25,226.45,1455
1738576559,227.25,226.45,1455
1738576613,227.25,226.45,1455
1738576679,227.25,226.65,1458
1738576731,227.23,226.65,1509
1738576797,227.20,226.65,1615
1738576858,227.20,226.65,1615
1738576886,227.21,227.55,1703
1738576979,227.21,227.55,1703
1738577047,227.21,227.55,1703
1738577156,227.21,227.55,1703
1738577217,227.21,227.95,1705
1738577278,227.21,227.95,1705
1738577336,227.21,227.95,1705
1738577399,227.21,227.95,1705
1738577452,227.21,227.95,1705
1738577477,227.21,227.95,1705
1738577578,227.21,228.85,1706
1738577630,227.22,228.80,1712
1738577693,227.22,228.80,1712
1738577727,227.22,228.80,1712
1738577817,227.22,228.80,1712
1738577872,227.22,228.80,1712
1738577939,227.22,228.80,1712
1738577997,227.22,228.80,1712
1738578057,227.22,228.80,1712
1738578119,227.22,229.15,1716
1738578178,227.22,229.15,1716
1738578237,227.22,229.65,1717
1738578282,227.25,229.25,1742
1738578353,227.25,229.25,1742
1738578414,227.25,229.25,1742
1738578479,227.26,230.00,1743
1738578539,227.26,229.90,1744
1738578591,227.26,229.90,1744
1738578659,227.26,229.90,1744
1738578711,227.27,230.70,1751
1738578771,227.27,230.35,1752
1738578821,227.30,229.80,1772
1738578882,227.30,229.80,1772
1738578921,227.30,229.80,1772
1738579018,227.30,229.80,1772
1738579078,227.30,229.80,1772
1738579125,227.37,227.55,1865
1738579186,227.37,227.55,1865
1738579251,227.37,227.95,1866
1738579291,227.37,227.95,1866
1738579361,227.37,227.95,1866
1738579436,227.37,227.95,1866
1738579488,227.37,227.95,1866
1738579559,227.41,227.95,2017
1738579560,227.41,227.95,2017
1738579631,227.41,227.95,2017
1738579722,227.41,227.95,2017
1738579787,227.41,227.95,2017
1738579858,227.41,227.95,2017
1738579919,227.41,227.95,2017
1738579978,227.58,227.95,2977
1738580039,227.58,227.95,2977
1738580099,227.58,228.45,2979
1738580159,227.58,228.45,2979
1738580219,227.58,228.45,2979
1738580271,227.58,228.45,2979
1738580336,227.58,228.45,2979
1738580367,227.58,228.45,2979
