t,ap,cp,v
1738573635,158.95,158.95,418
1738573740,158.95,158.95,418
1738574159,158.33,158.30,3095
1738574218,158.18,158.00,9823
1738574279,158.20,158.85,10561
1738574339,158.22,158.25,11078
1738574399,158.23,158.70,11378
1738574459,158.15,157.80,14664
1738574519,158.13,157.50,14954
1738574577,158.13,157.75,15234
1738574639,158.13,158.50,15462
1738574697,158.17,158.75,16591
1738574759,158.40,159.45,23420
1738574819,158.48,159.90,24682
1738574879,158.53,159.90,25432
1738574939,158.54,159.80,25725
1738574999,158.56,159.65,26160
1738575059,158.57,159.30,26505
1738575118,158.61,159.10,28687
1738575179,158.61,158.55,29174
1738575239,158.60,158.10,29463
1738575299,158.58,158.00,30226
1738575357,158.43,157.40,36011
1738575419,158.41,157.65,36696
1738575478,158.41,157.35,36764
1738575539,158.41,157.25,36854
1738575599,158.39,157.10,37181
1738575659,158.36,157.45,38053
1738575719,158.33,157.00,39250
1738575779,158.30,157.55,40308
1738575839,158.30,157.70,40413
1738575899,158.28,157.45,41208
1738575959,158.19,157.00,44537
1738576017,158.17,157.25,45407
1738576079,158.16,157.35,45876
1738576139,158.15,157.30,46052
1738576199,158.15,157.50,46072
1738576259,158.15,157.70,46214
1738576318,158.15,157.80,46584
1738576379,158.13,157.00,48100
1738576436,158.12,157.00,48225
1738576499,158.12,157.10,48250
1738576559,158.11,156.95,49022
1738576619,158.11,157.10,49101
1738576679,158.09,157.10,49742
1738576739,158.09,156.85,49768
1738576795,158.09,157.20,49769
1738576859,158.09,157.20,49770
1738576919,158.09,157.50,49969
1738576977,158.09,157.55,50374
1738577039,158.09,157.55,50374
1738577099,158.08,157.10,50801
1738577159,158.08,157.10,50801
1738577219,158.07,157.10,51058
1738577277,158.07,157.50,51225
1738577338,158.03,157.30,53709
1738577397,158.03,157.15,53724
1738577456,158.03,157.60,53779
1738577519,158.03,157.85,53834
1738577579,158.04,158.15,54599
1738577639,158.03,157.80,54950
1738577699,158.03,157.80,54950
1738577759,158.03,157.60,55391
