t,ap,cp,v
1738573634,427.90,427.90,2553
1738573736,427.90,427.90,2553
1738573740,427.90,427.90,2553
1738573873,427.90,427.90,2553
1738574076,427.90,427.90,2553
1738574159,423.49,420.25,11211
1738574219,422.63,418.45,14439
1738574279,422.11,419.80,17530
1738574339,421.07,418.00,23752
1738574399,420.70,418.30,27462
1738574459,420.29,417.00,32109
1738574519,419.93,416.35,35246
1738574579,419.56,416.40,39228
1738574639,419.40,415.75,41168
1738574699,419.19,415.20,43691
1738574759,418.97,417.00,46175
1738574819,418.87,418.55,51792
1738574879,418.88,418.35,52821
1738574939,418.78,417.15,55725
1738574999,418.72,416.40,57675
1738575059,418.48,414.20,61486
1738575119,418.38,415.10,63340
1738575179,418.10,414.35,68123
1738575239,417.64,411.30,75340
1738575299,417.35,411.65,79147
1738575359,417.17,411.05,81376
1738575419,416.44,409.40,91016
1738575479,416.03,409.70,96727
1738575539,415.89,409.05,98739
1738575599,415.43,406.20,104383
1738575659,415.24,407.95,107095
1738575719,414.74,407.55,114536
1738575779,414.59,409.55,117568
1738575839,414.35,408.85,122796
1738575899,414.06,409.00,130659
1738575959,413.51,408.00,144506
1738576019,413.20,409.20,154398
1738576079,413.18,409.25,155259
1738576139,413.14,409.45,156643
1738576199,412.98,407.90,161699
1738576259,412.87,410.20,167085
1738576319,412.83,409.55,168865
1738576379,412.78,409.55,172915
1738576439,412.76,409.70,173924
1738576499,412.73,409.95,175516
1738576559,412.57,409.50,186454
1738576619,412.56,410.95,187479
1738576679,412.52,410.75,192970
1738576739,412.39,409.90,201358
1738576799,412.38,409.95,202162
1738576859,412.37,410.25,203708
1738576919,412.35,410.65,205949
1738576979,412.34,409.45,207195
1738577039,412.33,409.80,207866
1738577099,412.30,409.25,209648
1738577159,412.29,409.25,210554
1738577219,412.28,410.20,211274
1738577279,412.27,410.40,212176
1738577339,412.27,410.75,212924
1738577399,412.25,409.85,214649
1738577459,412.25,410.25,215483
1738577519,412.24,411.30,217221
1738577579,412.24,411.70,218936
1738577639,412.23,412.00,219836
1738577699,412.22,410.90,222650
1738577759,412.14,409.00,229505
1738577819,412.14,409.00,230086
1738577879,412.13,409.70,231041
1738577939,412.12,410.15,231342
1738577999,412.09,409.65,235054
1738578059,412.08,409.90,235849
1738578119,412.08,411.00,236239
1738578179,412.05,411.40,240864
1738578239,412.05,411.80,243650
1738578299,412.05,411.40,244383
1738578359,412.04,411.45,245117
1738578419,412.04,411.50,247978
1738578479,412.04,412.00,248138
1738578539,412.04,411.20,249315
1738578599,412.01,410.35,255207
1738578659,412.00,411.70,255990
1738578719,412.01,412.95,260892
1738578779,412.01,411.35,261803
1738578839,412.01,411.90,262368
1738578899,412.01,412.35,262492
1738578959,412.01,412.65,264285
1738579019,412.01,412.50,264671
1738579079,412.01,412.05,265596
1738579139,412.01,411.75,265699
1738579199,412.01,411.20,266272
1738579259,412.01,410.75,267298
1738579319,412.01,412.00,267417
1738579379,412.01,412.70,267645
1738579439,412.01,412.00,271882
1738579499,412.01,412.25,273077
1738579559,412.01,412.30,275487
1738579618,412.02,413.00,277780
1738579679,412.02,412.45,278945
1738579739,412.02,412.30,279089
1738579799,412.02,411.80,280629
1738579859,412.02,411.95,281399
1738579919,412.02,411.30,282080
1738579979,412.01,410.00,283998
1738580039,412.00,409.60,284558
1738580099,411.99,409.60,285745
1738580159,411.99,410.30,286405
1738580219,411.99,410.40,286470
1738580279,411.98,410.65,287352
1738580339,411.97,413.35,297246
1738580399,411.98,413.10,299167
1738580459,411.98,413.15,299619
