t,ap,cp,v
1738573635,206.60,206.60,442
1738573682,206.60,206.60,442
1738573740,206.60,206.60,442
1738574159,204.49,204.15,1798
1738574219,204.55,203.60,2943
1738574279,204.53,203.50,3052
1738574338,204.52,203.85,3068
1738574399,204.50,203.65,3190
1738574459,204.49,203.80,3200
1738574519,204.35,203.40,3701
1738574579,204.23,204.05,4495
1738574639,204.28,204.85,5411
1738574697,204.56,205.60,7490
1738574759,204.82,207.50,8676
1738574819,205.56,208.55,10853
1738574879,206.08,208.20,13155
1738574939,206.29,206.55,15801
1738574999,206.33,206.35,16998
1738575059,206.33,206.40,20455
1738575119,206.33,206.10,21002
1738575179,206.33,206.30,21207
1738575239,206.31,205.75,22253
1738575296,206.30,206.35,23014
1738575359,206.30,206.10,23211
1738575419,206.30,206.20,23664
1738575477,206.30,206.20,23664
1738575539,206.29,205.70,23767
1738575599,206.29,205.55,23889
1738575656,206.29,205.40,23990
1738575719,206.28,206.05,24122
1738575779,206.28,206.05,24275
1738575838,206.28,205.90,24482
1738575899,206.27,206.00,25835
1738575959,206.27,205.55,25854
1738576017,206.26,205.70,26384
1738576079,206.26,205.55,26434
1738576139,206.25,205.60,26803
1738576199,206.25,205.45,26834
1738576258,206.23,205.65,27676
1738576319,206.22,205.05,27824
1738576378,206.22,205.30,27877
1738576438,206.21,204.90,28090
1738576499,206.21,205.00,28092
1738576559,206.20,205.15,28210
1738576619,206.20,205.20,28225
1738576679,206.20,205.15,28264
1738576739,206.20,204.65,28275
1738576799,206.20,205.25,28276
1738576858,206.20,205.55,28287
1738576919,206.20,206.25,28779
1738576978,206.19,205.55,29092
1738577039,206.19,205.25,29095
1738577098,206.19,205.55,29114
1738577158,206.19,205.35,29133
1738577216,206.19,205.35,29164
1738577279,206.19,205.75,29165
1738577338,206.17,205.25,29665
1738577399,206.17,205.25,29665
1738577459,206.17,205.25,29705
1738577519,206.17,205.25,29705
1738577579,206.17,205.80,29855
1738577639,206.17,205.65,30071
1738577698,206.17,205.65,30071
1738577759,206.17,205.65,30071
1738577817,206.17,205.70,30096
1738577879,206.17,205.70,30114
1738577937,206.17,205.65,30115
1738577996,206.17,205.65,30115
1738578059,206.16,205.25,30315
1738578119,206.16,205.30,30320
1738578179,206.16,205.30,30327
1738578239,206.16,205.30,30327
1738578299,206.16,205.75,30328
1738578358,206.16,205.60,30333
1738578415,206.16,205.20,30390
1738578478,206.16,205.20,30390
1738578539,206.12,204.95,31506
1738578597,206.10,205.45,32081
1738578658,206.10,205.50,32281
1738578719,206.10,205.50,32281
1738578779,206.10,205.50,32281
1738578839,206.10,205.50,32281
1738578897,206.10,205.50,32281
1738578957,206.10,205.50,32281
1738579018,206.10,205.50,32281
1738579079,206.10,205.55,32283
1738579138,206.10,205.55,32283
1738579198,206.10,205.55,32283
1738579258,206.10,205.10,32304
1738579319,206.10,205.10,32304
1738579377,206.10,205.10,32305
1738579436,206.09,205.60,32317
1738579496,206.06,205.20,33477
1738579558,206.06,205.50,34005
1738579618,206.06,205.50,34005
1738579679,206.06,205.50,34005
1738579734,206.06,205.50,34005
1738579798,206.06,205.50,34005
1738579859,206.06,205.50,34006
1738579913,206.06,205.20,34027
1738579976,206.06,205.20,34027
1738580036,206.06,205.20,34027
1738580099,206.05,205.15,34147
1738580159,206.02,205.50,36440
1738580219,206.02,205.40,36478
1738580277,206.02,205.40,36478
1738580336,206.02,205.30,36591
1738580399,206.02,205.30,36591
1738580458,206.02,205.30,36591
1738580519,206.02,205.30,36591
1738580579,206.02,205.30,36591
1738580639,206.02,205.30,36591
1738580697,206.02,205.30,36591
1738580757,206.02,205.30,36591
1738580818,206.02,205.60,36592
1738580875,206.02,205.60,36592
1738580938,206.02,205.55,36611
1738580999,206.02,206.05,37258
1738581058,206.01,205.90,37406
1738581118,206.01,205.70,37407
1738581179,206.02,206.55,37506
1738581239,206.02,206.55,37506
1738581299,206.02,206.30,37599
1738581358,206.09,206.50,41644
1738581419,206.09,206.70,41722
1738581477,206.09,206.70,41722
1738581539,206.10,207.20,42151
1738581599,206.10,207.20,42151
1738581655,206.11,207.15,42757
1738581716,206.12,207.00,42841
1738581779,206.12,206.70,42894
1738581838,206.12,206.50,42905
1738581899,206.12,206.50,42925
1738581957,206.12,206.60,43049
1738582018,206.12,206.60,43049
1738582077,206.12,206.65,43051
1738582139,206.12,206.65,43051
1738582198,206.12,206.40,43104
1738582258,206.12,206.25,43106
1738582318,206.12,206.05,43124
1738582378,206.12,206.05,43124
1738582439,206.12,206.25,43146
1738582497,206.12,206.25,43146
1738582559,206.12,206.25,43146
1738582614,206.12,206.25,43146
1738582679,206.12,205.90,43276
1738582739,206.11,205.65,43978
1738582799,206.11,205.65,43978
1738582858,206.11,205.65,43978
1738582914,206.11,205.65,43978
