t,ap,cp,v
1738573635,140.45,140.45,381
1738573682,140.45,140.45,381
1738573741,140.45,140.45,381
1738574159,140.01,139.85,3284
1738574219,139.96,139.40,6211
1738574278,139.93,140.00,8202
1738574339,139.94,140.00,9459
1738574399,139.98,140.35,10723
1738574459,140.00,140.20,12858
1738574519,139.99,139.75,13425
1738574579,139.99,139.70,13755
1738574639,139.99,139.70,13804
1738574699,139.99,139.75,13824
1738574759,139.97,140.45,17501
1738574819,139.99,140.45,17964
1738574879,140.02,140.45,19042
1738574936,140.06,140.40,21242
1738574991,140.06,140.40,21572
1738575059,140.06,139.85,23425
1738575119,140.02,139.60,26761
1738575177,139.96,139.25,29264
1738575239,139.90,138.60,30856
1738575299,139.87,138.80,31700
1738575359,139.54,138.70,43922
1738575419,139.53,138.55,44657
1738575479,139.52,138.30,44937
1738575539,139.36,137.70,49608
1738575599,139.27,137.80,52789
1738575659,139.24,137.90,53861
1738575718,139.21,138.10,54939
1738575779,139.18,138.00,56308
1738575839,139.18,138.05,56508
1738575899,139.16,138.05,57048
1738575959,139.12,137.65,58853
1738576016,139.10,137.85,59543
1738576079,139.00,137.95,65081
1738576138,138.98,138.05,66095
1738576199,138.96,137.85,67126
1738576259,138.96,138.00,67436
1738576319,138.95,138.10,68370
1738576379,138.94,138.05,69049
1738576439,138.93,138.15,69587
1738576499,138.93,138.15,69989
1738576559,138.92,138.00,71101
1738576619,138.92,138.00,71101
1738576679,138.91,137.95,71309
1738576739,138.89,138.05,72943
1738576797,138.89,138.05,72943
1738576858,138.89,138.25,72955
1738576919,138.89,138.35,73021
1738576975,138.89,138.35,73022
1738577039,138.87,138.40,75272
1738577099,138.87,138.30,76113
1738577159,138.87,138.30,76342
1738577215,138.87,138.30,76342
1738577275,138.86,138.55,76752
1738577337,138.86,138.55,76790
1738577399,138.86,138.60,78232
1738577458,138.85,138.60,79340
1738577519,138.85,138.75,79790
1738577579,138.85,138.60,80590
1738577639,138.83,138.60,84804
1738577699,138.83,138.30,85814
1738577759,138.83,138.30,85914
1738577819,138.83,138.40,85947
1738577878,138.83,138.35,85966
1738577939,138.83,138.35,85966
1738577999,138.82,138.35,86301
1738578059,138.82,138.30,86655
1738578119,138.82,138.40,86666
1738578179,138.82,138.45,86783
1738578239,138.82,138.45,86783
1738578296,138.82,138.50,86793
1738578357,138.82,138.25,86845
1738578417,138.82,138.35,87095
1738578479,138.82,138.35,87310
1738578538,138.81,138.15,88229
1738578599,138.79,138.00,90078
1738578657,138.79,138.15,90584
1738578719,138.79,138.10,90644
1738578779,138.75,137.85,95792
1738578839,138.73,137.85,97521
1738578896,138.73,138.00,97526
1738578958,138.73,138.00,97646
1738579019,138.72,138.00,98146
1738579079,138.72,137.85,98263
1738579139,138.72,137.90,98307
1738579196,138.72,137.95,98873
1738579258,138.72,137.90,98923
1738579318,138.71,138.00,99501
1738579379,138.71,138.25,99543
1738579439,138.71,138.50,99893
1738579498,138.71,138.50,100063
1738579559,138.71,138.35,100108
1738579619,138.71,138.35,100108
1738579679,138.70,138.40,102223
1738579739,138.70,138.40,102223
1738579799,138.70,138.40,102224
1738579859,138.69,138.00,103987
1738579919,138.69,138.10,104157
1738579979,138.69,138.30,104178
1738580039,138.69,138.30,104973
1738580099,138.68,138.25,105545
1738580159,138.68,138.20,105675
1738580219,138.68,138.25,105782
1738580279,138.68,138.25,105782
1738580339,138.68,138.35,105962
1738580399,138.68,138.25,106890
1738580455,138.68,138.35,107300
1738580519,138.68,138.35,107300
1738580578,138.68,138.50,107311
1738580639,138.67,138.25,109473
1738580699,138.67,138.50,110173
1738580758,138.67,138.50,110173
1738580819,138.67,138.45,110175
1738580877,138.67,138.45,110177
1738580939,138.67,138.20,110421
1738580999,138.67,138.30,110934
1738581059,138.67,138.45,110952
1738581119,138.65,138.10,115952
1738581179,138.65,138.30,115960
1738581238,138.65,138.20,115990
1738581299,138.64,138.10,116858
1738581357,138.64,138.40,116885
1738581418,138.64,138.55,117261
1738581479,138.64,138.55,117406
1738581539,138.64,138.60,117456
1738581599,138.64,138.30,118045
1738581659,138.64,138.45,118070
1738581719,138.64,138.50,118378
1738581779,138.64,138.40,118543
1738581839,138.64,138.40,118564
1738581899,138.64,138.40,118594
1738581959,138.64,138.40,118594
1738582019,138.61,138.20,125955
1738582079,138.61,138.35,126105
1738582139,138.60,138.20,127105
1738582197,138.60,138.20,127147
1738582259,138.60,138.20,127157
1738582319,138.60,138.20,127157
1738582379,138.60,138.00,127550
1738582439,138.59,137.90,129036
1738582499,138.59,137.85,129056
1738582559,138.59,137.85,129381
1738582619,138.59,137.75,129567
1738582679,138.59,137.90,129667
1738582739,138.59,137.75,129696
1738582797,138.57,137.80,132847
1738582859,138.55,137.50,135309
1738582918,138.55,137.50,135339
1738582978,138.55,137.65,135640
