t,ap,cp,v
1738573638,141.40,141.40,3677
1738573733,141.40,141.40,3677
1738573740,141.40,141.40,3677
1738574159,138.75,137.85,24945
1738574219,138.69,137.25,26318
1738574279,138.46,136.00,29730
1738574339,137.93,135.35,35977
1738574399,137.52,134.90,43070
1738574459,137.36,135.20,46010
1738574518,137.11,134.75,50906
1738574579,137.02,134.90,53154
1738574639,136.90,134.95,56157
1738574699,136.90,135.20,56275
1738574758,136.78,135.10,59554
1738574819,136.73,135.50,61446
1738574879,136.67,135.95,65465
1738574939,136.57,136.30,73886
1738574999,136.52,136.25,84119
1738575059,136.48,135.10,89517
1738575119,136.46,135.15,90892
1738575179,136.31,134.15,99984
1738575239,136.26,134.10,102297
1738575299,136.10,133.85,109997
1738575359,135.92,133.80,119376
1738575419,135.83,133.80,124071
1738575479,135.77,133.30,127350
1738575539,135.74,133.30,128903
1738575599,135.72,133.10,129858
1738575659,135.72,133.10,130087
1738575719,135.37,132.20,148540
1738575779,135.26,132.30,153870
1738575839,135.22,132.70,156134
1738575899,135.21,132.90,157229
1738575959,135.19,132.70,158149
1738576019,135.16,133.10,160489
1738576079,135.14,133.35,162580
1738576139,135.11,132.75,165054
1738576199,135.08,132.55,166869
1738576258,135.07,132.75,167759
1738576319,135.03,132.30,170193
1738576379,134.97,132.40,173882
1738576439,134.96,132.55,174755
1738576499,134.93,132.20,177099
1738576559,134.82,132.05,183565
1738576619,134.80,132.20,184968
1738576679,134.79,132.10,185820
1738576739,134.76,132.05,187429
1738576799,134.76,132.10,187555
1738576859,134.70,131.80,191937
1738576919,134.70,132.50,192013
1738576979,134.66,132.45,195003
1738577039,134.64,132.80,196909
1738577099,134.64,132.45,197323
1738577159,134.63,132.45,197998
1738577219,134.62,132.95,199107
1738577279,134.59,132.95,202960
1738577339,134.58,132.85,203603
1738577399,134.57,132.95,204860
1738577459,134.56,133.00,206478
1738577519,134.51,133.00,212190
1738577579,134.45,133.25,226117
1738577639,134.37,133.00,239070
1738577699,134.36,132.85,240409
1738577759,134.35,132.65,241459
1738577819,134.34,133.40,243204
1738577877,134.34,133.75,244599
1738577939,134.31,132.70,249704
1738577999,134.31,132.90,250267
1738578059,134.31,133.00,250939
1738578119,134.31,133.05,251104
1738578179,134.30,132.95,251425
1738578239,134.29,132.90,253675
1738578299,134.29,132.85,254955
1738578359,134.29,132.85,254958
1738578419,134.27,132.30,257500
1738578479,134.27,132.50,257763
1738578539,134.26,132.15,258776
1738578599,134.25,132.45,259706
1738578659,134.25,132.65,259982
1738578719,134.24,132.70,261033
1738578779,134.24,132.50,261686
1738578839,134.12,132.30,279262
1738578899,134.11,132.60,279583
1738578959,134.11,132.95,280212
1738579019,134.09,132.90,286758
1738579079,134.09,132.70,286777
1738579139,134.09,132.95,286972
1738579196,134.08,133.20,289885
1738579259,134.07,133.00,291944
1738579319,134.07,133.20,291991
1738579379,134.06,132.75,294651
1738579439,134.04,132.45,298558
1738579499,134.03,132.60,299180
1738579559,134.03,132.50,300407
1738579619,134.03,132.50,300805
1738579679,134.02,132.55,301286
1738579739,133.96,132.50,312552
1738579799,133.96,132.55,312700
1738579859,133.95,132.70,314097
1738579919,133.94,132.40,316403
1738579979,133.93,132.00,318189
1738580039,133.91,132.00,322539
1738580099,133.84,131.45,332787
1738580159,133.80,131.40,337634
1738580219,133.75,131.25,345131
1738580279,133.74,131.30,346652
1738580339,133.62,131.00,361965
1738580399,133.59,130.75,365390
1738580459,133.58,131.20,367370
1738580519,133.55,131.20,371363
1738580579,133.52,131.65,377108
1738580639,133.52,131.60,377893
1738580699,133.51,131.20,379539
1738580759,133.50,131.05,381053
1738580819,133.47,131.40,385467
1738580879,133.44,131.35,391944
1738580938,133.43,130.80,393927
1738580999,133.39,130.50,398974
1738581059,133.37,130.45,401235
1738581119,133.36,130.60,402355
1738581179,133.34,130.45,406061
1738581239,133.34,130.20,406245
1738581299,133.32,130.55,408229
1738581359,133.31,130.70,410592
1738581419,133.29,130.90,413042
1738581479,133.29,130.80,413584
1738581539,133.28,130.90,414786
1738581599,133.21,130.95,430085
1738581657,131.63,131.10,5280603
1738581719,131.63,131.55,5294755
1738581779,131.63,132.10,5296656
1738581839,131.63,131.35,5298754
1738581899,131.63,131.20,5299286
1738581959,131.63,131.35,5302674
1738582019,131.63,131.10,5304610
1738582079,131.63,131.25,5312365
1738582139,131.63,131.15,5313141
1738582199,131.63,131.30,5316009
1738582259,131.63,131.50,5316271
1738582319,131.63,131.45,5317351
1738582379,131.63,131.30,5318015
1738582439,131.63,131.10,5318407
1738582499,131.63,131.15,5318877
1738582559,131.63,131.30,5319107
1738582619,131.63,130.75,5320209
1738582679,131.63,130.75,5323110
1738582739,131.63,130.50,5329020
1738582799,131.63,130.55,5329928
1738582859,131.63,130.65,5331210
1738582919,131.62,130.40,5339962
1738582979,131.62,130.15,5342297
1738583039,131.62,130.25,5345955
1738583099,131.62,130.40,5347641
1738583159,131.62,130.35,5349985
1738583219,131.62,130.60,5351227
1738583279,131.62,130.70,5351538
1738583339,131.62,130.70,5352031
1738583399,131.62,130.75,5352217
1738583459,131.62,130.70,5352472
1738583519,131.61,130.10,5377787
1738583579,131.61,130.25,5393842
1738583639,131.61,130.30,5395981
1738583699,131.61,130.70,5403795
1738583759,131.61,130.50,5405775
