t,ap,cp,v
1738573634,509.95,509.95,2548
1738573740,509.95,509.95,2548
1738574159,508.06,511.35,12570
1738574219,508.77,509.85,17764
1738574279,508.88,510.05,19826
1738574339,508.92,510.15,20471
1738574399,509.06,510.80,23262
1738574459,509.18,509.00,27944
1738574519,509.17,510.00,32217
1738574578,509.21,511.05,32940
1738574639,509.22,509.50,33415
1738574699,509.22,508.85,34143
1738574759,509.14,511.50,39137
1738574819,509.50,513.80,43028
1738574879,509.87,514.75,46109
1738574939,510.08,511.60,49212
1738574999,510.10,510.90,50246
1738575059,510.10,509.65,51058
1738575119,510.10,510.40,52011
1738575179,510.07,508.75,53219
1738575239,510.00,508.15,55619
1738575299,509.93,508.55,58228
1738575359,509.88,507.10,59185
1738575419,509.86,505.75,59569
1738575479,509.76,505.40,61160
1738575539,509.63,504.85,62797
1738575599,509.46,504.55,65314
1738575659,509.31,506.15,67522
1738575719,509.29,504.60,67938
1738575779,509.26,505.45,68400
1738575839,509.22,505.70,69095
1738575899,509.20,505.05,69465
1738575959,509.17,504.50,69870
1738576019,509.14,505.30,70397
1738576079,509.05,505.70,71900
1738576139,509.04,505.30,72202
1738576199,509.02,504.55,72559
1738576259,508.97,505.85,73700
1738576319,508.97,505.80,73810
1738576379,508.97,505.35,73930
1738576439,508.95,506.00,74253
1738576499,508.94,505.35,74524
1738576559,508.93,505.15,74725
1738576619,508.92,505.60,74936
1738576678,508.81,504.90,77181
1738576739,508.80,504.90,77345
1738576799,508.80,505.05,77372
1738576859,508.76,506.15,78429
1738576919,508.74,507.80,79279
1738576978,508.74,506.45,79462
1738577039,508.73,506.80,79806
1738577099,508.72,507.00,79988
1738577159,508.71,507.05,80327
1738577219,508.69,507.15,81253
1738577279,508.69,506.85,81396
1738577339,508.69,507.40,81597
1738577399,508.68,507.20,81994
1738577459,508.67,508.60,82888
1738577519,508.67,508.35,83660
1738577579,508.67,507.85,84551
1738577639,508.65,506.20,85567
1738577699,508.30,504.10,92938
1738577759,508.29,504.10,93260
1738577819,508.18,503.70,95675
1738577879,508.16,503.65,95928
1738577939,508.05,503.20,98114
1738577999,508.04,503.10,98393
1738578059,507.90,502.70,100965
1738578119,507.89,503.30,101267
