t,ap,cp,v
1738573635,26852.10,26852.10,1
1738573741,26852.10,26852.10,1
1738574159,27144.96,27247.65,27
1738574219,27159.26,27211.85,33
1738574279,27168.86,27127.60,51
1738574339,27168.51,27155.15,53
1738574399,27168.51,27155.15,53
1738574459,27168.51,27155.15,53
1738574518,27168.51,27155.15,53
1738574579,27168.51,27155.15,53
1738574639,27170.85,27295.00,54
1738574697,27170.85,27295.00,54
1738574759,27170.85,27295.00,54
1738574819,27189.26,27393.00,59
1738574879,27192.65,27393.00,60
1738574939,27195.94,27393.00,61
1738574998,27195.94,27393.00,61
1738575059,27195.94,27393.00,61
1738575118,27228.87,27454.95,70
1738575179,27232.05,27455.00,71
1738575239,27245.01,27431.50,76
1738575298,27247.73,27455.00,77
1738575359,27247.73,27455.00,77
1738575419,27277.89,27378.30,98
1738575478,27283.24,27388.00,103
1738575538,27283.24,27388.00,103
1738575599,27283.24,27388.00,103
1738575659,27283.24,27388.00,103
1738575719,27283.24,27388.00,103
1738575779,27281.49,27223.10,107
1738575839,27281.49,27223.10,107
1738575899,27281.49,27223.10,107
1738575959,27281.49,27223.10,107
1738576017,27281.49,27223.10,107
1738576079,27281.49,27223.10,107
1738576139,27281.49,27223.10,107
1738576199,27281.49,27223.10,107
1738576259,27281.49,27223.10,107
1738576319,27281.49,27223.10,107
1738576379,27281.49,27223.10,107
1738576438,27281.49,27223.10,107
1738576498,27281.49,27223.10,107
1738576559,27281.49,27223.10,107
1738576618,27281.49,27223.10,107
1738576679,27281.49,27223.10,107
1738576739,27280.41,27265.30,116
1738576799,27280.41,27265.30,116
1738576858,27280.41,27265.30,116
1738576916,27280.41,27265.30,116
1738576978,27280.41,27265.30,116
1738577036,27280.41,27265.30,116
1738577099,27280.41,27265.30,116
1738577159,27280.41,27265.30,116
1738577219,27280.41,27265.30,116
1738577279,27280.41,27265.30,116
1738577338,27280.41,27265.30,116
1738577398,27280.41,27265.30,116
1738577459,27280.41,27265.30,116
1738577518,27280.41,27265.30,116
1738577572,27280.41,27265.30,116
1738577639,27280.41,27265.30,116
1738577699,27280.41,27265.30,116
1738577759,27280.41,27265.30,116
1738577819,27288.51,27377.80,128
1738577879,27299.46,27399.05,142
1738577939,27299.46,27399.05,142
1738577999,27299.46,27399.05,142
1738578059,27299.46,27399.05,142
1738578119,27314.16,27439.60,162
1738578179,27322.55,27446.10,173
1738578239,27325.70,27362.70,185
1738578298,27325.70,27362.70,185
1738578357,27325.70,27362.70,185
1738578419,27325.70,27362.70,185
1738578479,27325.70,27362.70,185
1738578539,27325.70,27362.70,185
1738578599,27325.70,27362.70,185
1738578659,27325.70,27362.70,185
1738578719,27325.70,27362.70,185
1738578779,27325.70,27362.70,185
1738578839,27325.70,27362.70,185
1738578899,27325.70,27362.70,185
1738578959,27325.70,27362.70,185
1738579019,27325.70,27362.70,185
1738579078,27317.31,27223.00,201
1738579139,27317.31,27223.00,201
1738579198,27317.31,27223.00,201
1738579258,27317.31,27223.00,201
1738579319,27317.31,27223.00,201
1738579378,27317.31,27223.00,201
1738579437,27317.31,27223.00,201
1738579496,27317.31,27223.00,201
1738579559,27317.31,27223.00,201
1738579619,27317.31,27223.00,201
1738579677,27316.58,27169.65,202
1738579739,27316.58,27169.65,202
1738579799,27313.87,27184.20,206
1738579859,27313.87,27184.20,206
1738579919,27311.75,27232.70,211
1738579979,27309.23,27219.90,216
1738580039,27309.23,27219.90,216
1738580099,27309.23,27219.90,216
1738580159,27309.23,27219.90,216
1738580219,27309.23,27219.90,216
1738580279,27309.23,27219.90,216
1738580339,27309.23,27219.90,216
1738580399,27309.23,27219.90,216
1738580459,27307.11,27214.65,221
1738580519,27307.11,27214.65,221
1738580579,27307.11,27214.65,221
1738580639,27306.33,27133.75,222
1738580699,27306.33,27133.75,222
1738580759,27306.33,27133.75,222
1738580819,27306.33,27133.75,222
1738580879,27306.33,27133.75,222
1738580939,27306.33,27133.75,222
1738580999,27306.33,27133.75,222
1738581059,27306.33,27133.75,222
1738581119,27306.33,27133.75,222
1738581179,27306.33,27133.75,222
1738581239,27306.33,27133.75,222
1738581299,27306.33,27133.75,222
1738581359,27306.33,27133.75,222
1738581419,27306.33,27133.75,222
1738581479,27306.33,27133.75,222
1738581539,27306.33,27133.75,222
1738581599,27306.33,27133.75,222
1738581659,27306.33,27133.75,222
1738581719,27306.33,27133.75,222
1738581779,27306.33,27133.75,222
1738581839,27306.33,27133.75,222
1738581899,27306.33,27133.75,222
1738581959,27306.33,27133.75,222
1738582019,27305.91,27212.90,223
1738582079,27305.91,27212.90,223
