t,ap,cp,v
1738573635,37.19,37.19,1106
1738573682,37.19,37.19,1106
1738573740,37.19,37.19,1106
1738574159,37.00,36.88,16360
1738574218,36.99,36.89,18408
1738574279,36.98,36.91,19109
1738574339,36.98,36.96,19375
1738574399,36.98,36.94,19475
1738574459,36.98,36.93,19752
1738574517,36.98,36.88,20962
1738574579,36.97,36.89,21962
1738574639,36.97,36.92,22092
1738574699,36.98,37.02,24647
1738574758,36.98,37.13,26261
1738574819,37.05,37.32,33555
1738574879,37.06,37.36,34640
1738574939,37.06,37.26,35343
1738574999,37.06,37.26,35455
1738575059,37.06,37.08,36483
1738575119,37.06,37.16,36758
1738575179,37.07,37.05,38643
1738575237,37.07,37.02,39433
1738575299,37.06,37.03,39738
1738575359,37.06,37.01,41170
1738575419,37.06,37.00,41803
1738575478,37.06,37.01,41804
1738575539,37.04,36.88,46054
1738575599,37.04,36.84,47113
1738575659,37.03,36.84,48309
1738575719,37.03,36.87,48647
1738575779,37.03,36.86,49244
1738575839,37.03,36.93,49303
1738575899,37.02,36.89,51583
1738575958,37.02,36.85,53713
1738576019,37.01,36.85,54135
1738576079,37.01,36.82,55863
1738576139,37.01,36.87,56019
1738576199,37.00,36.84,57802
1738576257,37.00,36.91,58897
1738576319,37.00,36.90,59379
1738576379,36.99,36.88,62774
1738576439,36.99,36.88,63300
1738576499,36.99,36.91,63317
1738576559,36.99,36.81,64537
1738576619,36.98,36.78,66246
1738576679,36.98,36.75,66924
1738576739,36.98,36.74,67241
1738576799,36.98,36.75,67481
1738576859,36.96,36.74,72739
1738576917,36.96,36.74,73459
1738576979,36.96,36.68,73953
1738577039,36.96,36.67,74573
1738577099,36.96,36.67,74573
1738577159,36.96,36.72,74869
1738577219,36.96,36.72,74869
1738577279,36.96,36.80,74938
1738577338,36.95,36.78,76547
1738577399,36.95,36.80,76595
1738577459,36.95,36.81,76826
1738577519,36.95,36.81,76826
1738577577,36.95,36.87,77146
1738577639,36.95,36.87,77146
1738577698,36.95,36.86,77546
1738577758,36.95,36.79,80194
1738577818,36.95,36.79,80194
1738577876,36.95,36.79,80295
1738577939,36.95,36.77,80407
1738577998,36.95,36.77,80712
1738578059,36.95,36.77,80712
1738578119,36.95,36.82,80718
1738578178,36.95,36.82,80718
1738578239,36.95,36.89,80752
1738578299,36.95,36.86,80757
1738578359,36.95,36.84,80767
1738578417,36.95,36.84,80796
1738578479,36.94,36.85,81265
1738578539,36.94,36.77,81400
1738578599,36.94,36.71,82070
1738578658,36.94,36.71,82090
1738578719,36.94,36.76,82703
1738578779,36.94,36.74,82705
1738578839,36.94,36.76,82750
1738578897,36.94,36.72,83417
1738578959,36.94,36.72,83417
1738579017,36.94,36.74,83427
1738579079,36.94,36.74,83427
1738579139,36.94,36.72,84595
1738579196,36.93,36.72,86727
1738579257,36.93,36.71,86827
1738579319,36.93,36.71,86830
1738579379,36.93,36.75,87230
1738579439,36.93,36.77,87330
1738579498,36.93,36.80,87334
1738579559,36.92,36.81,90692
1738579619,36.92,36.81,90692
1738579676,36.92,36.82,92045
1738579734,36.92,36.82,92045
1738579795,36.92,36.81,93242
1738579854,36.92,36.81,93242
1738579916,36.92,36.80,93358
1738579978,36.92,36.80,94127
1738580034,36.92,36.81,94317
1738580099,36.92,36.81,94317
1738580159,36.92,36.79,94694
1738580219,36.92,36.80,94994
1738580277,36.92,36.80,94994
1738580337,36.92,36.81,95237
1738580399,36.92,36.81,95237
1738580455,36.92,36.83,95837
1738580517,36.92,36.83,95837
1738580578,36.92,36.83,95837
1738580639,36.92,36.83,95837
1738580696,36.92,36.83,95939
1738580757,36.92,36.80,96039
1738580819,36.92,36.80,96039
1738580879,36.92,36.76,96485
1738580937,36.92,36.75,97007
1738580992,36.92,36.72,97008
1738581057,36.92,36.72,97008
1738581117,36.92,36.72,97008
1738581179,36.92,36.78,97009
1738581239,36.92,36.78,97009
1738581297,36.92,36.78,97009
1738581359,36.92,36.78,97009
1738581418,36.92,36.78,97009
1738581477,36.92,36.83,97551
1738581539,36.92,36.83,97551
1738581599,36.92,36.85,97555
1738581655,36.92,36.83,97575
1738581719,36.92,36.83,97575
1738581779,36.92,36.83,97575
1738581836,36.91,36.79,97885
1738581899,36.91,36.79,97998
1738581959,36.91,36.77,97999
1738582019,36.91,36.76,98134
1738582075,36.91,36.76,98134
1738582139,36.91,36.75,98221
1738582198,36.91,36.65,98913
1738582258,36.91,36.64,98934
1738582318,36.91,36.59,100890
1738582379,36.90,36.65,102890
1738582438,36.90,36.65,102890
1738582499,36.90,36.61,104290
1738582558,36.90,36.60,104340
1738582617,36.90,36.60,104340
1738582678,36.90,36.60,104340
1738582737,36.89,36.53,105230
1738582799,36.89,36.50,105391
1738582858,36.89,36.46,105461
1738582919,36.89,36.51,105661
1738582979,36.89,36.47,105861
1738583039,36.89,36.44,106067
1738583098,36.89,36.43,106505
1738583159,36.89,36.43,106505
1738583217,36.88,36.41,107240
1738583279,36.88,36.41,107240
