t,ap,cp,v
1738573635,529.70,529.70,442
1738573682,529.70,529.70,442
1738573740,529.70,529.70,442
1738574159,522.76,519.65,3086
1738574219,521.63,518.00,4292
1738574279,520.81,517.30,5579
1738574339,520.62,516.80,5907
1738574399,520.56,518.55,6063
1738574459,520.50,518.05,6259
1738574519,520.47,518.05,6330
1738574578,520.44,519.00,6467
1738574639,520.30,518.35,7031
1738574699,520.27,518.65,7170
1738574759,520.09,518.50,7641
1738574819,520.07,520.90,7979
1738574879,520.36,523.05,9279
1738574939,520.39,523.45,9426
1738574999,520.69,525.00,10017
1738575059,520.76,524.00,10195
1738575119,520.82,524.35,10354
1738575178,520.84,524.00,10424
1738575239,520.95,523.30,10834
1738575299,521.06,524.05,11254
1738575359,521.09,523.25,11421
1738575419,521.10,523.95,11459
1738575479,521.12,523.00,11539
1738575539,521.13,523.50,11642
1738575599,521.14,523.70,11673
1738575659,521.14,523.45,11705
1738575719,521.21,522.85,12007
1738575779,521.21,524.10,12024
1738575839,521.28,525.00,12250
1738575899,521.29,525.20,12285
1738575959,521.57,525.00,13210
1738576019,521.70,526.55,13570
1738576079,521.70,526.55,13570
1738576139,521.70,524.50,13580
1738576199,521.79,523.45,14627
1738576259,521.84,523.35,15101
1738576319,521.84,524.70,15137
1738576379,521.84,524.70,15137
1738576439,521.84,524.70,15137
1738576499,521.84,524.70,15137
1738576559,521.85,524.70,15162
1738576619,521.97,526.25,15663
1738576679,521.97,526.25,15663
1738576739,521.98,524.85,15733
1738576799,522.17,524.30,16794
1738576859,522.18,525.30,16820
1738576919,522.18,526.10,16840
1738576979,522.18,526.10,16840
1738577039,522.18,526.10,16840
1738577099,522.19,525.00,16910
1738577159,522.19,525.00,16910
1738577219,522.20,525.50,16947
1738577279,522.28,525.80,17332
1738577339,522.28,525.80,17332
1738577399,522.28,525.80,17332
1738577459,522.28,525.80,17332
1738577519,522.41,525.95,18343
1738577579,522.44,525.95,18467
1738577639,522.44,525.95,18467
1738577699,522.47,524.45,18785
1738577759,522.50,523.45,19184
1738577819,522.50,523.75,19259
1738577879,522.50,523.75,19259
1738577939,522.51,524.55,19317
1738577999,522.54,524.80,19605
1738578059,522.57,523.75,20068
1738578118,522.57,523.75,20068
1738578179,522.59,526.65,20191
1738578238,522.60,526.65,20211
1738578299,522.65,526.65,20419
1738578359,522.65,526.65,20419
1738578419,522.69,527.40,20618
1738578479,522.69,527.00,20638
1738578539,522.69,527.10,20639
1738578599,522.69,526.05,20640
1738578659,522.69,526.05,20640
1738578719,522.69,527.45,20641
1738578779,522.69,526.80,20651
1738578839,522.69,526.80,20651
1738578899,522.70,526.35,20678
1738578959,524.37,527.95,34874
1738579019,524.37,527.00,34889
1738579079,524.37,527.00,34889
1738579139,524.37,525.95,34913
1738579199,524.37,525.95,34913
1738579259,524.39,526.20,35303
1738579319,524.39,526.20,35303
1738579378,524.40,527.00,35389
1738579439,524.42,526.70,35677
1738579499,524.42,525.50,35804
1738579559,524.42,525.50,35804
1738579618,524.42,525.50,35804
1738579679,524.42,525.50,35804
1738579739,524.42,525.50,35804
1738579798,524.43,525.25,36065
1738579859,524.43,524.70,36132
1738579919,524.43,523.45,36147
1738579978,524.42,523.95,36273
1738580039,524.42,523.10,36318
1738580099,524.42,523.25,36418
1738580159,524.42,523.65,36453
1738580219,524.42,523.40,36507
1738580279,524.42,523.40,36507
1738580339,524.42,523.40,36507
1738580399,524.42,523.40,36507
1738580458,524.42,523.40,36507
1738580519,524.42,524.05,36525
1738580578,524.42,524.05,36525
1738580639,524.42,524.40,36540
1738580699,524.42,524.30,36542
1738580759,524.42,524.55,36544
1738580817,524.42,524.50,36565
1738580879,524.42,524.50,36565
1738580939,524.42,524.50,36571
1738580999,524.42,524.50,36571
1738581059,524.42,524.45,36586
1738581119,524.42,525.05,36677
