t,ap,cp,v
1738573670,765.10,765.10,39
1738573682,765.10,765.10,39
1738573741,765.10,765.10,39
1738574159,765.00,764.80,57
1738574217,764.85,764.05,438
1738574279,764.78,764.95,519
1738574339,763.99,763.50,769
1738574399,763.99,763.50,769
1738574459,763.40,760.05,964
1738574517,763.26,758.95,996
1738574578,763.26,758.95,996
1738574639,763.21,760.85,1016
1738574698,763.21,760.85,1016
1738574759,763.20,763.45,1193
1738574819,765.33,773.35,2197
1738574879,765.86,770.55,2422
1738574938,765.86,770.55,2422
1738574996,765.86,770.55,2422
1738575059,765.87,769.65,2429
1738575119,765.87,769.65,2429
1738575178,765.90,767.05,2496
1738575238,765.90,767.05,2496
1738575298,765.90,767.05,2496
1738575359,765.90,761.05,2497
1738575415,765.90,761.05,2497
1738575471,765.79,761.45,2553
1738575539,765.78,759.10,2554
1738575599,765.00,757.00,2805
1738575659,764.97,757.95,2815
1738575719,764.89,758.30,2847
1738575778,764.59,756.85,2956
1738575836,764.52,757.20,2983
1738575897,764.48,757.65,3003
1738575959,764.10,755.80,3130
1738576018,764.07,756.40,3140
1738576077,763.71,756.10,3288
1738576138,763.00,754.25,3563
1738576197,762.98,755.00,3571
1738576259,762.92,755.70,3602
1738576313,762.60,756.05,3790
1738576377,762.38,755.00,3902
1738576439,762.38,755.00,3902
1738576497,762.38,755.00,3902
1738576559,762.15,753.20,4002
1738576618,761.71,753.65,4212
1738576679,761.71,753.65,4212
1738576739,761.71,753.65,4212
1738576799,761.69,752.35,4222
1738576856,761.38,751.00,4347
1738576919,760.70,756.05,4871
1738576979,760.63,754.10,4921
1738577038,760.63,754.10,4921
1738577099,760.63,753.90,4926
1738577159,760.05,751.60,5277
1738577219,760.03,751.90,5290
1738577279,760.03,751.90,5290
1738577339,759.98,752.05,5320
1738577399,759.98,752.05,5320
1738577459,759.91,754.45,5390
1738577518,759.90,754.90,5394
1738577579,759.90,754.90,5395
1738577634,759.65,754.35,5625
1738577698,759.65,754.35,5625
1738577759,759.62,752.95,5646
1738577819,759.49,752.05,5747
1738577879,759.49,752.05,5747
1738577939,759.47,752.00,5768
1738577999,759.47,752.00,5768
1738578059,759.46,752.90,5769
1738578118,759.46,752.90,5769
1738578175,759.46,752.90,5769
1738578239,759.34,753.90,5886
1738578299,759.34,753.90,5886
1738578358,759.34,753.90,5886
1738578418,759.34,753.90,5886
1738578479,759.23,751.00,5966
1738578539,759.17,750.05,6011
1738578599,759.10,749.50,6054
1738578659,759.08,749.50,6068
1738578719,759.08,749.50,6068
1738578779,759.05,750.00,6084
1738578839,759.05,750.00,6084
1738578899,759.05,750.00,6084
1738578959,758.84,751.95,6246
1738579019,758.84,751.95,6246
1738579079,758.66,750.00,6384
1738579133,758.66,750.00,6384
1738579199,758.66,750.00,6384
1738579259,758.66,750.00,6384
1738579319,758.66,750.00,6384
1738579374,758.31,751.95,6716
1738579432,758.31,751.95,6716
1738579499,758.31,751.95,6716
1738579559,758.31,751.95,6716
1738579613,758.31,751.95,6716
1738579679,758.30,752.85,6738
1738579739,758.28,754.35,6758
1738579799,758.28,754.35,6758
1738579857,758.28,754.35,6758
1738579919,758.26,752.00,6783
1738579979,758.26,752.00,6783
1738580039,758.21,751.65,6832
1738580099,758.20,751.05,6845
1738580159,758.14,751.45,6903
1738580219,758.14,751.45,6903
1738580279,758.14,751.45,6903
1738580336,758.14,751.45,6903
1738580399,758.14,751.45,6903
1738580459,758.14,757.35,6917
1738580519,757.64,750.15,7842
1738580578,757.63,749.70,7854
1738580637,757.63,754.90,7864
1738580699,757.60,754.95,7932
1738580759,757.58,753.40,7976
1738580819,757.58,753.40,7976
1738580879,757.58,753.40,7976
1738580939,757.58,753.40,7976
1738580997,757.58,753.40,7976
1738581059,757.55,754.95,8054
1738581116,757.55,754.95,8054
1738581179,757.53,753.90,8124
1738581239,757.53,753.90,8124
1738581293,757.52,755.80,8167
1738581359,757.52,757.40,8168
1738581419,757.52,757.75,8276
1738581479,757.56,760.75,8393
1738581539,757.56,760.75,8393
1738581595,757.56,760.75,8393
1738581658,757.56,760.75,8393
1738581718,757.56,760.75,8393
1738581777,757.56,761.30,8395
1738581835,757.56,761.30,8395
1738581898,757.68,758.60,9061
1738581959,757.68,758.60,9061
1738582018,757.68,758.60,9061
1738582078,757.68,758.60,9061
1738582137,757.68,758.60,9061
1738582193,757.68,758.60,9061
1738582259,757.71,759.50,9214
1738582314,757.71,759.50,9214
1738582374,757.71,759.95,9219
1738582438,757.71,759.95,9219
1738582498,757.71,759.95,9219
1738582557,757.71,759.95,9219
1738582619,757.72,759.25,9289
1738582675,757.72,759.25,9289
1738582739,757.72,759.25,9289
1738582797,757.72,759.10,9294
1738582859,757.72,759.10,9294
1738582916,757.72,759.10,9294
1738582979,757.72,759.10,9294
1738583039,757.72,756.55,9310
1738583096,757.72,757.85,9326
1738583159,757.73,758.30,9370
1738583216,757.73,758.30,9402
1738583278,757.73,759.30,9413
1738583338,757.73,759.30,9413
1738583399,757.73,758.30,9459
1738583451,757.73,756.85,9487
1738583511,757.72,755.55,9541
1738583577,757.72,755.55,9541
1738583636,757.72,755.55,9541
1738583697,757.72,757.45,9542
1738583757,757.72,757.45,9542
