t,ap,cp,v
1738573634,5749.00,5749.00,85
1738573740,5749.00,5749.00,85
1738573801,5749.00,5749.00,85
1738574159,5650.14,5555.95,523
1738574219,5618.72,5538.55,783
1738574279,5612.63,5559.60,853
1738574339,5594.75,5527.80,1079
1738574399,5588.06,5543.75,1222
1738574459,5581.17,5554.90,1452
1738574519,5576.97,5553.50,1676
1738574579,5575.65,5566.65,1791
1738574639,5574.53,5552.00,1895
1738574699,5573.85,5541.90,1968
1738574759,5566.61,5538.00,2395
1738574819,5561.60,5542.30,2814
1738574879,5559.24,5511.00,3050
1738574939,5557.29,5510.00,3184
1738574999,5549.84,5500.00,3682
1738575059,5547.09,5479.45,3849
1738575119,5545.83,5500.20,3946
1738575179,5544.63,5485.00,4044
1738575239,5541.82,5465.00,4212
1738575299,5539.83,5455.90,4319
1738575359,5533.95,5437.90,4620
1738575419,5533.50,5458.70,4647
1738575479,5532.25,5447.50,4721
1738575539,5530.09,5446.70,4843
1738575599,5528.00,5432.35,4949
1738575659,5522.88,5429.65,5231
1738575719,5519.94,5435.00,5403
1738575779,5517.80,5425.00,5541
1738575838,5516.69,5435.00,5608
1738575899,5515.85,5432.55,5665
1738575959,5515.13,5423.30,5710
1738576016,5514.38,5436.40,5762
1738576079,5513.54,5428.80,5819
1738576139,5508.75,5416.40,6128
1738576199,5501.21,5400.00,6597
1738576259,5499.24,5407.85,6738
1738576319,5496.22,5395.00,6945
1738576379,5494.70,5404.25,7062
1738576439,5492.27,5403.90,7234
1738576499,5490.70,5392.55,7349
1738576559,5487.39,5382.10,7590
1738576619,5486.87,5373.25,7626
1738576679,5486.30,5376.90,7665
1738576739,5484.98,5361.90,7749
1738576799,5482.83,5374.50,7902
1738576858,5482.11,5376.05,7959
1738576919,5479.48,5405.90,8195
1738576979,5478.40,5397.55,8301
1738577039,5478.00,5400.70,8343
1738577099,5477.42,5382.40,8400
1738577158,5476.09,5393.45,8521
1738577219,5475.27,5402.35,8604
1738577279,5475.04,5398.10,8631
1738577338,5473.83,5373.20,8737
1738577399,5470.94,5364.85,8969
1738577459,5470.20,5385.00,9039
1738577519,5469.59,5380.45,9104
1738577578,5467.46,5384.85,9362
1738577639,5465.32,5408.70,9638
1738577699,5464.95,5401.85,9696
1738577759,5463.72,5378.60,9868
1738577819,5462.31,5363.40,10014
1738577879,5461.56,5361.85,10093
1738577939,5457.66,5340.00,10458
1738577999,5455.45,5353.75,10665
1738578059,5453.85,5339.65,10807
1738578119,5453.29,5350.75,10866
1738578179,5452.19,5353.90,10979
1738578239,5451.89,5346.45,11013
1738578299,5451.17,5340.20,11084
1738578359,5442.13,5338.55,12068
1738578419,5441.45,5331.00,12146
1738578479,5439.74,5351.50,12351
1738578539,5438.55,5350.25,12528
1738578599,5438.47,5341.85,12538
1738578658,5438.07,5335.95,12590
1738578719,5437.93,5345.45,12608
1738578779,5436.26,5330.00,12804
1738578839,5435.17,5338.50,12938
1738578898,5434.56,5322.95,13010
1738578959,5433.83,5333.75,13100
1738579019,5432.75,5318.05,13226
1738579078,5430.12,5318.40,13524
1738579139,5429.15,5310.00,13636
1738579199,5428.68,5315.05,13692
1738579259,5428.54,5317.50,13709
1738579319,5427.73,5318.65,13805
1738579379,5427.42,5316.20,13844
1738579439,5426.91,5310.05,13907
1738579499,5426.67,5327.55,13940
1738579559,5426.35,5325.00,13988
1738579619,5426.21,5332.40,14008
1738579679,5424.50,5316.15,14233
1738579739,5423.54,5318.00,14357
1738579799,5423.23,5312.20,14399
1738579859,5422.44,5315.85,14501
1738579919,5417.89,5291.90,15049
1738579979,5416.90,5299.65,15163
1738580039,5416.32,5311.40,15238
1738580099,5415.02,5324.00,15456
1738580159,5414.61,5329.95,15526
1738580219,5413.96,5328.75,15647
1738580279,5413.67,5311.90,15695
1738580339,5413.03,5322.75,15795
1738580399,5412.81,5322.75,15833
1738580459,5411.39,5330.95,16103
1738580519,5411.26,5325.00,16128
1738580579,5410.90,5327.35,16196
1738580639,5410.82,5328.20,16210
1738580699,5410.57,5321.70,16259
1738580759,5410.37,5311.85,16294
1738580819,5409.64,5315.45,16421
1738580879,5409.48,5315.45,16448
1738580939,5408.42,5314.00,16630
1738580999,5407.68,5317.40,16760
1738581059,5407.55,5317.45,16783
1738581119,5407.51,5323.75,16790
1738581178,5407.42,5316.10,16807
1738581239,5407.39,5323.10,16813
1738581299,5406.80,5326.60,16936
1738581359,5406.15,5321.75,17064
1738581419,5406.01,5316.95,17090
1738581479,5405.41,5328.95,17212
1738581539,5405.33,5328.85,17230
1738581599,5405.19,5320.00,17258
1738581659,5405.09,5326.60,17280
1738581719,5405.05,5317.70,17287
1738581779,5404.82,5310.00,17331
1738581839,5403.92,5301.20,17497
1738581899,5403.14,5294.60,17628
1738581959,5401.95,5287.30,17820
1738582019,5401.64,5289.50,17869
1738582079,5398.99,5274.00,18268
1738582139,5397.62,5269.65,18466
1738582198,5396.61,5288.00,18625
1738582259,5396.06,5295.00,18728
1738582319,5395.81,5290.00,18772
1738582379,5395.49,5287.05,18827
1738582439,5395.40,5286.00,18841
1738582499,5394.96,5278.55,18914
1738582559,5393.66,5279.90,19141
1738582619,5393.34,5281.00,19196
1738582679,5392.73,5285.00,19301
1738582739,5391.92,5274.50,19438
1738582799,5391.81,5280.40,19456
1738582859,5391.32,5283.30,19539
1738582919,5390.99,5289.00,19601
1738582979,5390.81,5287.00,19635
1738583038,5390.77,5287.00,19644
1738583099,5390.51,5291.85,19694
1738583159,5389.83,5299.00,19831
1738583219,5389.38,5298.00,19933
1738583279,5389.36,5304.00,19937
