t,ap,cp,v
1738573659,238.05,238.05,628
1738573709,238.05,238.05,628
1738573761,238.05,238.05,628
1738573842,238.05,238.05,628
1738574159,238.03,238.75,1033
1738574219,238.07,237.40,1386
1738574279,238.05,237.45,1416
1738574339,237.88,236.90,1621
1738574399,237.83,237.25,1702
1738574459,237.50,236.20,2725
1738574518,237.47,235.95,2768
1738574578,237.47,235.95,2768
1738574637,237.38,235.45,2917
1738574699,237.30,236.10,3081
1738574757,237.25,237.00,3242
1738574819,237.28,240.20,3594
1738574878,237.29,240.20,3595
1738574939,237.55,237.85,4300
1738574995,237.58,237.90,4713
1738575058,237.58,237.15,4819
1738575118,237.57,237.00,4842
1738575173,237.49,236.00,5186
1738575239,237.34,235.70,5660
1738575292,237.33,235.85,5708
1738575358,237.22,235.75,6067
1738575419,237.20,235.45,6175
1738575479,237.18,235.00,6223
1738575537,237.13,235.00,6369
1738575599,237.10,234.80,6455
1738575659,237.03,234.90,6653
1738575719,237.03,234.90,6653
1738575779,237.03,234.90,6653
1738575839,237.03,234.90,6665
1738575899,236.80,235.35,7581
1738575959,236.79,234.25,7611
1738576019,236.79,234.25,7611
1738576077,236.78,234.50,7615
1738576139,236.78,234.45,7617
1738576195,236.54,234.60,8490
1738576256,236.54,234.90,8514
1738576315,236.45,234.85,9033
1738576379,236.44,234.05,9084
1738576437,236.43,234.75,9122
1738576499,236.40,234.25,9227
1738576559,236.40,233.60,9254
1738576617,236.40,233.70,9255
1738576678,236.38,233.45,9319
1738576738,236.19,233.00,9872
1738576790,236.17,233.45,9927
1738576858,236.17,233.45,9927
1738576918,236.15,233.45,9993
1738576977,236.15,233.45,9994
1738577039,236.15,233.30,9995
1738577098,236.15,233.30,9995
1738577158,236.15,233.30,9995
1738577219,236.15,233.25,10015
1738577274,236.10,233.60,10224
1738577339,236.10,233.90,10225
1738577397,236.08,233.45,10275
1738577455,236.08,233.45,10275
1738577517,236.08,234.00,10279
1738577577,236.08,234.00,10290
1738577639,236.08,233.55,10303
1738577699,236.08,233.55,10303
1738577759,236.03,233.40,10504
1738577798,236.03,233.40,10504
1738577876,236.01,233.00,10579
1738577933,236.01,233.00,10579
1738577999,236.01,233.00,10579
1738578059,235.99,233.70,10657
1738578119,235.98,233.25,10708
1738578179,235.98,233.25,10708
1738578236,235.97,234.05,10734
1738578297,235.90,233.60,11045
1738578355,235.82,233.55,11446
1738578419,235.78,233.15,11599
1738578479,235.75,232.95,11738
1738578539,235.66,232.70,12111
1738578598,235.65,232.90,12131
1738578658,235.65,233.30,12151
1738578717,235.65,233.30,12151
1738578778,235.65,233.00,12166
1738578832,235.65,233.00,12166
1738578898,235.59,232.80,12434
1738578959,235.58,232.95,12448
1738579009,235.58,232.95,12455
1738579073,235.54,233.00,12657
1738579138,235.54,232.45,12662
1738579195,235.54,232.45,12662
1738579254,235.54,232.00,12673
1738579319,235.54,232.00,12673
1738579376,235.54,232.00,12673
1738579438,235.54,232.00,12673
1738579496,235.53,232.95,12724
1738579559,235.50,233.00,12850
1738579617,235.50,233.00,12851
1738579679,235.43,233.00,13195
1738579735,235.43,233.00,13195
1738579798,235.43,232.95,13196
1738579856,235.43,232.95,13196
1738579917,235.43,232.95,13196
1738579977,235.43,232.95,13196
1738580038,235.43,232.75,13217
1738580099,235.43,232.50,13220
1738580158,235.43,232.50,13220
1738580219,235.43,232.50,13220
1738580275,235.42,232.95,13244
1738580333,235.38,233.05,13482
1738580399,235.38,233.05,13482
1738580459,235.38,233.05,13482
1738580519,235.37,233.25,13532
1738580571,235.37,233.25,13532
1738580639,235.36,233.15,13603
1738580698,235.36,233.55,13604
1738580758,235.36,233.55,13604
1738580815,235.36,233.05,13609
