t,ap,cp,v
1738573634,1380.00,1380.00,159
1738573682,1380.00,1380.00,159
1738573740,1380.00,1380.00,159
1738574159,1367.07,1360.75,1324
1738574218,1366.12,1347.05,1483
1738574279,1361.79,1348.55,2069
1738574339,1360.74,1350.95,2269
1738574399,1360.24,1351.05,2394
1738574456,1360.21,1350.20,2400
1738574519,1357.83,1341.90,2827
1738574578,1357.30,1342.00,2955
1738574639,1357.23,1349.05,2980
1738574699,1356.52,1348.65,3295
1738574759,1356.18,1360.55,3843
1738574819,1357.54,1365.00,4429
1738574879,1357.72,1363.00,4535
1738574939,1357.72,1363.00,4535
1738574999,1357.72,1354.85,4592
1738575059,1356.33,1348.15,5226
1738575119,1356.20,1344.60,5289
1738575179,1356.10,1341.40,5342
1738575239,1355.53,1339.20,5548
1738575297,1355.43,1339.15,5583
1738575359,1355.33,1342.20,5629
1738575419,1355.26,1349.50,5674
1738575479,1355.26,1349.50,5674
1738575539,1355.23,1344.95,5694
1738575598,1355.16,1346.00,5733
1738575659,1355.17,1357.95,5747
1738575719,1355.17,1365.85,5771
1738575779,1355.19,1358.80,5790
1738575838,1355.57,1359.90,6116
1738575899,1355.61,1355.35,6274
1738575959,1355.56,1350.55,6364
1738576019,1355.56,1353.25,6382
1738576079,1355.56,1355.70,6389
1738576139,1355.56,1356.25,6390
1738576199,1355.55,1354.60,6401
1738576259,1355.55,1354.15,6433
1738576317,1355.55,1356.25,6435
1738576378,1355.52,1356.55,6576
1738576439,1355.52,1356.55,6576
1738576498,1355.50,1352.30,6625
1738576559,1355.49,1352.55,6637
1738576619,1355.49,1352.85,6645
1738576677,1355.48,1352.00,6741
1738576739,1355.41,1352.75,6847
1738576796,1355.38,1353.30,6909
1738576859,1355.38,1355.15,6947
1738576919,1355.39,1358.35,6977
1738576979,1355.39,1355.95,7073
1738577038,1355.38,1357.85,7148
1738577095,1355.40,1359.35,7175
1738577158,1355.40,1359.35,7175
1738577219,1355.34,1350.90,7275
1738577279,1355.37,1358.05,7363
1738577338,1355.37,1358.60,7365
1738577399,1355.36,1349.70,7487
1738577456,1355.36,1349.70,7487
1738577518,1355.36,1352.50,7519
1738577577,1355.35,1352.05,7555
1738577639,1355.33,1352.45,7589
1738577699,1355.32,1351.05,7607
1738577759,1355.15,1347.95,7750
1738577819,1355.14,1351.50,7774
1738577869,1355.14,1351.50,7779
1738577938,1355.13,1347.60,7783
1738577999,1355.13,1346.70,7784
1738578057,1355.13,1346.70,7784
1738578117,1355.03,1345.95,7867
1738578179,1354.99,1344.20,7897
1738578238,1354.99,1344.95,7898
1738578298,1354.96,1342.00,7917
1738578359,1354.95,1341.00,7921
1738578418,1354.93,1339.85,7935
1738578479,1354.81,1339.05,7997
1738578538,1354.80,1340.90,8003
1738578599,1354.53,1341.65,8166
1738578659,1354.25,1347.45,8419
1738578718,1354.22,1345.55,8445
1738578774,1354.21,1342.05,8460
1738578836,1354.19,1342.00,8471
1738578899,1354.16,1344.65,8501
1738578958,1354.11,1346.10,8549
1738579019,1354.11,1346.10,8549
1738579079,1354.11,1346.10,8549
1738579139,1354.11,1346.10,8549
1738579199,1354.11,1345.20,8555
1738579259,1354.11,1345.20,8555
1738579319,1353.99,1349.15,8738
1738579379,1353.99,1352.20,8769
1738579439,1353.98,1349.10,8772
1738579498,1353.98,1349.10,8772
1738579559,1353.98,1349.10,8772
1738579617,1353.98,1352.90,8984
1738579679,1354.02,1353.85,9115
1738579739,1354.21,1370.00,9273
1738579799,1354.30,1364.60,9340
1738579859,1354.31,1364.25,9350
1738579919,1354.33,1364.35,9366
1738579974,1354.38,1366.10,9418
1738580039,1354.39,1363.00,9424
1738580099,1354.39,1363.00,9424
1738580158,1354.39,1363.00,9424
1738580216,1354.66,1366.10,9645
1738580276,1354.66,1366.10,9645
1738580336,1354.66,1369.75,9650
1738580399,1354.81,1366.95,9763
1738580456,1354.81,1369.95,9766
1738580519,1354.89,1370.70,9820
1738580578,1355.35,1378.05,10038
1738580639,1355.38,1380.00,10053
1738580699,1355.61,1385.00,10138
1738580757,1356.85,1381.80,10629
1738580819,1357.33,1380.00,10855
1738580879,1357.59,1379.90,10976
1738580936,1357.65,1381.15,11007
1738580999,1357.65,1381.15,11007
1738581059,1357.67,1378.35,11017
1738581115,1357.67,1380.30,11018
1738581178,1357.90,1375.90,11133
1738581238,1358.07,1370.00,11284
1738581299,1358.07,1370.00,11284
1738581358,1358.27,1376.25,11416
1738581419,1358.32,1377.65,11446
1738581479,1358.34,1380.00,11456
1738581539,1358.34,1380.00,11456
1738581595,1358.41,1381.95,11490
1738581659,1358.41,1381.95,11490
1738581719,1358.41,1381.95,11490
1738581773,1358.41,1380.45,11493
1738581837,1358.66,1380.45,11627
1738581899,1358.92,1380.65,11767
1738581958,1358.93,1379.50,11771
1738582019,1358.93,1379.50,11771
1738582079,1358.93,1374.30,11773
1738582137,1358.93,1374.30,11773
1738582198,1358.96,1372.95,11796
1738582258,1359.02,1375.05,11845
1738582317,1359.02,1375.05,11845
1738582379,1359.04,1372.05,11861
1738582439,1359.18,1365.00,12043
1738582499,1359.25,1361.05,12225
1738582558,1359.25,1361.10,12247
1738582618,1359.26,1361.65,12297
1738582679,1359.26,1362.40,12302
1738582735,1359.25,1355.30,12395
1738582799,1359.25,1357.05,12396
1738582859,1359.25,1357.00,12409
1738582916,1359.25,1356.70,12421
1738582979,1359.24,1356.40,12459
1738583037,1359.24,1357.05,12475
1738583099,1359.23,1355.05,12492
1738583158,1359.23,1355.00,12504
1738583219,1359.23,1356.80,12505
1738583279,1359.23,1356.80,12505
1738583334,1359.23,1356.80,12505
1738583399,1359.22,1356.80,12528
1738583459,1359.21,1353.85,12559
1738583519,1359.20,1352.45,12567
1738583579,1359.20,1352.45,12567
1738583638,1359.20,1352.45,12567
1738583692,1359.20,1352.45,12567
1738583759,1359.18,1352.45,12617
1738583819,1359.18,1352.45,12617
1738583877,1359.09,1351.05,12767
1738583937,1359.09,1351.05,12767
1738583996,1359.09,1352.85,12770
1738584055,1359.09,1352.85,12770
1738584118,1359.08,1350.05,12780
1738584178,1359.08,1352.35,12781
1738584239,1359.08,1352.45,12787
1738584299,1359.08,1352.45,12787
1738584358,1359.08,1352.45,12787
1738584418,1359.07,1354.45,12820
1738584479,1358.99,1352.60,12965
1738584539,1358.99,1352.60,12965
1738584598,1358.99,1352.60,12965
1738584653,1358.99,1352.60,12965
1738584716,1358.99,1352.60,12965
1738584777,1358.99,1352.45,12966
1738584837,1358.99,1352.45,12966
1738584899,1358.99,1355.70,12969
1738584959,1358.99,1355.70,12969
1738585018,1358.99,1353.15,12979
1738585079,1358.74,1355.70,13673
1738585139,1358.74,1354.55,13694
1738585191,1358.72,1354.00,13742
1738585258,1358.70,1353.15,13792
1738585316,1358.44,1352.50,14393
1738585379,1358.44,1352.50,14393
1738585439,1358.42,1354.00,14443
1738585499,1358.42,1354.00,14443
1738585559,1358.42,1353.40,14449
1738585619,1358.42,1353.85,14455
1738585679,1358.42,1355.05,14473
1738585735,1358.42,1355.05,14473
1738585798,1358.42,1354.95,14474
1738585859,1358.42,1354.95,14474
1738585916,1358.42,1354.95,14474
1738585973,1358.41,1355.25,14484
1738586038,1358.41,1355.25,14484
1738586097,1358.41,1355.25,14484
1738586159,1358.41,1355.25,14484
1738586219,1358.41,1355.25,14484
1738586277,1358.41,1354.40,14486
1738586338,1358.41,1354.40,14486
1738586399,1358.41,1354.40,14486
1738586458,1358.41,1354.40,14486
1738586518,1358.41,1354.40,14486
1738586579,1358.41,1353.95,14487
1738586636,1358.40,1352.00,14517
1738586697,1358.40,1352.00,14517
1738586758,1358.40,1351.90,14518
1738586817,1358.40,1351.90,14518
1738586879,1358.39,1347.85,14526
1738586936,1358.39,1347.85,14526
1738586999,1358.39,1350.15,14528
1738587059,1358.39,1350.15,14528
1738587119,1358.39,1350.15,14528
