t,ap,cp,v
1738575901,149.45,149.45,15341
1738576041,149.45,149.45,15341
1738576533,149.45,149.45,15341
1738578953,149.45,149.45,15351
1738579529,149.45,149.45,15352
1738579819,149.45,149.45,15352
1738580614,149.45,149.45,15357
1738581398,149.45,149.45,15732
1738583132,149.45,149.45,23232
1738584856,149.45,149.45,23332
1738594223,149.45,149.45,23382
1738595668,149.45,149.45,23482
1738596601,149.45,149.45,23482
1738596677,149.45,149.45,23482
1738597200,149.45,149.45,23482
1738597382,149.45,149.45,23482
1738598401,149.45,149.45,23482
1738598478,149.45,149.45,23482
t,ap,cp,v
1738575901,149.45,149.45,15341
1738576041,149.45,149.45,15341
1738576533,149.45,149.45,15341
1738578953,149.45,149.45,15351
1738579529,149.45,149.45,15352
1738579819,149.45,149.45,15352
1738580614,149.45,149.45,15357
1738581398,149.45,149.45,15732
1738583132,149.45,149.45,23232
1738584856,149.45,149.45,23332
1738594223,149.45,149.45,23382
1738595668,149.45,149.45,23482
1738596601,149.45,149.45,23482
1738596677,149.45,149.45,23482
1738597200,149.45,149.45,23482
1738597382,149.45,149.45,23482
1738598401,149.45,149.45,23482
1738598478,149.45,149.45,23482
t,ap,cp,v
1738575901,149.45,149.45,15341
1738576041,149.45,149.45,15341
1738576533,149.45,149.45,15341
1738578953,149.45,149.45,15351
1738579529,149.45,149.45,15352
1738579819,149.45,149.45,15352
1738580614,149.45,149.45,15357
1738581398,149.45,149.45,15732
1738583132,149.45,149.45,23232
1738584856,149.45,149.45,23332
1738594223,149.45,149.45,23382
1738595668,149.45,149.45,23482
1738596601,149.45,149.45,23482
1738596677,149.45,149.45,23482
1738597200,149.45,149.45,23482
1738597382,149.45,149.45,23482
1738598401,149.45,149.45,23482
1738598478,149.45,149.45,23482
1738575901,149.45,149.45,15341
1738576041,149.45,149.45,15341
1738576533,149.45,149.45,15341
1738578953,149.45,149.45,15351
1738579529,149.45,149.45,15352
1738579819,149.45,149.45,15352
1738580614,149.45,149.45,15357
1738581398,149.45,149.45,15732
1738583132,149.45,149.45,23232
1738584856,149.45,149.45,23332
1738594223,149.45,149.45,23382
1738595668,149.45,149.45,23482
1738596601,149.45,149.45,23482
1738596677,149.45,149.45,23482
1738597200,149.45,149.45,23482
1738597382,149.45,149.45,23482
1738598401,149.45,149.45,23482
1738598478,149.45,149.45,23482
1738575901,149.45,149.45,15341
1738576041,149.45,149.45,15341
1738576533,149.45,149.45,15341
1738578953,149.45,149.45,15351
1738579529,149.45,149.45,15352
1738579819,149.45,149.45,15352
1738580614,149.45,149.45,15357
1738581398,149.45,149.45,15732
1738583132,149.45,149.45,23232
1738584856,149.45,149.45,23332
1738594223,149.45,149.45,23382
1738595668,149.45,149.45,23482
1738596601,149.45,149.45,23482
1738596677,149.45,149.45,23482
1738597200,149.45,149.45,23482
1738597382,149.45,149.45,23482
1738598401,149.45,149.45,23482
1738598478,149.45,149.45,23482
1738575901,149.45,149.45,15341
1738576041,149.45,149.45,15341
1738576533,149.45,149.45,15341
1738578953,149.45,149.45,15351
1738579529,149.45,149.45,15352
1738579819,149.45,149.45,15352
1738580614,149.45,149.45,15357
1738581398,149.45,149.45,15732
1738583132,149.45,149.45,23232
1738584856,149.45,149.45,23332
1738594223,149.45,149.45,23382
1738595668,149.45,149.45,23482
1738596601,149.45,149.45,23482
1738596677,149.45,149.45,23482
1738597200,149.45,149.45,23482
1738597382,149.45,149.45,23482
1738598401,149.45,149.45,23482
1738598478,149.45,149.45,23482
1738575901,149.45,149.45,15341
1738576041,149.45,149.45,15341
1738576533,149.45,149.45,15341
1738578953,149.45,149.45,15351
1738579529,149.45,149.45,15352
1738579819,149.45,149.45,15352
1738580614,149.45,149.45,15357
1738581398,149.45,149.45,15732
1738583132,149.45,149.45,23232
1738584856,149.45,149.45,23332
1738594223,149.45,149.45,23382
1738595668,149.45,149.45,23482
1738596601,149.45,149.45,23482
1738596677,149.45,149.45,23482
1738597200,149.45,149.45,23482
1738597382,149.45,149.45,23482
1738598401,149.45,149.45,23482
1738598478,149.45,149.45,23482
