t,ap,cp,v
1738573634,537.20,537.20,2
1738573740,537.20,537.20,2
1738574159,535.90,536.75,85
1738574219,534.45,530.60,120
1738574277,534.45,530.60,120
1738574339,532.49,531.50,333
1738574399,532.41,532.60,413
1738574457,532.30,531.90,472
1738574519,532.24,531.25,494
1738574579,532.24,531.25,494
1738574638,532.24,532.05,595
1738574699,532.28,532.85,645
1738574758,532.38,534.50,687
1738574819,533.04,537.15,834
1738574879,534.34,540.85,1010
1738574939,534.41,539.70,1024
1738574999,535.31,538.85,1336
1738575059,535.41,538.15,1378
1738575119,535.47,538.10,1407
1738575179,535.48,537.00,1414
1738575239,535.10,531.70,1781
1738575299,535.10,531.70,1781
1738575359,534.47,531.10,2117
1738575419,534.40,529.15,2152
1738575479,534.37,529.25,2167
1738575539,534.32,528.50,2186
1738575599,534.02,530.30,2308
1738575659,534.01,530.90,2309
1738575719,533.97,531.75,2355
1738575779,533.93,532.30,2416
1738575839,533.91,532.95,2428
1738575899,533.86,532.45,2614
1738575959,533.86,532.45,2614
1738576016,533.61,532.40,2945
1738576079,533.60,532.40,2961
1738576139,533.60,532.40,2961
1738576198,533.53,531.55,3065
1738576259,533.53,531.55,3070
1738576319,533.49,531.95,3166
1738576379,533.49,530.95,3171
1738576439,533.49,530.55,3172
1738576499,533.48,530.65,3178
1738576559,533.39,529.90,3263
1738576619,533.39,529.90,3263
1738576679,533.39,528.30,3266
1738576739,533.39,528.30,3266
1738576799,533.38,529.90,3276
1738576858,533.38,529.90,3276
1738576919,533.38,529.90,3276
1738576979,533.28,529.90,3370
1738577039,533.27,529.50,3384
1738577099,533.23,529.05,3411
1738577159,533.23,529.05,3411
1738577219,532.93,529.80,3733
1738577279,532.81,529.80,3883
1738577338,532.81,529.80,3883
1738577399,532.76,528.85,3937
1738577459,532.76,528.85,3937
1738577519,532.76,528.85,3937
1738577579,532.76,528.85,3937
1738577639,532.39,527.75,4284
1738577699,532.35,530.50,4356
1738577759,532.35,530.50,4360
1738577813,532.33,530.10,4453
1738577879,532.33,530.10,4454
1738577938,532.33,530.10,4454
1738577999,532.33,530.10,4454
1738578059,532.09,528.35,4744
1738578117,532.09,529.95,4746
1738578179,532.08,530.10,4781
1738578239,532.08,530.10,4781
1738578299,532.08,530.10,4781
1738578358,532.06,529.60,4808
1738578418,531.84,529.85,5129
1738578479,531.84,529.85,5129
1738578537,531.80,529.10,5197
1738578599,531.75,528.60,5297
1738578656,531.74,529.50,5305
1738578719,531.74,529.50,5305
1738578779,531.74,529.15,5310
1738578839,531.73,529.55,5330
1738578898,531.72,529.00,5345
1738578958,531.72,529.90,5361
1738579018,531.72,529.00,5363
1738579075,531.72,529.00,5363
1738579138,531.72,529.00,5363
1738579199,531.72,529.00,5363
1738579257,531.72,529.00,5363
1738579318,531.72,529.00,5363
1738579377,531.69,529.90,5432
1738579439,531.66,528.85,5482
1738579495,531.66,528.85,5482
1738579559,531.57,530.10,5821
1738579616,531.57,530.70,5822
1738579677,531.57,529.75,5825
1738579739,531.57,529.60,5841
1738579797,531.57,529.60,5841
1738579859,531.57,530.30,5842
1738579917,531.51,529.10,5964
1738579979,531.51,529.10,5964
1738580039,531.51,529.10,5964
1738580099,531.51,529.10,5964
1738580158,531.51,529.10,5964
1738580219,531.51,529.10,5964
1738580279,531.51,529.10,5966
1738580336,531.51,529.10,5966
1738580399,531.51,529.10,5966
1738580459,531.51,529.10,5966
1738580519,531.51,529.10,5966
1738580576,531.50,529.70,5982
1738580638,531.50,529.70,5982
1738580692,531.50,529.70,5982
1738580759,531.50,529.60,5988
1738580819,531.50,529.60,5988
1738580878,531.50,529.60,5988
1738580937,531.50,529.60,5988
1738580999,531.47,528.50,6058
1738581057,531.47,528.50,6058
1738581116,531.47,529.50,6059
1738581179,531.44,529.95,6160
1738581239,531.44,529.50,6164
1738581297,531.44,529.50,6164
1738581359,531.43,529.05,6170
1738581419,531.43,530.05,6189
1738581479,531.43,531.65,6338
1738581539,531.45,532.30,6504
1738581599,531.45,531.50,6534
1738581659,531.45,532.20,6540
