t,ap,cp,v
1738573635,205.55,205.55,30
1738573740,205.55,205.55,30
1738574158,208.22,208.75,310
1738574218,208.42,209.00,497
1738574279,208.88,209.95,723
1738574339,209.17,210.30,861
1738574399,209.24,210.30,911
1738574459,209.24,209.95,920
1738574514,209.06,210.35,2203
1738574577,209.06,210.35,2203
1738574639,209.07,209.00,2530
1738574699,209.07,209.45,2540
1738574758,209.20,210.35,2966
1738574819,209.26,212.20,3073
1738574879,209.81,211.20,3917
1738574939,209.86,210.90,4078
1738574997,209.86,210.85,4088
1738575059,209.87,211.05,4097
1738575116,209.86,209.55,4135
1738575175,209.85,208.75,4205
1738575239,209.85,208.75,4210
1738575297,209.85,208.75,4210
1738575359,209.85,207.90,4215
1738575419,209.83,208.50,4276
1738575477,209.78,208.00,4401
1738575539,209.78,207.60,4402
1738575598,209.62,207.35,4694
1738575659,209.62,207.35,4694
1738575719,209.62,208.00,4696
1738575779,209.61,208.30,4737
1738575839,209.61,208.30,4737
1738575899,209.61,208.05,4755
1738575959,209.18,207.45,5833
1738576019,209.18,207.45,5833
1738576078,209.18,207.45,5833
1738576139,209.18,208.60,5836
1738576197,209.18,208.60,5836
1738576258,209.18,208.60,5836
1738576314,209.18,208.60,5836
1738576378,209.18,208.35,5837
1738576439,209.18,208.35,5837
1738576499,209.14,208.95,6538
1738576559,209.14,208.80,6580
1738576617,209.14,208.80,6580
1738576679,209.14,208.80,6580
1738576739,209.14,208.80,6580
1738576791,209.10,208.50,7020
1738576859,209.09,208.45,7140
1738576918,209.09,208.55,7148
1738576979,209.09,208.55,7148
1738577038,209.09,208.55,7148
1738577098,209.05,209.10,7883
1738577158,209.06,209.20,8893
1738577219,209.06,209.20,8893
1738577277,209.06,209.20,8893
1738577339,209.06,209.20,8893
1738577397,209.06,209.20,8893
1738577459,209.06,209.20,8893
1738577518,209.06,209.20,8893
1738577579,209.06,209.15,8894
1738577639,209.06,209.15,8894
1738577698,209.06,208.65,8919
1738577759,209.06,208.70,8920
1738577816,209.06,208.90,8941
1738577877,209.05,208.90,9441
1738577939,209.05,208.90,9441
1738577999,209.05,208.90,9441
1738578059,209.05,208.70,9449
