t,ap,cp,v
1738573634,158.85,158.85,89
1738573740,158.85,158.85,89
1738574157,158.79,157.00,96
1738574219,157.37,156.65,306
1738574279,157.21,157.00,547
1738574339,157.21,157.00,548
1738574399,157.21,156.75,549
1738574458,157.04,156.50,786
1738574519,156.61,156.10,1330
1738574579,156.60,155.95,1341
1738574639,156.59,156.30,1372
1738574698,156.54,156.25,1480
1738574759,156.54,156.45,1517
1738574819,156.65,157.30,1817
1738574879,156.68,157.70,1867
1738574938,156.69,157.30,1897
1738574999,156.76,157.90,2007
1738575057,157.09,157.65,3423
1738575119,157.09,157.75,3424
1738575179,157.10,157.40,3510
1738575235,157.10,157.05,3571
1738575297,157.10,157.45,3583
1738575359,157.11,157.10,3736
1738575416,157.10,156.45,3743
1738575476,157.10,156.45,3744
1738575534,157.10,156.50,3760
1738575596,157.10,156.15,3779
1738575657,157.10,156.15,3779
1738575719,157.10,156.15,3779
1738575779,157.10,156.70,3789
1738575838,157.00,156.10,4260
1738575899,157.00,156.10,4260
1738575959,157.00,156.10,4260
1738576019,157.00,156.10,4265
1738576076,157.00,156.10,4265
1738576139,156.99,156.40,4371
1738576197,156.99,156.40,4371
1738576259,156.95,156.10,4538
1738576318,156.95,156.40,4563
1738576378,156.95,156.40,4563
1738576439,156.93,156.10,4669
1738576497,156.93,156.45,4670
1738576558,156.93,156.45,4670
1738576615,156.92,156.25,4730
1738576678,156.92,156.25,4730
1738576739,156.91,156.25,4780
1738576799,156.91,156.25,4790
1738576859,156.91,156.25,4790
1738576918,156.91,156.70,4792
1738576979,156.91,156.70,4792
1738577037,156.88,156.60,5029
1738577099,156.88,156.50,5049
1738577154,156.86,156.75,5288
1738577218,156.86,156.75,5288
1738577279,156.86,156.40,5318
1738577339,156.86,156.55,5337
1738577397,156.86,156.55,5337
1738577459,156.86,156.70,5357
1738577519,156.86,156.75,5361
1738577576,156.86,156.80,5483
1738577637,156.86,157.15,5486
1738577695,156.86,157.15,5650
1738577758,156.86,157.15,5650
1738577819,156.86,157.15,5650
1738577879,156.86,156.45,5670
1738577939,156.86,156.45,5670
1738577999,156.85,156.55,5795
1738578059,156.85,156.50,5815
1738578119,156.84,156.55,5875
1738578178,156.84,156.55,5875
1738578237,156.83,156.70,6375
1738578299,156.81,156.55,7085
1738578359,156.81,156.25,7090
1738578419,156.81,156.25,7090
1738578476,156.81,156.40,7150
1738578538,156.80,156.25,7173
1738578599,156.80,156.05,7175
1738578659,156.80,156.05,7175
1738578719,156.80,156.15,7200
1738578779,156.80,156.15,7200
1738578838,156.80,156.15,7201
1738578899,156.80,156.35,7231
1738578959,156.79,156.55,7481
1738579016,156.79,156.45,7482
1738579077,156.75,156.15,7993
1738579136,156.75,156.10,7995
1738579199,156.74,156.00,8064
1738579257,156.74,156.25,8065
1738579319,156.74,156.25,8068
1738579373,156.73,156.00,8186
1738579437,156.73,156.30,8196
1738579499,156.73,156.30,8196
1738579559,156.73,156.30,8196
1738579617,156.73,156.30,8196
1738579674,156.73,156.30,8196
