t,ap,cp,v
1738573635,1775.00,1775.00,413
1738573696,1775.00,1775.00,413
1738573741,1775.00,1775.00,413
1738574159,1772.70,1760.30,4787
1738574219,1769.52,1755.35,5891
1738574279,1767.46,1754.55,6682
1738574339,1766.49,1748.90,7074
1738574399,1764.50,1741.20,7778
1738574459,1757.37,1740.00,10982
1738574519,1756.98,1738.00,11220
1738574579,1756.77,1739.00,11348
1738574639,1756.07,1736.60,11784
1738574697,1755.11,1740.75,12555
1738574759,1755.07,1738.40,12586
1738574819,1754.92,1745.00,12850
1738574879,1754.67,1741.00,13077
1738574939,1754.44,1746.55,13437
1738574999,1754.35,1747.00,13653
1738575059,1753.92,1749.50,14954
1738575119,1753.40,1754.85,17036
1738575179,1753.45,1754.95,17519
1738575239,1753.45,1754.10,17537
1738575297,1753.69,1763.65,19334
1738575359,1753.81,1761.20,19592
1738575419,1753.85,1759.05,19674
1738575479,1753.87,1761.15,19731
1738575539,1753.99,1758.05,20363
1738575599,1754.01,1761.60,20435
1738575659,1754.19,1766.75,20799
1738575719,1754.59,1762.55,21712
1738575779,1754.64,1766.65,21824
1738575839,1754.91,1759.05,22541
1738575899,1754.91,1753.80,22700
1738575959,1754.91,1756.95,22948
1738576017,1754.97,1759.75,23307
1738576079,1754.96,1751.40,23627
1738576139,1754.93,1749.10,23784
1738576199,1754.83,1748.75,24155
1738576259,1754.76,1754.70,24500
1738576319,1754.77,1754.05,24669
1738576379,1754.77,1751.15,24730
1738576439,1754.76,1754.90,24912
1738576498,1754.75,1753.65,25015
1738576559,1754.72,1749.35,25179
1738576619,1754.71,1748.40,25214
1738576679,1754.62,1747.05,25473
1738576739,1754.62,1747.45,25492
1738576799,1754.60,1746.15,25538
1738576859,1754.54,1747.20,25695
1738576919,1754.51,1746.55,25802
1738576979,1754.47,1742.70,25886
1738577039,1754.47,1744.35,25902
1738577099,1754.30,1741.50,26242
1738577159,1754.30,1741.55,26243
1738577219,1754.24,1740.20,26356
1738577279,1754.21,1744.30,26439
1738577338,1754.15,1743.90,26581
1738577399,1754.09,1744.10,26743
1738577459,1754.02,1745.25,26939
1738577519,1753.99,1743.10,27019
1738577579,1753.98,1742.15,27053
1738577639,1753.95,1739.05,27113
1738577699,1753.92,1741.75,27168
1738577759,1753.89,1739.35,27226
1738577819,1753.86,1739.15,27279
1738577879,1753.81,1740.65,27385
1738577939,1753.64,1737.70,27675
1738577999,1753.61,1736.65,27723
1738578059,1752.96,1734.80,28720
1738578119,1752.95,1735.00,28750
1738578179,1752.90,1739.20,28822
1738578239,1752.89,1737.05,28847
1738578299,1752.88,1737.95,28877
1738578357,1752.85,1738.20,28924
1738578419,1752.85,1739.10,28932
1738578479,1752.82,1738.00,28994
1738578539,1752.81,1737.00,29014
1738578599,1752.80,1735.50,29029
1738578659,1752.68,1734.70,29229
1738578719,1752.62,1736.20,29335
1738578779,1752.61,1732.00,29349
1738578839,1752.52,1730.70,29467
1738578898,1752.51,1731.10,29484
1738578959,1752.46,1729.45,29540
1738579019,1752.33,1728.00,29706
1738579079,1752.31,1725.65,29728
1738579139,1752.29,1726.40,29759
1738579199,1752.28,1725.95,29762
1738579259,1752.23,1726.70,29836
1738579319,1752.22,1727.15,29842
1738579379,1752.06,1732.40,30073
1738579439,1752.03,1729.55,30117
1738579499,1752.02,1729.55,30133
1738579559,1752.00,1729.90,30154
1738579619,1751.95,1730.45,30229
1738579679,1751.94,1728.00,30238
1738579739,1751.94,1730.95,30243
1738579799,1751.83,1732.00,30417
1738579859,1751.81,1732.00,30443
1738579919,1751.81,1733.85,30444
1738579979,1751.73,1731.90,30569
1738580038,1751.73,1731.90,30569
1738580097,1751.51,1731.00,30902
1738580159,1751.50,1730.50,30905
1738580219,1751.50,1727.75,30912
1738580279,1751.47,1726.70,30941
1738580339,1751.43,1727.05,30999
1738580399,1751.42,1728.10,31012
1738580459,1750.98,1727.90,31596
1738580519,1750.97,1727.90,31616
1738580579,1750.97,1727.55,31621
1738580639,1750.94,1726.90,31659
1738580699,1750.94,1726.90,31659
1738580759,1750.93,1728.15,31662
1738580819,1750.90,1729.05,31705
1738580879,1750.90,1729.05,31705
1738580939,1750.89,1727.95,31719
1738580999,1750.88,1725.25,31737
1738581059,1750.88,1725.75,31738
1738581119,1750.78,1725.45,31859
1738581179,1750.78,1730.20,31867
1738581239,1750.54,1722.55,32168
1738581299,1750.52,1723.10,32190
1738581359,1750.47,1722.00,32243
1738581419,1750.33,1722.25,32397
1738581479,1750.30,1723.85,32432
1738581539,1750.30,1724.25,32438
1738581599,1750.25,1725.70,32495
1738581659,1750.25,1725.70,32495
1738581719,1750.25,1723.55,32496
1738581779,1750.24,1722.45,32507
1738581838,1750.22,1722.80,32538
1738581899,1750.22,1722.80,32538
1738581959,1750.16,1720.75,32604
1738582019,1750.16,1721.00,32607
1738582079,1750.09,1720.00,32676
1738582139,1750.08,1720.15,32684
1738582198,1750.01,1722.05,32772
1738582259,1749.97,1723.10,32812
1738582319,1749.94,1724.50,32856
1738582379,1749.94,1724.40,32858
1738582439,1749.94,1723.20,32859
1738582499,1749.88,1720.85,32926
1738582559,1749.88,1721.20,32929
1738582619,1749.84,1721.20,32964
1738582679,1749.83,1719.00,32981
1738582739,1749.83,1720.45,32985
1738582799,1749.82,1719.60,32993
1738582859,1749.81,1718.00,33001
