t,ap,cp,v
1738573634,8.72,8.72,4
1738573740,8.72,8.72,4
1738574101,8.72,8.72,4
1738574166,8.72,8.72,4
1738574266,8.72,8.72,4
1738574311,8.72,8.72,4
1738574384,8.91,8.92,104
1738574446,8.91,8.92,104
1738574736,8.91,8.92,204
1738574811,8.91,8.92,204
1738574998,8.91,8.92,204
1738575035,8.91,8.92,204
1738575084,8.91,8.92,205
1738575349,8.91,8.92,206
1738575817,8.91,8.92,206
1738576037,8.91,8.92,206
1738576307,8.91,8.92,206
1738576883,8.91,8.92,207
1738577379,8.91,8.92,210
1738577461,8.91,8.92,210
1738577555,8.91,8.92,210
1738577633,8.91,8.92,210
1738577877,8.91,8.92,210
1738578095,8.91,8.92,210
1738578362,8.91,8.92,692
1738578757,8.91,8.92,692
1738578860,8.91,8.72,693
1738578943,8.91,8.72,693
1738579046,8.91,8.72,693
1738579251,8.85,8.72,992
1738579367,8.85,8.72,992
1738579500,8.85,8.72,997
1738579668,8.85,8.72,997
1738579878,8.85,8.72,997
1738580021,8.85,8.67,998
1738580216,8.85,8.72,999
1738580367,8.85,8.72,999
1738580406,8.85,8.72,999
1738580481,8.85,8.67,1000
1738580574,8.85,8.67,1000
1738580643,8.85,8.67,1000
1738581006,8.85,8.67,1000
1738581220,8.85,8.67,1000
1738581599,8.85,8.67,1001
1738582717,8.85,8.72,1003
1738583516,8.85,8.67,1004
1738584413,8.84,8.28,1030
1738584466,8.84,8.28,1030
1738584654,8.84,8.28,1030
1738584798,8.84,8.28,1030
1738585071,8.84,8.28,1030
1738585181,8.84,8.49,1031
1738586976,8.82,8.30,1081
1738587104,8.82,8.29,1082
1738587167,8.82,8.29,1082
1738587194,8.82,8.29,1082
1738587652,8.82,8.29,1082
1738587662,8.82,8.29,1082
1738587897,8.82,8.29,1082
1738588164,8.81,8.29,1089
1738588498,8.81,8.71,1100
1738588512,8.81,8.71,1100
1738588887,8.81,8.71,1101
1738589133,8.81,8.71,1101
1738589161,8.81,8.71,1101
1738589254,8.81,8.71,1101
1738589571,8.81,8.71,1101
1738590299,8.81,8.71,1101
1738591449,8.81,8.71,1101
1738591731,8.81,8.71,1101
1738591882,8.81,8.71,1101
1738591958,8.81,8.71,1101
1738592080,8.81,8.71,1101
1738592106,8.81,8.71,1101
1738592311,8.81,8.70,1112
1738593041,8.81,8.70,1113
1738594297,8.81,8.70,1113
1738594866,8.81,8.70,1113
1738595814,8.81,8.49,1114
1738596074,8.81,8.45,1115
1738596153,8.81,8.45,1115
1738596214,8.81,8.45,1115
1738596571,8.79,8.30,1150
1738596601,8.79,8.30,1150
1738596678,8.79,8.30,1150
1738597201,8.79,8.30,1150
1738597520,8.79,8.30,1150
1738597818,8.79,8.30,1150
1738598401,8.79,8.30,1150
t,ap,cp,v
1738573634,8.72,8.72,4
1738573740,8.72,8.72,4
1738574101,8.72,8.72,4
1738574166,8.72,8.72,4
1738574266,8.72,8.72,4
1738574311,8.72,8.72,4
1738574384,8.91,8.92,104
1738574446,8.91,8.92,104
1738574736,8.91,8.92,204
1738574811,8.91,8.92,204
1738574998,8.91,8.92,204
1738575035,8.91,8.92,204
1738575084,8.91,8.92,205
1738575349,8.91,8.92,206
1738575817,8.91,8.92,206
1738576037,8.91,8.92,206
1738576307,8.91,8.92,206
1738576883,8.91,8.92,207
1738577379,8.91,8.92,210
1738577461,8.91,8.92,210
1738577555,8.91,8.92,210
1738577633,8.91,8.92,210
1738577877,8.91,8.92,210
1738578095,8.91,8.92,210
1738578362,8.91,8.92,692
1738578757,8.91,8.92,692
1738578860,8.91,8.72,693
1738578943,8.91,8.72,693
1738579046,8.91,8.72,693
1738579251,8.85,8.72,992
1738579367,8.85,8.72,992
1738579500,8.85,8.72,997
1738579668,8.85,8.72,997
1738579878,8.85,8.72,997
1738580021,8.85,8.67,998
1738580216,8.85,8.72,999
1738580367,8.85,8.72,999
1738580406,8.85,8.72,999
1738580481,8.85,8.67,1000
1738580574,8.85,8.67,1000
1738580643,8.85,8.67,1000
1738581006,8.85,8.67,1000
1738581220,8.85,8.67,1000
1738581599,8.85,8.67,1001
1738582717,8.85,8.72,1003
1738583516,8.85,8.67,1004
1738584413,8.84,8.28,1030
1738584466,8.84,8.28,1030
1738584654,8.84,8.28,1030
1738584798,8.84,8.28,1030
1738585071,8.84,8.28,1030
1738585181,8.84,8.49,1031
1738586976,8.82,8.30,1081
1738587104,8.82,8.29,1082
1738587167,8.82,8.29,1082
1738587194,8.82,8.29,1082
1738587652,8.82,8.29,1082
1738587662,8.82,8.29,1082
1738587897,8.82,8.29,1082
1738588164,8.81,8.29,1089
1738588498,8.81,8.71,1100
1738588512,8.81,8.71,1100
1738588887,8.81,8.71,1101
1738589133,8.81,8.71,1101
1738589161,8.81,8.71,1101
1738589254,8.81,8.71,1101
1738589571,8.81,8.71,1101
1738590299,8.81,8.71,1101
1738591449,8.81,8.71,1101
1738591731,8.81,8.71,1101
1738591882,8.81,8.71,1101
1738591958,8.81,8.71,1101
1738592080,8.81,8.71,1101
