t,ap,cp,v
1738573635,3759.95,3759.95,2
1738573729,3759.95,3759.95,2
1738573741,3759.95,3759.95,2
1738574159,3742.73,3752.50,199
1738574219,3745.95,3755.00,295
1738574279,3753.17,3770.00,403
1738574339,3756.48,3770.65,460
1738574399,3756.65,3738.50,523
1738574459,3755.87,3742.55,582
1738574518,3755.85,3742.65,583
1738574579,3755.77,3748.75,590
1738574637,3755.66,3753.45,609
1738574699,3755.03,3748.50,648
1738574759,3755.03,3748.50,648
1738574819,3755.65,3800.00,700
1738574879,3757.76,3795.95,731
1738574939,3765.23,3824.75,830
1738574999,3768.89,3821.20,885
1738575059,3770.74,3819.90,917
1738575119,3772.49,3838.55,944
1738575179,3773.20,3817.40,956
1738575239,3773.92,3806.40,977
1738575297,3775.92,3811.40,1035
1738575359,3776.46,3814.85,1049
1738575419,3778.04,3835.20,1078
1738575479,3778.14,3831.20,1080
1738575539,3780.57,3795.25,1213
1738575599,3780.64,3799.35,1218
1738575659,3780.64,3799.35,1218
1738575719,3782.03,3817.80,1266
1738575779,3782.15,3819.80,1270
1738575839,3783.73,3822.75,1325
1738575899,3783.79,3822.75,1327
1738575959,3783.79,3822.75,1327
1738576016,3784.85,3830.00,1360
1738576079,3786.14,3838.80,1395
1738576139,3786.84,3809.70,1419
1738576199,3786.91,3820.00,1422
1738576259,3786.91,3820.00,1422
1738576319,3787.30,3823.45,1437
1738576379,3787.30,3823.45,1437
1738576439,3787.33,3825.00,1438
1738576499,3787.38,3825.00,1440
1738576559,3787.41,3827.60,1441
1738576619,3787.93,3830.90,1456
1738576679,3788.05,3830.90,1460
1738576739,3788.47,3837.55,1474
1738576799,3788.75,3828.80,1484
1738576859,3788.75,3828.80,1484
1738576919,3789.85,3840.00,1519
1738576979,3790.27,3841.65,1531
1738577039,3792.58,3843.60,1609
1738577099,3793.66,3845.20,1641
1738577159,3794.24,3839.75,1661
1738577219,3794.55,3837.40,1672
1738577279,3794.76,3830.95,1682
1738577338,3794.94,3825.00,1692
1738577399,3795.06,3827.70,1699
1738577459,3795.06,3827.70,1699
1738577519,3795.06,3827.70,1699
1738577579,3795.06,3827.70,1699
1738577639,3795.43,3845.00,1712
1738577699,3795.43,3845.00,1712
1738577757,3795.54,3833.40,1717
1738577819,3795.54,3833.40,1717
1738577878,3795.78,3837.75,1727
1738577939,3795.78,3837.75,1727
1738577999,3795.81,3838.90,1728
1738578059,3796.07,3823.40,1743
1738578119,3796.07,3823.40,1743
1738578179,3796.13,3814.40,1749
1738578239,3796.15,3814.30,1750
1738578299,3796.14,3795.25,1751
1738578359,3796.20,3803.75,1763
1738578419,3796.16,3784.25,1769
1738578479,3796.13,3785.00,1774
1738578539,3795.98,3792.70,1801
1738578599,3795.89,3785.00,1816
1738578659,3795.79,3780.05,1832
1738578719,3795.79,3780.05,1832
1738578779,3795.78,3792.90,1843
1738578839,3795.78,3792.90,1843
1738578898,3795.78,3792.90,1843
1738578959,3796.72,3812.45,1965
1738579019,3796.77,3817.15,1971
1738579079,3796.77,3817.15,1971
1738579139,3796.80,3807.50,1976
1738579199,3796.80,3807.50,1976
1738579259,3796.80,3807.50,1976
1738579319,3796.80,3807.50,1976
