t,ap,cp,v
1738574158,621.55,621.55,1
1738574219,619.25,616.95,2
1738574273,619.25,616.95,2
1738574335,619.25,616.95,2
1738574397,619.25,616.95,2
1738574458,619.25,616.95,2
1738574510,619.25,616.95,2
1738574578,619.25,616.95,2
1738574638,619.25,616.95,2
1738574699,619.25,616.95,2
1738574759,619.25,616.95,2
1738574814,619.25,616.95,2
1738574879,615.26,617.10,41
1738574939,615.26,617.10,41
1738574999,615.26,617.10,41
1738575059,616.24,617.95,85
1738575119,616.24,617.95,85
1738575176,616.24,617.95,85
1738575235,616.22,616.05,116
1738575298,616.22,616.05,116
1738575359,616.15,614.00,120
1738575419,616.15,614.00,120
1738575479,616.15,614.00,120
1738575539,616.15,614.00,120
1738575595,616.15,614.00,120
1738575657,616.15,614.00,120
1738575716,616.15,614.00,120
1738575767,616.15,614.00,120
1738575839,616.14,616.30,173
1738575899,616.29,618.95,183
1738575959,616.29,618.95,183
1738576019,618.70,621.75,319
1738576079,618.70,621.75,319
1738576138,619.14,623.10,356
1738576195,619.14,623.10,356
1738576256,619.14,623.10,356
1738576319,619.14,623.10,356
1738576379,619.14,623.10,356
1738576437,619.14,623.10,356
1738576499,619.14,623.10,356
1738576559,619.14,623.10,356
1738576611,619.14,623.10,356
1738576676,619.14,623.10,356
1738576737,619.14,623.10,356
1738576799,619.15,622.00,357
1738576858,619.15,622.00,357
1738576918,619.15,622.00,357
1738576978,619.15,622.00,357
1738577039,619.17,621.80,360
1738577099,619.19,619.95,369
1738577159,619.20,620.00,373
1738577216,619.20,620.00,373
1738577278,619.22,620.95,377
1738577339,619.22,620.95,377
1738577397,619.22,620.95,377
1738577457,619.22,620.95,377
1738577519,619.22,620.95,377
1738577579,619.22,620.95,377
1738577639,619.22,620.95,377
1738577688,619.22,620.95,377
1738577758,619.22,620.95,377
1738577818,619.22,620.95,377
1738577878,619.22,620.95,377
1738577939,619.22,620.95,377
1738577999,619.22,620.95,377
1738578059,619.22,620.95,377
1738578119,619.22,620.95,377
1738578179,619.22,620.95,377
1738578238,619.22,620.95,377
1738578283,619.22,620.95,377
1738578355,619.22,620.95,377
1738578397,619.22,620.95,377
1738578449,619.22,620.95,377
1738578523,619.22,620.95,377
1738578599,619.22,620.95,377
1738578639,619.22,620.95,377
1738578715,619.22,620.95,377
1738578779,619.22,620.95,377
1738578839,619.22,620.95,377
1738578899,619.22,620.95,377
1738578959,619.22,620.95,377
1738579017,619.22,620.95,377
1738579075,619.22,620.95,377
1738579137,619.22,620.95,377
1738579193,619.22,620.95,377
1738579257,619.22,620.95,377
1738579306,619.22,620.95,377
1738579379,619.22,620.95,377
1738579439,619.22,620.95,377
1738579499,619.29,623.05,384
1738579559,619.29,623.05,384
1738579619,619.29,623.05,384
1738579676,619.29,623.05,384
1738579718,619.29,623.05,384
1738579794,619.29,623.05,384
1738579857,619.29,623.05,384
1738579914,619.29,623.05,384
1738579978,619.31,626.90,385
1738580039,619.31,626.90,385
1738580099,619.31,626.90,385
1738580156,619.31,626.90,385
1738580186,619.31,626.90,385
1738580276,619.31,626.90,385
1738580333,619.31,626.90,385
1738580399,619.31,626.90,385
1738580459,619.31,626.90,385
1738580517,619.31,626.90,385
1738580575,619.31,626.90,385
1738580639,619.31,626.90,385
1738580640,619.31,626.90,385
1738580741,619.31,626.90,385
1738580817,619.31,626.90,385
1738580877,619.31,626.90,385
1738580899,619.31,626.90,385
1738580999,619.31,626.90,385
1738581059,619.31,626.90,385
1738581115,619.31,626.90,385
1738581170,619.31,626.90,385
1738581239,619.31,626.90,385
1738581299,619.31,626.90,385
1738581352,619.33,620.05,393
1738581419,619.04,617.60,438
1738581455,619.04,617.60,438
1738581537,619.04,617.60,438
1738581598,619.04,617.60,438
1738581653,619.04,617.60,438
1738581719,619.04,617.60,438
1738581779,619.04,617.60,438
1738581835,619.04,617.60,438
1738581883,619.04,617.60,438
1738581953,619.04,617.60,438
1738582016,619.04,617.60,438
1738582078,619.04,617.60,438
1738582127,619.04,617.60,438
1738582198,618.99,616.05,445
1738582259,618.79,614.00,463
1738582317,618.79,614.00,463
1738582379,618.79,614.90,464
1738582435,618.79,614.90,464
1738582484,618.79,614.90,464
