t,ap,cp,v
1738573634,57.94,57.94,109690
1738573703,57.94,57.94,109690
1738573788,57.94,57.94,109690
1738573844,57.94,57.94,109690
1738573911,57.94,57.94,109690
1738573940,57.94,57.94,109690
1738574033,57.94,57.94,109690
1738574159,56.86,56.98,790605
1738574219,56.92,57.26,923833
1738574279,56.95,57.45,986507
1738574339,56.98,57.57,1037153
1738574399,57.00,57.80,1067327
1738574459,57.10,58.05,1188449
1738574519,57.18,58.66,1273619
1738574578,57.38,58.57,1438781
1738574639,57.44,58.34,1526738
1738574699,57.48,58.41,1583998
1738574759,57.51,58.52,1636713
1738574819,57.58,59.08,1728119
1738574879,57.65,59.02,1814749
1738574939,57.69,58.98,1865098
1738574999,57.72,58.87,1917874
1738575059,57.75,58.48,1994409
1738575119,57.77,58.69,2058199
1738575179,57.78,58.27,2090999
1738575239,57.79,58.17,2117960
1738575299,57.80,58.29,2153110
1738575359,57.81,58.37,2207748
1738575419,57.81,58.41,2219344
1738575479,57.82,58.34,2229756
1738575539,57.83,58.29,2279593
1738575599,57.83,58.25,2290176
1738575659,57.84,58.08,2339141
1738575719,57.84,58.11,2356775
1738575779,57.85,58.46,2417570
1738575839,57.86,58.36,2456309
1738575899,57.86,58.23,2467051
1738575959,57.86,58.18,2477649
1738576019,57.86,58.08,2495137
1738576079,57.86,57.98,2539272
1738576139,57.86,57.75,2570774
1738576199,57.86,57.72,2581794
1738576259,57.86,57.70,2625906
1738576319,57.86,57.63,2644748
1738576379,57.86,57.60,2666217
1738576439,57.86,57.59,2674979
1738576499,57.85,57.60,2679145
1738576559,57.85,57.40,2697669
1738576619,57.85,57.44,2704288
1738576679,57.85,57.25,2726785
1738576739,57.84,57.08,2736666
1738576799,57.83,57.12,2775295
1738576859,57.82,57.10,2813801
1738576919,57.81,57.02,2868933
1738576979,57.81,57.10,2877119
1738577039,57.80,57.36,2895429
1738577099,57.80,57.19,2922578
1738577159,57.80,57.20,2929495
1738577219,57.79,57.43,2945663
1738577279,57.79,57.43,2951238
1738577339,57.79,57.24,2957855
1738577399,57.79,57.23,2966353
1738577459,57.79,57.30,2974962
1738577519,57.79,57.29,2978634
1738577579,57.79,57.25,2980303
1738577639,57.78,57.12,2999903
1738577699,57.78,57.07,3006332
1738577759,57.78,57.11,3011505
1738577819,57.78,57.01,3020006
1738577879,57.78,57.05,3032655
1738577939,57.76,56.73,3085623
1738577999,57.76,56.90,3098010
1738578059,57.75,56.83,3126241
1738578119,57.74,56.86,3142702
1738578179,57.74,56.76,3170871
1738578239,57.73,56.83,3182774
1738578299,57.73,56.84,3193637
1738578359,57.72,56.69,3216051
1738578419,57.71,56.38,3251513
1738578479,57.70,56.39,3275516
1738578539,57.70,56.35,3282128
1738578599,57.69,56.38,3294660
1738578659,57.68,56.35,3320353
1738578719,57.68,56.40,3327919
1738578779,57.67,56.53,3344657
1738578839,57.67,56.52,3351558
