t,ap,cp,v
1738573635,552.85,552.85,229
1738573772,552.85,552.85,229
1738573883,552.85,552.85,229
1738574159,548.27,548.00,1251
1738574219,547.87,546.25,3345
1738574279,547.52,545.40,4170
1738574339,546.10,543.85,7229
1738574396,546.01,545.60,8013
1738574458,545.66,542.00,9809
1738574518,545.31,541.05,10937
1738574578,545.27,544.20,11110
1738574639,545.18,545.10,12530
1738574699,545.18,544.30,12547
1738574759,545.33,548.65,13928
1738574819,545.48,551.35,14385
1738574879,546.27,548.90,17212
1738574939,546.29,548.20,17447
1738574999,546.29,545.60,17553
1738575059,546.21,544.00,18524
1738575119,546.19,544.40,18651
1738575179,546.03,544.20,20069
1738575239,545.98,541.00,20403
1738575299,545.84,541.50,21067
1738575359,545.68,540.05,21660
1738575419,545.50,539.10,22319
1738575478,545.30,539.10,22973
1738575538,545.01,538.55,24024
1738575599,544.98,538.45,24165
1738575659,544.95,538.90,24263
1738575719,544.94,538.70,24287
1738575778,544.84,540.75,24879
1738575838,544.84,539.55,24899
1738575899,544.76,538.10,25205
1738575959,544.66,536.50,25554
1738576017,544.48,537.65,26173
1738576079,544.46,537.90,26247
1738576139,544.41,537.50,26456
1738576199,544.38,537.00,26545
1738576259,544.38,537.70,26555
1738576317,544.31,537.00,26820
1738576379,544.22,536.25,27171
1738576437,543.72,537.05,29290
1738576499,543.69,537.50,29429
1738576559,543.50,535.25,30166
1738576619,543.47,535.65,30280
1738576679,542.91,534.80,32433
1738576739,542.81,534.55,32807
1738576799,542.77,534.90,32966
1738576859,542.75,534.15,33047
1738576918,542.75,537.65,33057
1738576978,542.74,536.30,33084
1738577039,542.74,534.90,33094
1738577099,542.62,534.35,33564
1738577159,542.61,534.10,33596
1738577219,542.61,534.60,33630
1738577279,542.58,536.00,33784
1738577339,542.55,534.75,33878
1738577398,542.55,534.90,33908
1738577459,542.53,535.90,33973
1738577519,542.52,536.15,34025
1738577579,542.51,536.40,34125
1738577639,542.47,537.00,34366
1738577699,542.45,536.60,34438
1738577759,542.44,535.25,34507
1738577815,542.40,535.30,34695
1738577878,542.40,535.30,34695
1738577939,542.33,535.20,35048
1738577999,542.24,535.25,35484
1738578059,542.16,535.20,35838
1738578119,542.14,536.35,35992
1738578179,542.13,535.30,36049
1738578239,542.12,536.70,36087
1738578298,542.12,535.05,36090
1738578358,542.12,534.85,36100
1738578419,542.09,533.85,36220
1738578479,542.07,533.70,36324
1738578539,542.04,533.70,36466
1738578599,541.92,533.05,36929
1738578659,541.64,534.00,38150
1738578718,541.62,534.75,38305
1738578779,541.57,533.70,38518
1738578839,541.49,533.45,38909
1738578899,541.45,537.20,39174
1738578958,541.44,539.00,39276
1738579019,541.34,538.45,40642
1738579079,541.33,537.75,40745
1738579139,541.32,537.60,40814
1738579199,541.31,537.05,40869
1738579258,541.31,537.05,40869
1738579319,541.31,537.05,40869
1738579376,541.25,538.95,41890
1738579439,541.24,538.45,41914
1738579499,541.20,540.50,42898
1738579559,541.20,540.50,42898
1738579615,541.20,540.90,42962
