t,ap,cp,v
1738573649,1326.95,1326.95,10
1738573740,1326.95,1326.95,10
1738574159,1323.15,1310.50,13
1738574218,1310.87,1313.00,142
1738574279,1312.01,1326.30,153
1738574337,1315.42,1323.45,215
1738574399,1315.76,1323.90,241
1738574458,1316.30,1320.45,269
1738574518,1316.46,1320.45,295
1738574577,1317.16,1325.95,319
1738574639,1317.94,1340.00,331
1738574699,1318.88,1345.45,344
1738574759,1320.81,1345.45,378
1738574819,1332.46,1355.80,570
1738574879,1342.05,1349.00,856
1738574939,1342.05,1349.00,856
1738574999,1342.06,1344.80,859
1738575059,1342.07,1344.60,861
1738575119,1342.07,1344.60,861
1738575175,1342.21,1348.90,884
1738575239,1342.27,1348.90,891
1738575299,1342.75,1349.00,938
1738575358,1342.88,1346.45,966
1738575418,1343.04,1349.00,991
1738575478,1343.09,1349.75,998
1738575539,1343.09,1349.75,998
1738575596,1343.14,1353.95,1004
1738575658,1343.18,1356.65,1007
1738575719,1343.46,1356.00,1030
1738575779,1347.29,1362.80,1309
1738575838,1347.29,1362.80,1309
1738575899,1347.29,1362.80,1309
1738575959,1347.40,1361.80,1318
1738576015,1347.40,1361.80,1318
1738576078,1348.44,1359.20,1429
1738576138,1349.07,1366.05,1482
1738576199,1349.17,1368.80,1490
1738576259,1354.67,1373.90,1891
1738576319,1355.99,1380.00,1996
1738576379,1357.06,1369.00,2113
1738576439,1357.11,1367.00,2123
1738576499,1357.58,1372.60,2203
1738576558,1358.59,1365.00,2517
1738576619,1358.63,1362.00,2535
1738576679,1358.63,1364.90,2536
1738576739,1358.63,1358.35,2559
1738576799,1358.63,1355.05,2563
1738576859,1358.76,1365.60,2630
1738576919,1358.76,1365.60,2632
1738576979,1358.76,1365.60,2632
1738577039,1359.20,1363.45,2904
1738577098,1359.43,1371.45,2960
1738577159,1359.43,1371.45,2960
1738577219,1359.45,1369.25,2966
1738577279,1359.45,1369.25,2966
1738577339,1359.45,1371.15,2967
1738577399,1359.45,1371.15,2967
1738577459,1359.48,1369.75,2974
1738577518,1359.48,1369.75,2974
1738577579,1359.48,1369.75,2974
1738577639,1359.48,1369.75,2974
1738577699,1359.51,1369.75,2984
1738577758,1359.55,1368.95,2996
1738577819,1359.55,1368.95,2996
1738577879,1359.55,1368.95,2996
1738577939,1359.67,1369.75,3036
1738577999,1359.71,1372.60,3045
1738578059,1359.71,1372.60,3045
1738578119,1359.82,1377.10,3067
1738578179,1359.91,1380.15,3080
1738578239,1360.33,1377.05,3153
1738578299,1360.33,1377.05,3153
1738578358,1360.33,1377.05,3153
1738578418,1360.42,1380.10,3167
1738578478,1363.52,1389.05,3574
1738578539,1363.95,1384.75,3642
1738578598,1364.33,1385.10,3710
1738578659,1364.33,1385.10,3710
1738578719,1364.33,1385.10,3710
1738578779,1364.33,1386.25,3711
1738578839,1364.45,1386.25,3731
1738578898,1365.24,1388.85,3875
1738578958,1365.24,1388.85,3875
1738579019,1365.29,1384.70,3885
1738579079,1365.35,1386.15,3896
1738579138,1366.36,1388.35,4110
1738579199,1366.44,1389.60,4125
1738579259,1366.44,1389.60,4125
1738579319,1366.46,1382.05,4130
1738579379,1366.46,1382.05,4130
1738579438,1366.51,1385.45,4139
1738579499,1366.53,1389.60,4144
1738579559,1366.53,1389.60,4144
1738579617,1366.53,1389.60,4144
1738579677,1366.53,1389.60,4144
1738579739,1366.68,1395.40,4166
1738579799,1367.39,1397.00,4266
1738579859,1367.64,1400.30,4299
1738579919,1367.81,1402.85,4320
1738579979,1368.03,1404.95,4348
1738580039,1368.33,1400.85,4389
1738580097,1368.73,1400.85,4444
1738580159,1368.93,1400.85,4472
1738580219,1368.95,1399.05,4476
1738580279,1368.95,1399.05,4476
1738580336,1369.17,1403.10,4506
1738580399,1370.20,1409.10,4640
1738580459,1370.62,1410.20,4689
1738580519,1370.62,1410.20,4689
1738580576,1371.58,1414.25,4795
1738580639,1371.63,1410.00,4802
1738580699,1371.66,1404.35,4806
1738580758,1371.71,1404.45,4814
1738580817,1372.40,1403.50,4919
1738580879,1372.44,1407.20,4925
1738580938,1372.48,1408.80,4930
1738580999,1372.48,1408.80,4930
1738581059,1372.57,1413.30,4941
1738581119,1373.51,1408.05,5074
1738581179,1373.54,1405.00,5080
1738581239,1373.75,1405.00,5113
1738581294,1373.75,1405.00,5113
1738581358,1374.05,1406.00,5161
1738581417,1375.70,1408.30,5440
1738581478,1375.73,1412.00,5444
1738581537,1375.73,1412.00,5444
1738581599,1375.78,1414.00,5451
1738581658,1375.78,1410.10,5452
1738581719,1375.83,1411.00,5460
1738581779,1375.86,1411.05,5464
1738581833,1375.88,1410.90,5468
1738581899,1376.65,1405.00,5617
1738581958,1376.80,1399.35,5654
1738582019,1376.82,1401.10,5658
1738582079,1376.94,1392.95,5694
1738582139,1377.99,1406.65,5916
1738582199,1379.61,1389.00,6408
1738582259,1379.63,1387.45,6418
1738582319,1379.70,1395.10,6450
1738582379,1379.71,1398.40,6455
1738582438,1379.71,1398.40,6455
1738582495,1379.71,1398.40,6455
1738582557,1379.71,1398.40,6455
1738582619,1379.71,1398.40,6455
1738582678,1379.71,1398.40,6455
1738582737,1379.71,1398.40,6455
1738582798,1379.71,1398.40,6455
1738582858,1379.76,1395.00,6475
1738582918,1379.79,1391.65,6492
1738582979,1379.79,1391.65,6492
1738583039,1379.81,1389.50,6501
1738583099,1379.81,1386.00,6506
1738583159,1379.81,1389.00,6507
1738583213,1379.83,1388.95,6516
1738583279,1379.84,1392.55,6524
1738583339,1379.84,1392.55,6524
1738583398,1379.84,1392.55,6524
1738583457,1379.84,1392.55,6524
1738583516,1379.84,1392.55,6524
1738583579,1379.87,1389.50,6539
1738583639,1379.88,1393.50,6547
1738583699,1379.88,1393.50,6547
1738583757,1379.88,1393.50,6547
1738583817,1379.88,1393.50,6547
1738583878,1379.88,1393.50,6547
1738583938,1379.88,1393.50,6547
1738583992,1379.88,1393.50,6547
1738584059,1379.88,1393.50,6547
1738584117,1379.88,1393.50,6547
1738584179,1379.88,1393.50,6547
1738584236,1379.88,1394.80,6548
1738584299,1379.96,1397.35,6579
1738584354,1380.03,1393.40,6611
1738584418,1380.08,1390.75,6639
1738584476,1380.11,1387.60,6663
1738584538,1380.11,1387.60,6663
1738584597,1380.11,1387.60,6663
1738584659,1380.11,1387.60,6663
1738584718,1380.12,1385.30,6673
1738584779,1380.12,1385.30,6673
1738584837,1380.12,1384.65,6678
1738584899,1380.13,1393.85,6684
1738584958,1380.13,1393.85,6684
1738585019,1380.13,1393.85,6684
1738585078,1380.26,1397.60,6736
1738585137,1380.26,1397.60,6736
1738585199,1380.26,1397.60,6736
1738585253,1380.26,1397.60,6736
1738585319,1380.26,1397.60,6736
1738585371,1380.26,1397.60,6736
1738585439,1380.28,1397.00,6746
1738585496,1380.28,1397.00,6746
1738585559,1380.28,1397.00,6746
1738585617,1380.31,1399.85,6756
1738585678,1380.31,1399.85,6756
1738585738,1380.31,1399.25,6757
1738585799,1380.56,1398.05,6840
1738585859,1380.57,1400.40,6843
1738585919,1380.57,1400.40,6843
1738585979,1380.57,1400.40,6843
1738586037,1380.59,1401.05,6850
1738586099,1380.59,1401.05,6850
1738586159,1380.59,1401.05,6850
1738586218,1380.59,1401.05,6850
1738586279,1380.59,1398.60,6851
1738586338,1380.59,1398.60,6851
1738586391,1380.59,1398.60,6851
1738586456,1380.59,1398.60,6851
1738586518,1380.59,1398.60,6851
1738586579,1380.59,1398.60,6851
1738586637,1380.59,1398.60,6851
1738586699,1380.59,1394.65,6852
1738586757,1380.59,1394.65,6852
1738586819,1380.59,1394.65,6852
1738586879,1380.59,1391.40,6853
1738586929,1380.61,1394.40,6863
1738586999,1380.61,1394.40,6863
1738587055,1380.61,1394.40,6863
1738587119,1380.61,1394.40,6863
