t,ap,cp,v
1738573655,607.05,607.05,1552
1738573740,607.05,607.05,1552
1738573885,607.05,607.05,1552
1738574159,611.67,609.25,14122
1738574219,613.86,618.70,27955
1738574279,616.99,622.40,54025
1738574339,617.71,623.00,62294
1738574399,619.01,626.65,75933
1738574459,620.87,630.00,92650
1738574519,621.86,631.55,102890
1738574579,623.53,634.00,122015
1738574639,625.29,635.75,144233
1738574699,626.25,631.95,160736
1738574759,627.04,635.00,182323
1738574819,627.63,633.40,196210
1738574879,627.79,633.90,202887
1738574939,627.88,632.75,207150
1738574999,627.98,633.50,211137
1738575059,628.10,631.15,216997
1738575119,628.22,631.55,223516
1738575179,628.25,628.00,232787
1738575239,628.27,629.65,243686
1738575299,628.27,627.45,251098
1738575359,628.22,625.65,255628
1738575419,628.14,625.20,263961
1738575479,628.08,626.30,270709
1738575539,628.06,627.80,276439
1738575599,628.06,629.50,279452
1738575659,628.07,625.55,289531
1738575719,628.05,626.15,292433
1738575779,628.10,631.75,297663
1738575839,628.21,632.80,305563
1738575899,628.27,631.50,311107
1738575959,628.33,632.80,314793
1738576019,628.36,628.00,320645
1738576079,628.35,627.00,323006
1738576138,628.35,628.00,324494
1738576199,628.33,625.70,327774
1738576259,628.29,625.40,331517
1738576319,628.24,624.35,336158
1738576379,628.19,624.25,341350
1738576439,628.16,625.45,344930
1738576499,628.14,625.85,346758
1738576559,628.12,627.25,351227
1738576619,628.12,628.50,353038
1738576679,628.12,627.95,353429
1738576739,628.11,626.65,357510
1738576799,628.11,627.70,364103
1738576859,628.10,626.45,365640
1738576919,628.09,626.80,367672
1738576979,628.07,626.70,371194
1738577039,628.07,627.45,372981
1738577099,628.07,627.70,375756
1738577159,628.05,626.75,378855
1738577219,628.03,626.05,382375
1738577279,628.02,626.50,382754
1738577339,628.02,626.65,383700
1738577399,628.02,626.65,384346
1738577459,628.02,627.80,397620
1738577519,628.02,628.50,399642
1738577579,628.03,625.85,404341
1738577639,628.02,627.15,405926
1738577699,628.02,626.15,406644
1738577759,628.01,625.20,407509
1738577819,628.00,626.75,409436
1738577879,628.00,627.65,410137
1738577939,628.00,628.00,411986
1738577999,628.00,627.45,412670
1738578059,628.00,628.10,413337
1738578119,628.00,627.70,413562
1738578179,628.00,629.70,414430
1738578239,628.03,629.50,419435
1738578299,628.03,629.20,419987
1738578359,628.03,629.10,420248
1738578419,628.03,628.70,420687
1738578479,628.03,629.05,421072
1738578539,628.03,626.60,422471
1738578599,628.01,626.15,424961
1738578659,628.01,628.05,426625
1738578718,628.01,627.60,427922
1738578779,628.01,626.60,428636
1738578839,628.01,626.95,429314
1738578898,628.01,627.30,430080
1738578959,628.01,627.35,431691
1738579019,628.01,629.00,432695
