t,ap,cp,v
1738573635,431.95,431.95,21
1738573708,431.95,431.95,21
1738573740,431.95,431.95,21
1738574159,433.82,435.00,101
1738574218,434.23,435.35,138
1738574279,434.27,438.80,139
1738574338,434.34,439.30,141
1738574399,435.93,438.90,219
1738574456,435.97,438.05,222
1738574518,436.09,436.85,248
1738574579,436.25,437.25,278
1738574638,436.36,438.05,308
1738574696,436.44,437.30,356
1738574755,436.45,436.05,365
1738574819,436.56,438.95,417
1738574879,436.97,441.35,468
1738574939,437.24,440.90,515
1738574999,437.42,439.65,549
1738575059,437.58,439.95,586
1738575117,437.58,439.40,587
1738575175,437.59,439.20,588
1738575239,437.59,439.25,589
1738575298,437.60,437.95,602
1738575358,437.61,438.35,610
1738575419,437.65,438.70,643
1738575479,437.65,437.70,653
1738575539,437.65,437.65,655
1738575597,437.65,437.90,658
1738575659,437.65,437.90,658
1738575719,437.66,439.10,660
1738575779,437.70,439.00,702
1738575838,437.78,439.55,744
1738575899,437.79,439.85,745
1738575959,437.86,439.15,810
1738576017,437.95,439.90,882
1738576078,438.09,439.95,973
1738576139,438.09,439.90,975
1738576199,438.09,439.90,975
1738576256,438.15,439.70,1077
1738576319,438.16,439.70,1084
1738576375,438.16,439.70,1084
1738576437,438.16,439.50,1086
1738576498,438.16,439.85,1089
1738576559,438.17,439.90,1094
1738576619,438.18,439.90,1099
1738576679,438.21,439.60,1132
1738576739,438.23,439.50,1160
1738576799,438.23,439.35,1162
1738576858,438.26,438.85,1228
1738576919,438.26,438.55,1233
1738576978,438.26,438.55,1233
1738577038,438.26,438.30,1247
1738577097,438.26,438.10,1249
1738577158,438.24,437.00,1274
1738577219,438.12,436.45,1364
1738577278,438.12,437.70,1365
1738577339,438.08,438.10,1503
1738577397,438.08,438.10,1503
1738577459,438.08,438.10,1503
1738577518,438.09,439.55,1507
1738577579,438.09,439.55,1507
1738577635,438.11,439.10,1543
1738577697,438.11,439.10,1543
1738577758,438.11,439.00,1548
1738577815,438.11,439.00,1550
1738577877,438.11,439.00,1550
1738577935,438.11,438.85,1552
1738577999,438.11,438.85,1552
1738578059,438.11,439.20,1562
1738578116,438.13,439.00,1578
1738578177,438.13,439.10,1582
1738578239,438.13,439.45,1585
1738578298,438.15,439.50,1622
1738578358,438.15,439.50,1622
1738578418,438.15,439.55,1627
1738578465,438.15,439.55,1629
1738578538,438.18,439.30,1682
1738578596,438.18,439.20,1684
1738578659,438.18,439.20,1684
1738578717,438.18,439.20,1684
1738578775,438.18,439.20,1684
1738578839,438.18,439.20,1684
1738578885,438.18,439.20,1684
1738578958,438.18,439.60,1687
1738579018,438.19,439.15,1709
1738579079,438.19,439.55,1710
1738579136,438.25,438.80,1812
1738579199,438.25,439.60,1813
1738579259,438.25,439.60,1813
1738579313,438.26,439.50,1826
1738579379,438.26,439.60,1829
1738579428,438.26,439.60,1829
1738579496,438.27,439.00,1859
1738579559,438.29,439.90,1885
1738579617,438.29,439.90,1886
1738579678,438.38,439.90,2104
1738579736,438.38,439.90,2104
1738579797,438.38,439.90,2105
1738579854,438.38,439.85,2108
1738579917,438.38,439.85,2108
1738579979,438.39,439.80,2114
1738580039,438.39,439.80,2116
1738580097,438.40,439.80,2126
1738580154,438.41,439.80,2147
1738580219,438.41,439.15,2165
1738580278,438.41,439.80,2166
1738580333,438.41,439.80,2166
1738580398,438.42,439.75,2167
1738580455,438.43,439.60,2193
