t,ap,cp,v
1738573691,4030.00,4030.00,262
1738573740,4030.00,4030.00,262
1738574159,4034.90,4030.60,843
1738574219,4033.87,4024.00,1006
1738574279,4025.25,4007.50,1943
1738574339,4018.08,4005.25,3075
1738574399,4017.47,4014.00,3438
1738574459,4017.39,4013.60,3622
1738574518,4017.23,4012.85,3806
1738574579,4016.86,4017.00,4150
1738574639,4017.21,4026.90,4475
1738574699,4017.41,4024.00,4622
1738574758,4017.60,4023.95,4759
1738574819,4018.12,4025.70,5013
1738574879,4018.62,4028.35,5302
1738574939,4019.28,4032.40,5555
1738574999,4019.60,4032.45,5699
1738575059,4019.80,4040.00,5774
1738575119,4020.38,4039.30,5955
1738575179,4020.62,4042.00,6032
1738575239,4024.35,4044.75,7005
1738575299,4024.98,4042.45,7248
1738575359,4025.19,4040.00,7355
1738575419,4025.24,4039.95,7380
1738575479,4025.31,4044.30,7416
1738575539,4025.63,4045.15,7539
1738575599,4026.08,4049.30,7732
1738575659,4026.56,4060.50,7860
1738575719,4027.04,4057.10,7974
1738575779,4027.53,4064.55,8088
1738575839,4027.64,4053.80,8119
1738575899,4027.76,4049.75,8163
1738575959,4028.04,4043.35,8297
1738576019,4028.40,4039.15,8597
1738576079,4028.53,4033.30,8792
1738576139,4028.67,4031.00,9205
1738576199,4028.69,4033.15,9286
1738576258,4028.70,4030.40,9334
1738576319,4028.70,4029.00,9480
1738576379,4028.67,4025.00,9591
1738576439,4028.61,4025.65,9729
1738576499,4028.53,4021.40,9867
1738576559,4028.50,4022.15,9912
1738576619,4028.48,4023.05,9938
1738576679,4028.42,4020.00,10022
1738576739,4028.34,4025.00,10146
1738576799,4028.31,4027.75,10276
1738576859,4028.29,4027.45,10478
1738576919,4028.28,4024.30,10493
1738576979,4028.27,4023.00,10520
1738577039,4028.24,4023.00,10591
1738577099,4028.19,4023.65,10679
1738577159,4028.18,4022.90,10702
1738577219,4028.14,4020.00,10759
1738577279,4028.12,4020.75,10787
1738577339,4028.02,4017.50,10888
1738577399,4028.02,4024.70,10891
1738577459,4028.01,4025.00,10913
1738577519,4028.00,4025.00,10946
1738577577,4027.99,4022.40,10980
1738577639,4027.98,4023.75,10990
1738577699,4027.98,4022.50,10995
1738577759,4027.89,4020.50,11139
1738577819,4027.84,4027.15,11274
1738577877,4027.80,4021.95,11364
1738577939,4027.69,4021.40,11631
1738577999,4027.67,4023.80,11704
1738578059,4027.74,4032.50,11942
1738578119,4027.92,4036.55,12203
1738578179,4027.99,4038.95,12286
1738578239,4027.99,4038.00,12297
1738578299,4028.02,4040.00,12333
1738578359,4028.05,4037.50,12364
1738578419,4028.08,4038.00,12396
1738578479,4028.11,4035.50,12429
1738578539,4028.16,4034.90,12527
1738578599,4028.18,4034.90,12561
1738578659,4028.19,4034.00,12574
1738578719,4028.23,4034.95,12650
1738578779,4028.23,4032.25,12662
1738578839,4028.23,4031.25,12664
1738578899,4028.24,4033.40,12674
1738578959,4028.25,4032.55,12719
1738579019,4028.25,4033.35,12732
1738579079,4028.26,4030.90,12796
1738579139,4028.26,4026.70,12871
1738579197,4028.26,4029.45,12880
1738579259,4028.29,4033.95,12997
1738579319,4028.32,4031.00,13058
1738579379,4028.32,4036.05,13067
1738579439,4028.33,4033.00,13086
1738579499,4028.34,4035.20,13107
1738579559,4028.35,4037.00,13125
1738579619,4028.42,4038.40,13214
1738579679,4028.43,4037.00,13227
1738579739,4028.44,4037.85,13248
1738579799,4028.49,4040.90,13300
1738579859,4028.56,4042.85,13388
1738579919,4028.57,4041.45,13401
1738579979,4028.58,4042.10,13410
1738580039,4028.59,4042.25,13416
1738580099,4028.62,4041.95,13450
1738580159,4028.67,4043.10,13487
1738580219,4028.68,4043.50,13500
1738580279,4028.70,4042.15,13524
1738580339,4028.70,4042.15,13524
1738580399,4028.71,4043.95,13531
1738580459,4028.76,4046.35,13570
1738580519,4028.81,4039.00,13624
1738580579,4028.81,4037.00,13634
1738580639,4028.82,4039.25,13641
1738580699,4028.84,4038.00,13665
1738580759,4028.86,4036.20,13709
1738580819,4028.87,4032.00,13726
1738580879,4028.87,4032.20,13744
1738580938,4028.88,4031.30,13838
1738580999,4028.89,4030.25,13861
1738581059,4028.89,4033.85,13865
1738581119,4028.89,4033.40,13880
1738581179,4028.91,4031.95,13992
1738581239,4028.92,4032.45,14011
1738581299,4028.92,4030.70,14014
1738581359,4028.92,4030.00,14044
1738581419,4028.94,4033.75,14094
1738581479,4028.95,4034.90,14121
1738581539,4028.95,4034.75,14143
